iso3166,geography,units,unitsshort,period,value
USA,USA,BTU per Cubic Foot,BTU/cf,2020,1037
USA,USA,BTU per Cubic Foot,BTU/cf,2019,1038
USA,USA,BTU per Cubic Foot,BTU/cf,2018,1036
USA,USA,BTU per Cubic Foot,BTU/cf,2017,1036
USA,USA,BTU per Cubic Foot,BTU/cf,2016,1037
USA,USA,BTU per Cubic Foot,BTU/cf,2015,1037
USA,USA,BTU per Cubic Foot,BTU/cf,2014,1032
USA,USA,BTU per Cubic Foot,BTU/cf,2013,1027
USA,USA,BTU per Cubic Foot,BTU/cf,2012,1024
USA,USA,BTU per Cubic Foot,BTU/cf,2011,1022
USA,USA,BTU per Cubic Foot,BTU/cf,2010,1023
USA,USA,BTU per Cubic Foot,BTU/cf,2009,1025
USA,USA,BTU per Cubic Foot,BTU/cf,2008,1027
USA,USA,BTU per Cubic Foot,BTU/cf,2007,1027
USA,USA,BTU per Cubic Foot,BTU/cf,2006,1028
USA,USA,BTU per Cubic Foot,BTU/cf,2005,1028
USA,USA,BTU per Cubic Foot,BTU/cf,2004,1026
USA,USA,BTU per Cubic Foot,BTU/cf,2003,1028
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2020,991
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2019,987
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2018,975
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2017,989
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2016,1001
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2015,1001
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2014,1001
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2013,1001
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2012,1012
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2011,1013
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2010,1005
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2009,1005
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2008,1006
USA-AK,USA-AK,BTU per Cubic Foot,BTU/cf,2007,1006
USA-AL,USA-AL,BTU per Cubic Foot,BTU/cf,2020,1030
