iso3166,geography,units,unitsshort,period,value
USA,USA,BTU per Cubic Foot,BTU/cf,202102,1041.0
USA,USA,BTU per Cubic Foot,BTU/cf,202101,1038.0
USA,USA,BTU per Cubic Foot,BTU/cf,202012,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,202011,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,202010,1036.0
USA,USA,BTU per Cubic Foot,BTU/cf,202009,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,202008,1033.0
USA,USA,BTU per Cubic Foot,BTU/cf,202007,1032.0
USA,USA,BTU per Cubic Foot,BTU/cf,202006,1032.0
USA,USA,BTU per Cubic Foot,BTU/cf,202005,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,202004,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,202003,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,202002,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,202001,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,201912,1040.0
USA,USA,BTU per Cubic Foot,BTU/cf,201911,1040.0
USA,USA,BTU per Cubic Foot,BTU/cf,201910,1036.0
USA,USA,BTU per Cubic Foot,BTU/cf,201909,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201908,1038.0
USA,USA,BTU per Cubic Foot,BTU/cf,201907,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201906,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201905,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201904,1036.0
USA,USA,BTU per Cubic Foot,BTU/cf,201903,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201902,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201901,1038.0
USA,USA,BTU per Cubic Foot,BTU/cf,201812,1038.0
USA,USA,BTU per Cubic Foot,BTU/cf,201811,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201810,1036.0
USA,USA,BTU per Cubic Foot,BTU/cf,201809,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201808,1034.0
USA,USA,BTU per Cubic Foot,BTU/cf,201807,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201806,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201805,1034.0
USA,USA,BTU per Cubic Foot,BTU/cf,201804,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201803,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201802,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201801,1038.0
USA,USA,BTU per Cubic Foot,BTU/cf,201712,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,201711,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201710,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201709,1036.0
USA,USA,BTU per Cubic Foot,BTU/cf,201708,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201707,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201706,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201705,1035.0
USA,USA,BTU per Cubic Foot,BTU/cf,201704,1036.0
USA,USA,BTU per Cubic Foot,BTU/cf,201703,1037.0
USA,USA,BTU per Cubic Foot,BTU/cf,201702,1038.0
USA,USA,BTU per Cubic Foot,BTU/cf,201701,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,201612,1039.0
USA,USA,BTU per Cubic Foot,BTU/cf,201611,1037.0
