iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,30482049
USA,USA,Million Cubic Feet,MMcf,2019,31099061
USA,USA,Million Cubic Feet,MMcf,2018,30138930
USA,USA,Million Cubic Feet,MMcf,2017,27139699
USA,USA,Million Cubic Feet,MMcf,2016,27444220
USA,USA,Million Cubic Feet,MMcf,2015,27243858
USA,USA,Million Cubic Feet,MMcf,2014,26593375
USA,USA,Million Cubic Feet,MMcf,2013,26155071
USA,USA,Million Cubic Feet,MMcf,2012,25538487
USA,USA,Million Cubic Feet,MMcf,2011,24477425
USA,USA,Million Cubic Feet,MMcf,2010,24086797
USA,USA,Million Cubic Feet,MMcf,2009,22910078
USA,USA,Million Cubic Feet,MMcf,2008,23277008
USA,USA,Million Cubic Feet,MMcf,2007,23103793
USA,USA,Million Cubic Feet,MMcf,2006,21699071
USA,USA,Million Cubic Feet,MMcf,2005,22014434
USA,USA,Million Cubic Feet,MMcf,2004,22402546
USA,USA,Million Cubic Feet,MMcf,2003,22276502
USA,USA,Million Cubic Feet,MMcf,2002,23027021
USA,USA,Million Cubic Feet,MMcf,2001,22238624
USA,USA,Million Cubic Feet,MMcf,2000,23333121
USA,USA,Million Cubic Feet,MMcf,1999,22405151
USA,USA,Million Cubic Feet,MMcf,1998,22245956
USA,USA,Million Cubic Feet,MMcf,1997,22737342
USA,USA,Million Cubic Feet,MMcf,1996,22609080
USA,USA,Million Cubic Feet,MMcf,1995,22206889
USA,USA,Million Cubic Feet,MMcf,1994,21247098
USA,USA,Million Cubic Feet,MMcf,1993,20789842
USA,USA,Million Cubic Feet,MMcf,1992,20228228
USA,USA,Million Cubic Feet,MMcf,1991,19562067
USA,USA,Million Cubic Feet,MMcf,1990,19173556
USA,USA,Million Cubic Feet,MMcf,1989,19118997
USA,USA,Million Cubic Feet,MMcf,1988,18029585
USA,USA,Million Cubic Feet,MMcf,1987,17210809
USA,USA,Million Cubic Feet,MMcf,1986,16221296
USA,USA,Million Cubic Feet,MMcf,1985,17280943
USA,USA,Million Cubic Feet,MMcf,1984,17950527
USA,USA,Million Cubic Feet,MMcf,1983,16834912
USA,USA,Million Cubic Feet,MMcf,1982,18001055
USA,USA,Million Cubic Feet,MMcf,1981,19403858
USA,USA,Million Cubic Feet,MMcf,1980,19877293
USA,USA,Million Cubic Feet,MMcf,1979,20240761
USA,USA,Million Cubic Feet,MMcf,1978,19627478
USA,USA,Million Cubic Feet,MMcf,1977,19520581
USA,USA,Million Cubic Feet,MMcf,1976,19946496
USA,USA,Million Cubic Feet,MMcf,1975,19537593
USA,USA,Million Cubic Feet,MMcf,1974,21223133
USA,USA,Million Cubic Feet,MMcf,1973,22049363
USA,USA,Million Cubic Feet,MMcf,1972,22101451
USA,USA,Million Cubic Feet,MMcf,1971,21793454
USA,USA,Million Cubic Feet,MMcf,1970,21139386
USA,USA,Million Cubic Feet,MMcf,1969,20056240
USA,USA,Million Cubic Feet,MMcf,1968,18632062
USA,USA,Million Cubic Feet,MMcf,1967,17388360
USA,USA,Million Cubic Feet,MMcf,1966,16452403
USA,USA,Million Cubic Feet,MMcf,1965,15279716
USA,USA,Million Cubic Feet,MMcf,1964,14813808
USA,USA,Million Cubic Feet,MMcf,1963,13970229
USA,USA,Million Cubic Feet,MMcf,1962,13266513
USA,USA,Million Cubic Feet,MMcf,1961,12489268
USA,USA,Million Cubic Feet,MMcf,1960,11966537
USA,USA,Million Cubic Feet,MMcf,1959,11321181
USA,USA,Million Cubic Feet,MMcf,1958,10302608
USA,USA,Million Cubic Feet,MMcf,1957,9846139
USA,USA,Million Cubic Feet,MMcf,1956,9288865
USA,USA,Million Cubic Feet,MMcf,1955,8693657
USA,USA,Million Cubic Feet,MMcf,1954,8048504
USA,USA,Million Cubic Feet,MMcf,1953,7639270
USA,USA,Million Cubic Feet,MMcf,1952,7294320
USA,USA,Million Cubic Feet,MMcf,1951,6810162
USA,USA,Million Cubic Feet,MMcf,1950,5766542
USA,USA,Million Cubic Feet,MMcf,1949,4971152
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,366476
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,355132
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,347725
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,330552
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,333602
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,328945
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,332298
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,343110
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,335458
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,333312
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,342261
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,341888
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,369967
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,373850
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,432972
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,406319
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,414234
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,419131
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,408960
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,427288
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,422816
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,434871
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,425393
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,729402
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,750188
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,661366
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,694881
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,681149
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,635323
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,615407
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,666712
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,598514
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,534779
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,454456
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,404157
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,418512
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,391093
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,353156
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,382367
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,350345
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,379343
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,332693
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,353614
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,337270
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,329134
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,324158
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,360024
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,360804
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,311609
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,309732
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,291006
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,268444
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,282120
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,296132
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,284076
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,271515
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,244193
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,234901
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,226439
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,233868
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,213609
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,215124
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,246916
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,242325
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,227943
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,251329
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,252853
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,266485
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,260113
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,468482
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,384753
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,321451
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,360576
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,351263
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,306715
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,332073
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,332068
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,288802
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,330914
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,369739
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,399188
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,392954
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,358069
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,321584
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,349622
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,272921
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,250734
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,240812
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,205235
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,165076
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,158355
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,134706
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,2154030
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,2137920
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,2116902
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,2172889
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,2301217
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,2339392
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,2415571
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,2403494
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,2153186
