iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,3036972
USA,USA,Million Cubic Feet,MMcf,202101,3286266
USA,USA,Million Cubic Feet,MMcf,202012,3158443
USA,USA,Million Cubic Feet,MMcf,202011,2440363
USA,USA,Million Cubic Feet,MMcf,202010,2323140
USA,USA,Million Cubic Feet,MMcf,202009,2174262
USA,USA,Million Cubic Feet,MMcf,202008,2404397
USA,USA,Million Cubic Feet,MMcf,202007,2492604
USA,USA,Million Cubic Feet,MMcf,202006,2135305
USA,USA,Million Cubic Feet,MMcf,202005,2071150
USA,USA,Million Cubic Feet,MMcf,202004,2245089
USA,USA,Million Cubic Feet,MMcf,202003,2708460
USA,USA,Million Cubic Feet,MMcf,202002,3032764
USA,USA,Million Cubic Feet,MMcf,202001,3296072
USA,USA,Million Cubic Feet,MMcf,201912,3148053
USA,USA,Million Cubic Feet,MMcf,201911,2778553
USA,USA,Million Cubic Feet,MMcf,201910,2327959
USA,USA,Million Cubic Feet,MMcf,201909,2217254
USA,USA,Million Cubic Feet,MMcf,201908,2440706
USA,USA,Million Cubic Feet,MMcf,201907,2409508
USA,USA,Million Cubic Feet,MMcf,201906,2119425
USA,USA,Million Cubic Feet,MMcf,201905,2126139
USA,USA,Million Cubic Feet,MMcf,201904,2204996
USA,USA,Million Cubic Feet,MMcf,201903,2906919
USA,USA,Million Cubic Feet,MMcf,201902,3010255
USA,USA,Million Cubic Feet,MMcf,201901,3409295
USA,USA,Million Cubic Feet,MMcf,201812,2999510
USA,USA,Million Cubic Feet,MMcf,201811,2715942
USA,USA,Million Cubic Feet,MMcf,201810,2285854
USA,USA,Million Cubic Feet,MMcf,201809,2156063
USA,USA,Million Cubic Feet,MMcf,201808,2313836
USA,USA,Million Cubic Feet,MMcf,201807,2350719
USA,USA,Million Cubic Feet,MMcf,201806,2063144
USA,USA,Million Cubic Feet,MMcf,201805,2055019
USA,USA,Million Cubic Feet,MMcf,201804,2350481
USA,USA,Million Cubic Feet,MMcf,201803,2796708
USA,USA,Million Cubic Feet,MMcf,201802,2710719
USA,USA,Million Cubic Feet,MMcf,201801,3340935
USA,USA,Million Cubic Feet,MMcf,201712,3086015
USA,USA,Million Cubic Feet,MMcf,201711,2357258
USA,USA,Million Cubic Feet,MMcf,201710,2031510
USA,USA,Million Cubic Feet,MMcf,201709,1920466
USA,USA,Million Cubic Feet,MMcf,201708,2093773
USA,USA,Million Cubic Feet,MMcf,201707,2141595
USA,USA,Million Cubic Feet,MMcf,201706,1910441
USA,USA,Million Cubic Feet,MMcf,201705,1892010
USA,USA,Million Cubic Feet,MMcf,201704,1932042
USA,USA,Million Cubic Feet,MMcf,201703,2523331
USA,USA,Million Cubic Feet,MMcf,201702,2340217
USA,USA,Million Cubic Feet,MMcf,201701,2913823
USA,USA,Million Cubic Feet,MMcf,201612,2866273
USA,USA,Million Cubic Feet,MMcf,201611,2159445
USA,USA,Million Cubic Feet,MMcf,201610,1925203
USA,USA,Million Cubic Feet,MMcf,201609,1947752
USA,USA,Million Cubic Feet,MMcf,201608,2208375
USA,USA,Million Cubic Feet,MMcf,201607,2186616
USA,USA,Million Cubic Feet,MMcf,201606,2000656
USA,USA,Million Cubic Feet,MMcf,201605,1965799
USA,USA,Million Cubic Feet,MMcf,201604,2083848
USA,USA,Million Cubic Feet,MMcf,201603,2356298
USA,USA,Million Cubic Feet,MMcf,201602,2652260
USA,USA,Million Cubic Feet,MMcf,201601,3091695
USA,USA,Million Cubic Feet,MMcf,201512,2588168
USA,USA,Million Cubic Feet,MMcf,201511,2249140
USA,USA,Million Cubic Feet,MMcf,201510,1987310
USA,USA,Million Cubic Feet,MMcf,201509,1901337
