iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,14570.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,14489.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,15544.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,15953.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,18472.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,17925.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,18694.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,19898.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,19399.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,15920.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,16620.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,17025.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,18756.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,18544.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,16903.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,18373.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,17270.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,15691.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,15849.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,26485.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,27667.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,27079.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,26908.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,27315.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,24979.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,20698.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,20003.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,21299.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,20897.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,21622.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,21738.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,20842.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,20224.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,20874.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,20344.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,24654.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,24693.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,24232.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,16149.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,16513.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,15862.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,15208.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,14564.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,14191.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,14415.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,13106.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,12277.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,16011.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,14256.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,12519.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,11018.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,4713.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,2722.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,22764.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,24875.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,26636.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,22915.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,23552.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,25162.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,27534.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,25324.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,21551.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,25144.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,27071.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,24293.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,25217.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,23420.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,24396.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,25046.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,26456.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,25356.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,25011.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,26391.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,25580.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,27581.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,25705.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,32360.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,29000.0
