iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,80374.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,64383.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,68886.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,66244.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,72126.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,72459.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,75926.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,87404.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,88178.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,80794.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,81335.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,87677.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,99281.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,113933.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,127140.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,120974.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,109707.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,129292.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,132441.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,150745.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,150062.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,147435.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,149171.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,659717.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,693175.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,711408.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,626033.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,657442.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,642529.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,600643.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,573981.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,622359.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,558116.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,496051.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,418677.0
