iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,24019.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,31914.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,25393.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,28933.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,28224.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,30207.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,31944.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,33944.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,39758.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,41738.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,39732.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,38078.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,43199.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,40901.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,43288.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,39284.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,37641.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,34403.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,31704.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,32588.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,35570.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,30528.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,28785.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,33510.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,396717.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,420582.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,430906.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,380038.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,412913.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,397498.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,346065.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,333897.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,401306.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,342841.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,281722.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,227015.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,164266.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,175736.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,145528.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,104786.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,117056.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,86129.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,112403.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,68868.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,42215.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,25326.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,27660.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,11835.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2020,133920.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,155001.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,152665.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,127049.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,135317.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,109553.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,71796.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,93552.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,129059.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,107014.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,96553.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,83266.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,64188.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,63594.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,71056.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,48987.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,40138.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,56369.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,42430.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,26096.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,34602.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,40089.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,40574.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,24805.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2020,389639.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,356102.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,284651.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,223952.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,255498.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,248369.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,205697.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,222985.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,228818.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,180966.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,224430.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,261904.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,283817.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,280156.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,248146.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,217485.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,240321.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,170140.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,145346.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,129086.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,95881.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,54685.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,42267.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,26692.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2020,615090.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,578056.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,614722.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,600988.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,666017.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,805933.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,831522.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,825713.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,855342.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,616564.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,736092.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,808928.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,857867.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2007,834286.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2006,770836.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,689169.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2004,770517.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,705343.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,726627.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,973327.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,893377.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,723171.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1998,649087.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1997,595822.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2020,145888.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,130185.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,125894.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,97536.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,96923.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,92304.0
