iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,1777.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,1726.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,1834.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,1404.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,1985.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,2509.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,2815.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,1789.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,1307.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,1674.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,2061.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,2032.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,2448.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,2991.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,2610.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,2788.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,3031.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,3731.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,3666.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,2299.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,1483.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,2055.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,2365.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,2253.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,2641.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,2238.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,2061.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,1649.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,1992.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,2080.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,2149.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,1962.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,2106.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,1958.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,2344.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,2256.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,2598.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,2686.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,2656.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,2174.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,2146.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,2378.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,2389.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,2230.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,2313.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,2247.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,2590.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,2493.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,2631.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,2523.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,2469.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,2055.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,2150.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,2189.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,2351.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,2216.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,2405.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,2436.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,2387.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,2331.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,2712.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,2636.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,2498.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,2114.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,1846.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,2225.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,2366.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,2475.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,2314.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,2477.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,3044.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,3099.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,3114.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,2938.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,2821.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,2482.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,1956.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,2536.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,2728.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,2866.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,2668.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,2512.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,2734.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,2738.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,2965.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,3255.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,2917.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,2457.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,2531.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,2589.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,2711.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,2596.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,2730.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,2755.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,2971.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,2827.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,3604.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,2989.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,3573.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,3307.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,2970.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,3268.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201207,3104.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201206,2928.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201205,3188.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201204,3412.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201203,3518.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201202,3469.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201201,4033.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201112,3737.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201111,3579.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201110,3367.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201109,3465.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201108,3407.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201107,3206.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201106,3135.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201105,3279.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201104,3703.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201103,3564.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201102,3363.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201101,3932.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201012,3628.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201011,3010.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201010,3517.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201009,3069.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201008,3312.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201007,2982.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201006,2721.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201005,3467.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201004,3583.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201003,3459.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201002,3210.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201001,3774.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200912,4022.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200911,3497.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200910,3223.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200909,2972.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200908,2708.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200907,2980.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200906,2995.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200905,2983.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200904,2884.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200903,3234.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200902,2981.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200901,3599.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200812,3817.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200811,3875.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200810,3725.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200809,3716.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200808,3741.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200807,3702.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200806,3048.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200805,3205.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200804,3196.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200803,3707.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200802,3523.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200801,3943.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200712,3383.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200711,3778.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200710,3905.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200709,3508.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200708,3096.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200707,3150.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200706,3180.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200705,3099.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200704,3198.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200703,3539.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200702,3235.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200701,3830.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200612,4029.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200611,3947.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200610,3616.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200609,3237.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200608,3741.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200607,3800.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200606,3641.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200605,3327.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200604,3174.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200603,3554.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200602,3390.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200601,3831.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200512,3776.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200511,3443.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200510,3507.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200509,3157.0
