iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,15983.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,15940.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,5890.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,4156.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,4268.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,4864.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,4847.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,4065.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,6357.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,6769.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,6408.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,6635.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,5987.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,19751.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,31457.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,52887.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,46742.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,41166.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,65693.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,67174.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,72694.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,74224.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,75947.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,73599.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,212415.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,217040.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,219057.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,196654.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,192424.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,186819.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,187661.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,179511.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,171729.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,153358.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,144938.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,131228.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,142389.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,150484.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,149973.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,151102.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,163255.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,158512.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,159938.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,155054.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,199904.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,204261.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,199192.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,201240.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2020,105962.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,105280.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,106692.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,100256.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,87876.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,85287.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,88797.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,87077.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,81597.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,85437.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,83061.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,77585.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,85140.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,85773.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,87532.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,88822.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,100588.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,111165.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,118432.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,122311.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,130429.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,137326.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,141010.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,144938.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2020,18514.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,18625.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,19169.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,19250.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,19765.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,20402.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,22489.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,22153.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,22657.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,21724.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,19245.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,17948.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,20184.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,19355.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,18447.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,16975.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,20713.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,15277.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,17155.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,21228.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,21220.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,27032.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,28157.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,27864.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2020,700620.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,768188.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,766415.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,760661.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,774503.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,777102.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,788817.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,775969.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,735925.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,706350.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,703536.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,706154.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,720592.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2007,738501.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2006,732054.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,781381.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2004,835824.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,779085.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,740194.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,666462.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,776202.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,725948.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1998,745774.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1997,719540.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2020,84643.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,91693.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,88654.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,84914.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,80432.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,78178.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,78323.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2013,78280.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,73028.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2011,74407.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,114295.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,113582.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,119706.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2007,117230.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2006,111259.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2005,126360.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2004,112174.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2003,112339.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2002,130336.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2001,137709.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2000,80824.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1999,75745.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1998,82991.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1997,60750.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2020,
USA-CT,USA-CT,Million Cubic Feet,MMcf,2019,24520.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2018,24562.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2017,24557.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2016,24271.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2015,25612.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2014,28371.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2013,29965.0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2012,26932.0
