iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,1299.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,1437.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,1422.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,1315.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,1577.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,1299.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,1313.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,1211.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,1226.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,1230.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,1199.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,1288.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,1463.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,1440.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,1418.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,1568.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,1480.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,1263.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,1036.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,1137.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,1041.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,1087.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,1115.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,1555.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,1496.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,1742.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,620.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,636.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,517.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,531.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,430.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,433.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,379.0
