iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,21022.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,17951.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,18607.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,20247.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,17787.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,18574.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,17734.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,19215.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,21380.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,20262.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,18714.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,19978.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,21439.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,19843.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,20616.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,18029.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,18200.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,16853.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,16191.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,16818.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,15987.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,17634.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,15617.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,15146.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,16179.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,15231.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,14895.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,13858.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,14350.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,13562.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,14165.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,13589.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,12529.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,12256.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,12091.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,13256.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,11833.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,10434.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,10554.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,7904.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,7917.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,7313.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,12166.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,11282.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,10917.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,10393.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,4163.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,5024.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,8394.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,6893.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,6211.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,4573.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,2293.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,1958.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,27719.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,30616.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,34726.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,26338.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,28407.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,32750.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,39006.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,35059.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,27580.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,36582.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,42215.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,36061.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,37793.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,35481.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,38132.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,42057.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,43859.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,46572.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,46482.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,49242.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,47441.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,42647.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,46544.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,48496.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,56522.0
