iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,2792.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,2645.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,2686.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,2604.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,1675.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,886.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,548.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,498.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,611.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,924.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,1577.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,2611.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,2749.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,3653.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,2685.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,1978.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,1447.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,823.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,456.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,413.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,531.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,982.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,1442.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,2125.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,2265.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,2803.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,2612.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,2096.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,1319.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,755.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,591.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,500.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,672.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,1032.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,1483.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,2219.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,2620.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,2708.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,2525.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,2613.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,1579.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,892.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,601.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,552.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,656.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,983.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,1472.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,2666.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,2521.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,3188.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,2969.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,2313.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,1713.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,831.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,534.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,479.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,534.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,864.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,1242.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,1885.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,2067.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,2358.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,2683.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,2317.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,1429.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,1040.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,531.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,499.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,589.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,883.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,1473.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,2174.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,2212.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,2743.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,2218.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,2070.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,1768.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,875.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,538.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,545.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,678.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,800.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,1427.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,2201.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,2443.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,2169.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,2859.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,2420.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,1314.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,987.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,590.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,497.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,585.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,1115.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,1889.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,2304.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,2130.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,2526.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,3129.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,2743.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,1730.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,1093.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,558.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201207,634.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201206,699.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201205,1056.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201204,1467.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201203,2333.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201202,2334.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201201,3603.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201112,2451.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201111,2851.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201110,1581.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201109,948.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201108,650.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201107,580.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201106,712.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201105,990.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201104,1593.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201103,2287.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201102,2755.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201101,2862.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201012,3065.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201011,2019.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201010,1529.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201009,771.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201008,607.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201007,630.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201006,667.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201005,946.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201004,1574.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201003,2121.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201002,2054.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201001,2730.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200912,2725.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200911,2428.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200910,1417.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200909,933.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200908,636.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200907,553.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200906,663.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200905,892.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200904,1589.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200903,2454.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200902,2514.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200901,3175.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200812,2992.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200811,2581.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200810,1918.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200809,1032.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200808,700.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200807,702.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200806,733.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200805,1128.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200804,1611.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200803,2158.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200802,2751.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200801,3134.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200712,2795.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200711,2008.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200710,1628.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200709,890.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200708,587.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200707,594.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200706,679.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200705,1033.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200704,1536.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200703,2709.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200702,2545.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200701,2841.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200612,2533.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200611,3197.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200610,1594.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200609,946.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200608,698.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200607,574.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200606,725.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200605,910.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200604,1683.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200603,2198.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200602,2233.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200601,3324.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200512,2224.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200511,2584.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200510,1662.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200509,843.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200508,563.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200507,506.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200506,581.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200505,869.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200504,1323.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200503,1901.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200502,2239.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200501,2734.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200412,2469.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200411,2006.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200410,1552.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200409,1065.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200408,513.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200407,467.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200406,538.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200405,919.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200404,1410.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200403,2061.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200402,2049.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200401,3151.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200312,2430.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200311,2322.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200310,1368.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200309,898.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200308,599.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200307,435.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200306,572.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200305,935.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200304,1328.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200303,2046.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,200302,1705.0
