iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,4596
USA,USA,Million Cubic Feet,MMcf,202101,5088
USA,USA,Million Cubic Feet,MMcf,202012,4996
USA,USA,Million Cubic Feet,MMcf,202011,4835
USA,USA,Million Cubic Feet,MMcf,202010,4996
USA,USA,Million Cubic Feet,MMcf,202009,4835
USA,USA,Million Cubic Feet,MMcf,202008,4996
USA,USA,Million Cubic Feet,MMcf,202007,4996
USA,USA,Million Cubic Feet,MMcf,202006,4835
USA,USA,Million Cubic Feet,MMcf,202005,4996
USA,USA,Million Cubic Feet,MMcf,202004,4835
USA,USA,Million Cubic Feet,MMcf,202003,4996
USA,USA,Million Cubic Feet,MMcf,202002,4673
USA,USA,Million Cubic Feet,MMcf,202001,4996
USA,USA,Million Cubic Feet,MMcf,201912,4344
USA,USA,Million Cubic Feet,MMcf,201911,4204
USA,USA,Million Cubic Feet,MMcf,201910,4344
USA,USA,Million Cubic Feet,MMcf,201909,4204
USA,USA,Million Cubic Feet,MMcf,201908,4344
USA,USA,Million Cubic Feet,MMcf,201907,4344
USA,USA,Million Cubic Feet,MMcf,201906,4204
USA,USA,Million Cubic Feet,MMcf,201905,4344
USA,USA,Million Cubic Feet,MMcf,201904,4204
USA,USA,Million Cubic Feet,MMcf,201903,4344
USA,USA,Million Cubic Feet,MMcf,201902,3924
USA,USA,Million Cubic Feet,MMcf,201901,4344
USA,USA,Million Cubic Feet,MMcf,201812,4282
USA,USA,Million Cubic Feet,MMcf,201811,4144
USA,USA,Million Cubic Feet,MMcf,201810,4282
USA,USA,Million Cubic Feet,MMcf,201809,4144
USA,USA,Million Cubic Feet,MMcf,201808,4282
USA,USA,Million Cubic Feet,MMcf,201807,4282
USA,USA,Million Cubic Feet,MMcf,201806,4144
USA,USA,Million Cubic Feet,MMcf,201805,4282
USA,USA,Million Cubic Feet,MMcf,201804,4144
USA,USA,Million Cubic Feet,MMcf,201803,4282
USA,USA,Million Cubic Feet,MMcf,201802,3867
USA,USA,Million Cubic Feet,MMcf,201801,4282
USA,USA,Million Cubic Feet,MMcf,201712,4094
USA,USA,Million Cubic Feet,MMcf,201711,3962
USA,USA,Million Cubic Feet,MMcf,201710,4094
USA,USA,Million Cubic Feet,MMcf,201709,3962
USA,USA,Million Cubic Feet,MMcf,201708,4094
USA,USA,Million Cubic Feet,MMcf,201707,4094
USA,USA,Million Cubic Feet,MMcf,201706,3962
USA,USA,Million Cubic Feet,MMcf,201705,4094
USA,USA,Million Cubic Feet,MMcf,201704,3962
USA,USA,Million Cubic Feet,MMcf,201703,4094
USA,USA,Million Cubic Feet,MMcf,201702,3698
USA,USA,Million Cubic Feet,MMcf,201701,4094
USA,USA,Million Cubic Feet,MMcf,201612,3560
USA,USA,Million Cubic Feet,MMcf,201611,3445
USA,USA,Million Cubic Feet,MMcf,201610,3560
USA,USA,Million Cubic Feet,MMcf,201609,3445
USA,USA,Million Cubic Feet,MMcf,201608,3560
USA,USA,Million Cubic Feet,MMcf,201607,3560
USA,USA,Million Cubic Feet,MMcf,201606,3445
USA,USA,Million Cubic Feet,MMcf,201605,3560
USA,USA,Million Cubic Feet,MMcf,201604,3445
USA,USA,Million Cubic Feet,MMcf,201603,3560
USA,USA,Million Cubic Feet,MMcf,201602,3330
USA,USA,Million Cubic Feet,MMcf,201601,3560
USA,USA,Million Cubic Feet,MMcf,201512,3345
USA,USA,Million Cubic Feet,MMcf,201511,3238
USA,USA,Million Cubic Feet,MMcf,201510,3345
USA,USA,Million Cubic Feet,MMcf,201509,3238
USA,USA,Million Cubic Feet,MMcf,201508,3345
USA,USA,Million Cubic Feet,MMcf,201507,3345
USA,USA,Million Cubic Feet,MMcf,201506,3238
USA,USA,Million Cubic Feet,MMcf,201505,3345
USA,USA,Million Cubic Feet,MMcf,201504,3238
USA,USA,Million Cubic Feet,MMcf,201503,3345
USA,USA,Million Cubic Feet,MMcf,201502,3022
USA,USA,Million Cubic Feet,MMcf,201501,3345
USA,USA,Million Cubic Feet,MMcf,201412,2997
USA,USA,Million Cubic Feet,MMcf,201411,2900
USA,USA,Million Cubic Feet,MMcf,201410,2997
USA,USA,Million Cubic Feet,MMcf,201409,2900
USA,USA,Million Cubic Feet,MMcf,201408,2997
USA,USA,Million Cubic Feet,MMcf,201407,2997
USA,USA,Million Cubic Feet,MMcf,201406,2900
USA,USA,Million Cubic Feet,MMcf,201405,2997
USA,USA,Million Cubic Feet,MMcf,201404,2900
USA,USA,Million Cubic Feet,MMcf,201403,2997
USA,USA,Million Cubic Feet,MMcf,201402,2707
USA,USA,Million Cubic Feet,MMcf,201401,2997
USA,USA,Million Cubic Feet,MMcf,201312,2552
USA,USA,Million Cubic Feet,MMcf,201311,2469
USA,USA,Million Cubic Feet,MMcf,201310,2552
USA,USA,Million Cubic Feet,MMcf,201309,2469
USA,USA,Million Cubic Feet,MMcf,201308,2552
USA,USA,Million Cubic Feet,MMcf,201307,2552
USA,USA,Million Cubic Feet,MMcf,201306,2469
USA,USA,Million Cubic Feet,MMcf,201305,2552
USA,USA,Million Cubic Feet,MMcf,201304,2469
USA,USA,Million Cubic Feet,MMcf,201303,2552
USA,USA,Million Cubic Feet,MMcf,201302,2305
USA,USA,Million Cubic Feet,MMcf,201301,2552
USA,USA,Million Cubic Feet,MMcf,201212,2538
USA,USA,Million Cubic Feet,MMcf,201211,2457
USA,USA,Million Cubic Feet,MMcf,201210,2538
USA,USA,Million Cubic Feet,MMcf,201209,2457
USA,USA,Million Cubic Feet,MMcf,201208,2538
USA,USA,Million Cubic Feet,MMcf,201207,2538
USA,USA,Million Cubic Feet,MMcf,201206,2457
USA,USA,Million Cubic Feet,MMcf,201205,2538
USA,USA,Million Cubic Feet,MMcf,201204,2457
USA,USA,Million Cubic Feet,MMcf,201203,2538
USA,USA,Million Cubic Feet,MMcf,201202,2375
USA,USA,Million Cubic Feet,MMcf,201201,2538
USA,USA,Million Cubic Feet,MMcf,201112,2546
USA,USA,Million Cubic Feet,MMcf,201111,2464
USA,USA,Million Cubic Feet,MMcf,201110,2546
USA,USA,Million Cubic Feet,MMcf,201109,2464
USA,USA,Million Cubic Feet,MMcf,201108,2546
USA,USA,Million Cubic Feet,MMcf,201107,2546
USA,USA,Million Cubic Feet,MMcf,201106,2464
USA,USA,Million Cubic Feet,MMcf,201105,2546
USA,USA,Million Cubic Feet,MMcf,201104,2464
USA,USA,Million Cubic Feet,MMcf,201103,2546
USA,USA,Million Cubic Feet,MMcf,201102,2299
USA,USA,Million Cubic Feet,MMcf,201101,2546
USA,USA,Million Cubic Feet,MMcf,201012,2434
USA,USA,Million Cubic Feet,MMcf,201011,2356
USA,USA,Million Cubic Feet,MMcf,201010,2434
USA,USA,Million Cubic Feet,MMcf,201009,2356
USA,USA,Million Cubic Feet,MMcf,201008,2434
USA,USA,Million Cubic Feet,MMcf,201007,2434
USA,USA,Million Cubic Feet,MMcf,201006,2356
USA,USA,Million Cubic Feet,MMcf,201005,2434
USA,USA,Million Cubic Feet,MMcf,201004,2356
USA,USA,Million Cubic Feet,MMcf,201003,2434
USA,USA,Million Cubic Feet,MMcf,201002,2199
USA,USA,Million Cubic Feet,MMcf,201001,2434
USA,USA,Million Cubic Feet,MMcf,200912,2315
USA,USA,Million Cubic Feet,MMcf,200911,2241
USA,USA,Million Cubic Feet,MMcf,200910,2315
USA,USA,Million Cubic Feet,MMcf,200909,2241
USA,USA,Million Cubic Feet,MMcf,200908,2315
USA,USA,Million Cubic Feet,MMcf,200907,2315
USA,USA,Million Cubic Feet,MMcf,200906,2241
USA,USA,Million Cubic Feet,MMcf,200905,2315
USA,USA,Million Cubic Feet,MMcf,200904,2241
USA,USA,Million Cubic Feet,MMcf,200903,2315
USA,USA,Million Cubic Feet,MMcf,200902,2091
USA,USA,Million Cubic Feet,MMcf,200901,2315
USA,USA,Million Cubic Feet,MMcf,200812,2201
USA,USA,Million Cubic Feet,MMcf,200811,2130
USA,USA,Million Cubic Feet,MMcf,200810,2201
USA,USA,Million Cubic Feet,MMcf,200809,2130
USA,USA,Million Cubic Feet,MMcf,200808,2201
USA,USA,Million Cubic Feet,MMcf,200807,2201
USA,USA,Million Cubic Feet,MMcf,200806,2130
USA,USA,Million Cubic Feet,MMcf,200805,2201
USA,USA,Million Cubic Feet,MMcf,200804,2130
USA,USA,Million Cubic Feet,MMcf,200803,2201
USA,USA,Million Cubic Feet,MMcf,200802,2059
USA,USA,Million Cubic Feet,MMcf,200801,2201
USA,USA,Million Cubic Feet,MMcf,200712,2094
USA,USA,Million Cubic Feet,MMcf,200711,2026
USA,USA,Million Cubic Feet,MMcf,200710,2094
USA,USA,Million Cubic Feet,MMcf,200709,2026
USA,USA,Million Cubic Feet,MMcf,200708,2094
USA,USA,Million Cubic Feet,MMcf,200707,2094
USA,USA,Million Cubic Feet,MMcf,200706,2026
USA,USA,Million Cubic Feet,MMcf,200705,2094
USA,USA,Million Cubic Feet,MMcf,200704,2026
USA,USA,Million Cubic Feet,MMcf,200703,2094
USA,USA,Million Cubic Feet,MMcf,200702,1891
USA,USA,Million Cubic Feet,MMcf,200701,2094
USA,USA,Million Cubic Feet,MMcf,200612,2016
USA,USA,Million Cubic Feet,MMcf,200611,1951
USA,USA,Million Cubic Feet,MMcf,200610,2016
USA,USA,Million Cubic Feet,MMcf,200609,1951
USA,USA,Million Cubic Feet,MMcf,200608,2016
USA,USA,Million Cubic Feet,MMcf,200607,2016
USA,USA,Million Cubic Feet,MMcf,200606,1951
USA,USA,Million Cubic Feet,MMcf,200605,2016
USA,USA,Million Cubic Feet,MMcf,200604,1951
USA,USA,Million Cubic Feet,MMcf,200603,2016
USA,USA,Million Cubic Feet,MMcf,200602,1821
USA,USA,Million Cubic Feet,MMcf,200601,2016
USA,USA,Million Cubic Feet,MMcf,200512,1944
USA,USA,Million Cubic Feet,MMcf,200511,1881
USA,USA,Million Cubic Feet,MMcf,200510,1944
USA,USA,Million Cubic Feet,MMcf,200509,1881
USA,USA,Million Cubic Feet,MMcf,200508,1944
USA,USA,Million Cubic Feet,MMcf,200507,1944
USA,USA,Million Cubic Feet,MMcf,200506,1881
USA,USA,Million Cubic Feet,MMcf,200505,1944
USA,USA,Million Cubic Feet,MMcf,200504,1881
USA,USA,Million Cubic Feet,MMcf,200503,1944
USA,USA,Million Cubic Feet,MMcf,200502,1755
USA,USA,Million Cubic Feet,MMcf,200501,1944
USA,USA,Million Cubic Feet,MMcf,200412,1737
USA,USA,Million Cubic Feet,MMcf,200411,1681
USA,USA,Million Cubic Feet,MMcf,200410,1737
USA,USA,Million Cubic Feet,MMcf,200409,1681
USA,USA,Million Cubic Feet,MMcf,200408,1737
USA,USA,Million Cubic Feet,MMcf,200407,1737
USA,USA,Million Cubic Feet,MMcf,200406,1681
USA,USA,Million Cubic Feet,MMcf,200405,1737
USA,USA,Million Cubic Feet,MMcf,200404,1681
USA,USA,Million Cubic Feet,MMcf,200403,1737
USA,USA,Million Cubic Feet,MMcf,200402,1625
USA,USA,Million Cubic Feet,MMcf,200401,1737
USA,USA,Million Cubic Feet,MMcf,200312,1552
USA,USA,Million Cubic Feet,MMcf,200311,1502
USA,USA,Million Cubic Feet,MMcf,200310,1552
USA,USA,Million Cubic Feet,MMcf,200309,1502
USA,USA,Million Cubic Feet,MMcf,200308,1552
USA,USA,Million Cubic Feet,MMcf,200307,1552
USA,USA,Million Cubic Feet,MMcf,200306,1502
USA,USA,Million Cubic Feet,MMcf,200305,1552
USA,USA,Million Cubic Feet,MMcf,200304,1502
USA,USA,Million Cubic Feet,MMcf,200303,1552
USA,USA,Million Cubic Feet,MMcf,200302,1402
USA,USA,Million Cubic Feet,MMcf,200301,1552
USA,USA,Million Cubic Feet,MMcf,200212,1270
USA,USA,Million Cubic Feet,MMcf,200211,1229
USA,USA,Million Cubic Feet,MMcf,200210,1270
USA,USA,Million Cubic Feet,MMcf,200209,1229
USA,USA,Million Cubic Feet,MMcf,200208,1270
USA,USA,Million Cubic Feet,MMcf,200207,1270
USA,USA,Million Cubic Feet,MMcf,200206,1229
USA,USA,Million Cubic Feet,MMcf,200205,1270
USA,USA,Million Cubic Feet,MMcf,200204,1229
USA,USA,Million Cubic Feet,MMcf,200203,1270
USA,USA,Million Cubic Feet,MMcf,200202,1147
USA,USA,Million Cubic Feet,MMcf,200201,1270
USA,USA,Million Cubic Feet,MMcf,200112,1235
USA,USA,Million Cubic Feet,MMcf,200111,1195
USA,USA,Million Cubic Feet,MMcf,200110,1235
USA,USA,Million Cubic Feet,MMcf,200109,1195
USA,USA,Million Cubic Feet,MMcf,200108,1235
USA,USA,Million Cubic Feet,MMcf,200107,1235
USA,USA,Million Cubic Feet,MMcf,200106,1195
USA,USA,Million Cubic Feet,MMcf,200105,1235
USA,USA,Million Cubic Feet,MMcf,200104,1195
