iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,46.0
USA,USA,Percent,%,2018,46.0
USA,USA,Percent,%,2017,46.7
USA,USA,Percent,%,2016,47.4
USA,USA,Percent,%,2015,46.6
USA,USA,Percent,%,2014,46.2
USA,USA,Percent,%,2013,46.1
USA,USA,Percent,%,2012,46.8
USA,USA,Percent,%,2011,44.2
USA,USA,Percent,%,2010,42.5
USA,USA,Percent,%,2009,40.8
USA,USA,Percent,%,2008,38.1
USA,USA,Percent,%,2007,37.6
USA,USA,Percent,%,2006,36.3
USA,USA,Percent,%,2005,35.0
USA,USA,Percent,%,2004,35.9
USA,USA,Percent,%,2003,34.9
USA,USA,Percent,%,2002,36.4
USA,USA,Percent,%,2001,34.0
USA,USA,Percent,%,2000,36.1
USA,USA,Percent,%,1999,33.9
USA,USA,Percent,%,1998,33.0
USA,USA,Percent,%,1997,29.2
USA,USA,Percent,%,1996,22.4
USA,USA,Percent,%,1995,23.3
USA,USA,Percent,%,1994,20.7
USA,USA,Percent,%,1993,16.1
USA,USA,Percent,%,1992,16.8
USA,USA,Percent,%,1991,14.9
USA,USA,Percent,%,1990,13.4
USA,USA,Percent,%,1989,10.9
USA-AK,USA-AK,Percent,%,2019,1.6
USA-AK,USA-AK,Percent,%,2018,1.5
USA-AK,USA-AK,Percent,%,2017,1.6
USA-AK,USA-AK,Percent,%,2016,1.5
USA-AK,USA-AK,Percent,%,2015,1.8
USA-AK,USA-AK,Percent,%,2014,5.5
USA-AK,USA-AK,Percent,%,2013,5.5
USA-AK,USA-AK,Percent,%,2012,5.1
USA-AK,USA-AK,Percent,%,2011,11.4
USA-AK,USA-AK,Percent,%,2010,12.3
USA-AK,USA-AK,Percent,%,2009,14.7
USA-AK,USA-AK,Percent,%,2008,25.1
USA-AK,USA-AK,Percent,%,2007,24.0
USA-AK,USA-AK,Percent,%,2006,43.7
USA-AK,USA-AK,Percent,%,2005,48.8
USA-AK,USA-AK,Percent,%,2004,44.5
USA-AK,USA-AK,Percent,%,2003,40.9
USA-AK,USA-AK,Percent,%,2002,40.0
USA-AK,USA-AK,Percent,%,2001,39.5
USA-AK,USA-AK,Percent,%,2000,40.7
USA-AK,USA-AK,Percent,%,1999,44.6
USA-AK,USA-AK,Percent,%,1998,50.4
USA-AK,USA-AK,Percent,%,1997,45.5
USA-AK,USA-AK,Percent,%,1996,36.6
USA-AK,USA-AK,Percent,%,1995,20.1
USA-AL,USA-AL,Percent,%,2019,21.5
USA-AL,USA-AL,Percent,%,2018,21.1
USA-AL,USA-AL,Percent,%,2017,24.0
USA-AL,USA-AL,Percent,%,2016,22.8
USA-AL,USA-AL,Percent,%,2015,22.3
USA-AL,USA-AL,Percent,%,2014,21.6
USA-AL,USA-AL,Percent,%,2013,23.4
USA-AL,USA-AL,Percent,%,2012,23.8
USA-AL,USA-AL,Percent,%,2011,21.1
USA-AL,USA-AL,Percent,%,2010,20.3
USA-AL,USA-AL,Percent,%,2009,21.2
USA-AL,USA-AL,Percent,%,2008,19.8
USA-AL,USA-AL,Percent,%,2007,20.2
USA-AL,USA-AL,Percent,%,2006,19.8
USA-AL,USA-AL,Percent,%,2005,19.5
USA-AL,USA-AL,Percent,%,2004,17.9
USA-AL,USA-AL,Percent,%,2003,18.2
USA-AL,USA-AL,Percent,%,2002,19.5
USA-AL,USA-AL,Percent,%,2001,17.5
USA-AL,USA-AL,Percent,%,2000,18.6
USA-AL,USA-AL,Percent,%,1999,29.5
USA-AL,USA-AL,Percent,%,1998,19.5
USA-AL,USA-AL,Percent,%,1997,35.3
USA-AL,USA-AL,Percent,%,1996,18.9
USA-AL,USA-AL,Percent,%,1995,19.9
USA-AL,USA-AL,Percent,%,1994,19.8
USA-AL,USA-AL,Percent,%,1993,19.2
USA-AL,USA-AL,Percent,%,1992,19.3
USA-AL,USA-AL,Percent,%,1991,17.3
USA-AL,USA-AL,Percent,%,1990,20.5
USA-AL,USA-AL,Percent,%,1989,17.0
USA-AR,USA-AR,Percent,%,2019,60.8
USA-AR,USA-AR,Percent,%,2018,59.9
USA-AR,USA-AR,Percent,%,2017,64.0
USA-AR,USA-AR,Percent,%,2016,62.3
USA-AR,USA-AR,Percent,%,2015,57.5
USA-AR,USA-AR,Percent,%,2014,54.5
USA-AR,USA-AR,Percent,%,2013,56.3
USA-AR,USA-AR,Percent,%,2012,59.8
USA-AR,USA-AR,Percent,%,2011,48.5
USA-AR,USA-AR,Percent,%,2010,44.4
USA-AR,USA-AR,Percent,%,2009,40.6
USA-AR,USA-AR,Percent,%,2008,35.5
USA-AR,USA-AR,Percent,%,2007,29.6
USA-AR,USA-AR,Percent,%,2006,28.3
USA-AR,USA-AR,Percent,%,2005,25.9
USA-AR,USA-AR,Percent,%,2004,19.7
USA-AR,USA-AR,Percent,%,2003,18.1
USA-AR,USA-AR,Percent,%,2002,19.2
USA-AR,USA-AR,Percent,%,2001,13.0
USA-AR,USA-AR,Percent,%,2000,10.1
USA-AR,USA-AR,Percent,%,1999,10.7
USA-AR,USA-AR,Percent,%,1998,9.2
USA-AR,USA-AR,Percent,%,1997,5.8
USA-AR,USA-AR,Percent,%,1996,5.0
USA-AR,USA-AR,Percent,%,1995,4.0
USA-AR,USA-AR,Percent,%,1994,4.9
USA-AR,USA-AR,Percent,%,1993,8.3
USA-AR,USA-AR,Percent,%,1992,9.3
USA-AR,USA-AR,Percent,%,1991,8.5
USA-AR,USA-AR,Percent,%,1990,7.7
USA-AR,USA-AR,Percent,%,1989,6.9
USA-AZ,USA-AZ,Percent,%,2019,18.5
USA-AZ,USA-AZ,Percent,%,2018,18.3
USA-AZ,USA-AZ,Percent,%,2017,18.9
USA-AZ,USA-AZ,Percent,%,2016,24.7
USA-AZ,USA-AZ,Percent,%,2015,16.3
USA-AZ,USA-AZ,Percent,%,2014,15.6
USA-AZ,USA-AZ,Percent,%,2013,14.5
USA-AZ,USA-AZ,Percent,%,2012,13.4
USA-AZ,USA-AZ,Percent,%,2011,12.2
USA-AZ,USA-AZ,Percent,%,2010,11.3
USA-AZ,USA-AZ,Percent,%,2009,12.0
USA-AZ,USA-AZ,Percent,%,2008,6.9
USA-AZ,USA-AZ,Percent,%,2007,6.6
USA-AZ,USA-AZ,Percent,%,2006,6.9
USA-AZ,USA-AZ,Percent,%,2005,6.7
USA-AZ,USA-AZ,Percent,%,2004,6.5
USA-AZ,USA-AZ,Percent,%,2003,9.3
USA-AZ,USA-AZ,Percent,%,2002,7.2
USA-AZ,USA-AZ,Percent,%,2001,7.4
USA-AZ,USA-AZ,Percent,%,2000,16.3
USA-AZ,USA-AZ,Percent,%,1999,17.5
USA-AZ,USA-AZ,Percent,%,1998,15.0
USA-AZ,USA-AZ,Percent,%,1997,15.5
USA-AZ,USA-AZ,Percent,%,1996,14.9
USA-AZ,USA-AZ,Percent,%,1995,11.6
USA-AZ,USA-AZ,Percent,%,1994,9.3
USA-AZ,USA-AZ,Percent,%,1993,8.5
USA-AZ,USA-AZ,Percent,%,1992,7.5
USA-AZ,USA-AZ,Percent,%,1991,6.8
USA-AZ,USA-AZ,Percent,%,1990,4.3
USA-AZ,USA-AZ,Percent,%,1989,6.3
USA-CA,USA-CA,Percent,%,2019,47.1
USA-CA,USA-CA,Percent,%,2018,48.7
USA-CA,USA-CA,Percent,%,2017,47.6
USA-CA,USA-CA,Percent,%,2016,48.9
USA-CA,USA-CA,Percent,%,2015,50.1
USA-CA,USA-CA,Percent,%,2014,51.6
USA-CA,USA-CA,Percent,%,2013,50.1
USA-CA,USA-CA,Percent,%,2012,50.0
USA-CA,USA-CA,Percent,%,2011,45.7
USA-CA,USA-CA,Percent,%,2010,45.9
USA-CA,USA-CA,Percent,%,2009,45.1
USA-CA,USA-CA,Percent,%,2008,43.3
