iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,87.1
USA,USA,Percent,%,2018,85.5
USA,USA,Percent,%,2017,85.2
USA,USA,Percent,%,2016,85.1
USA,USA,Percent,%,2015,85.2
USA,USA,Percent,%,2014,85.1
USA,USA,Percent,%,2013,83.4
USA,USA,Percent,%,2012,83.8
USA,USA,Percent,%,2011,83.7
USA,USA,Percent,%,2010,82.8
USA,USA,Percent,%,2009,81.2
USA,USA,Percent,%,2008,79.6
USA,USA,Percent,%,2007,77.8
USA,USA,Percent,%,2006,76.6
USA,USA,Percent,%,2005,75.9
USA,USA,Percent,%,2004,76.3
USA,USA,Percent,%,2003,77.9
USA,USA,Percent,%,2002,77.3
USA,USA,Percent,%,2001,79.2
USA,USA,Percent,%,2000,80.2
USA,USA,Percent,%,1999,81.3
USA,USA,Percent,%,1998,83.9
USA,USA,Percent,%,1997,81.9
USA,USA,Percent,%,1996,80.6
USA,USA,Percent,%,1995,76.0
USA,USA,Percent,%,1994,74.8
USA,USA,Percent,%,1993,70.7
USA,USA,Percent,%,1992,69.7
USA,USA,Percent,%,1991,67.3
USA,USA,Percent,%,1990,64.8
USA,USA,Percent,%,1989,63.1
USA-AK,USA-AK,Percent,%,2019,62.8
USA-AK,USA-AK,Percent,%,2018,
USA-AK,USA-AK,Percent,%,2017,
USA-AK,USA-AK,Percent,%,2016,0.0
USA-AK,USA-AK,Percent,%,2015,
USA-AK,USA-AK,Percent,%,2014,0.0
USA-AK,USA-AK,Percent,%,2013,91.0
USA-AK,USA-AK,Percent,%,2012,
USA-AK,USA-AK,Percent,%,2011,39.2
USA-AK,USA-AK,Percent,%,2010,29.5
USA-AK,USA-AK,Percent,%,2009,27.5
USA-AK,USA-AK,Percent,%,2008,21.8
USA-AK,USA-AK,Percent,%,2007,30.0
USA-AK,USA-AK,Percent,%,2006,36.9
USA-AK,USA-AK,Percent,%,2005,31.4
USA-AK,USA-AK,Percent,%,2004,33.1
USA-AK,USA-AK,Percent,%,2003,27.8
USA-AK,USA-AK,Percent,%,2002,9.8
USA-AK,USA-AK,Percent,%,2001,3.8
USA-AK,USA-AK,Percent,%,2000,0.2
USA-AK,USA-AK,Percent,%,1999,0.9
USA-AK,USA-AK,Percent,%,1998,0.6
USA-AK,USA-AK,Percent,%,1997,2.2
USA-AK,USA-AK,Percent,%,1996,35.7
USA-AK,USA-AK,Percent,%,1995,47.9
USA-AK,USA-AK,Percent,%,1994,41.6
USA-AK,USA-AK,Percent,%,1993,29.4
USA-AK,USA-AK,Percent,%,1992,30.2
USA-AK,USA-AK,Percent,%,1991,30.9
USA-AK,USA-AK,Percent,%,1990,36.6
USA-AK,USA-AK,Percent,%,1989,44.8
USA-AL,USA-AL,Percent,%,2019,76.5
USA-AL,USA-AL,Percent,%,2018,75.8
USA-AL,USA-AL,Percent,%,2017,73.8
USA-AL,USA-AL,Percent,%,2016,75.4
USA-AL,USA-AL,Percent,%,2015,76.8
USA-AL,USA-AL,Percent,%,2014,76.7
USA-AL,USA-AL,Percent,%,2013,76.4
USA-AL,USA-AL,Percent,%,2012,77.9
USA-AL,USA-AL,Percent,%,2011,76.5
USA-AL,USA-AL,Percent,%,2010,75.2
USA-AL,USA-AL,Percent,%,2009,72.1
USA-AL,USA-AL,Percent,%,2008,72.8
USA-AL,USA-AL,Percent,%,2007,76.0
USA-AL,USA-AL,Percent,%,2006,76.5
USA-AL,USA-AL,Percent,%,2005,76.4
USA-AL,USA-AL,Percent,%,2004,79.2
USA-AL,USA-AL,Percent,%,2003,78.8
USA-AL,USA-AL,Percent,%,2002,78.4
USA-AL,USA-AL,Percent,%,2001,77.9
USA-AL,USA-AL,Percent,%,2000,77.6
USA-AL,USA-AL,Percent,%,1999,78.2
USA-AL,USA-AL,Percent,%,1998,76.7
USA-AL,USA-AL,Percent,%,1997,75.4
USA-AL,USA-AL,Percent,%,1996,77.4
USA-AL,USA-AL,Percent,%,1995,76.6
USA-AL,USA-AL,Percent,%,1994,72.7
