iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,13.0
USA,USA,Percent,%,2018,14.0
USA,USA,Percent,%,2017,14.0
USA,USA,Percent,%,2016,14.0
USA,USA,Percent,%,2015,14.0
USA,USA,Percent,%,2014,14.0
USA,USA,Percent,%,2013,14.0
USA,USA,Percent,%,2012,13.0
USA,USA,Percent,%,2011,12.0
USA,USA,Percent,%,2010,12.0
USA,USA,Percent,%,2009,11.0
USA,USA,Percent,%,2008,10.0
USA,USA,Percent,%,2007,9.0
USA-AL,USA-AL,Percent,%,2019,
USA-AL,USA-AL,Percent,%,2018,
USA-AL,USA-AL,Percent,%,2017,
USA-AL,USA-AL,Percent,%,2016,0.0
USA-AL,USA-AL,Percent,%,2015,
USA-AL,USA-AL,Percent,%,2014,0.0
USA-AL,USA-AL,Percent,%,2013,
USA-AL,USA-AL,Percent,%,2012,
USA-AL,USA-AL,Percent,%,2011,
USA-AL,USA-AL,Percent,%,2010,
USA-AL,USA-AL,Percent,%,2009,
USA-AL,USA-AL,Percent,%,2008,
USA-AL,USA-AL,Percent,%,2007,
USA-AZ,USA-AZ,Percent,%,2019,0.0
USA-AZ,USA-AZ,Percent,%,2018,0.0
USA-AZ,USA-AZ,Percent,%,2017,0.0
USA-AZ,USA-AZ,Percent,%,2016,0.0
USA-AZ,USA-AZ,Percent,%,2015,0.0
USA-AZ,USA-AZ,Percent,%,2014,0.0
USA-AZ,USA-AZ,Percent,%,2013,0.0
USA-AZ,USA-AZ,Percent,%,2012,0.0
USA-AZ,USA-AZ,Percent,%,2011,0.0
USA-AZ,USA-AZ,Percent,%,2010,
USA-AZ,USA-AZ,Percent,%,2009,
USA-AZ,USA-AZ,Percent,%,2008,
USA-AZ,USA-AZ,Percent,%,2007,
USA-CA,USA-CA,Percent,%,2019,5.0
USA-CA,USA-CA,Percent,%,2018,5.0
USA-CA,USA-CA,Percent,%,2017,5.0
USA-CA,USA-CA,Percent,%,2016,5.0
USA-CA,USA-CA,Percent,%,2015,5.0
USA-CA,USA-CA,Percent,%,2014,5.0
USA-CA,USA-CA,Percent,%,2013,4.0
USA-CA,USA-CA,Percent,%,2012,3.0
USA-CA,USA-CA,Percent,%,2011,2.0
USA-CA,USA-CA,Percent,%,2010,1.0
USA-CA,USA-CA,Percent,%,2009,1.0
USA-CA,USA-CA,Percent,%,2008,1.0
USA-CA,USA-CA,Percent,%,2007,0.0
USA-CO,USA-CO,Percent,%,2019,0.0
USA-CO,USA-CO,Percent,%,2018,0.0
USA-CO,USA-CO,Percent,%,2017,0.0
USA-CO,USA-CO,Percent,%,2016,0.0
