iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,1615802
USA,USA,Million Cubic Feet,MMcf,2018,1616830
USA,USA,Million Cubic Feet,MMcf,2017,1478318
USA,USA,Million Cubic Feet,MMcf,2016,1473824
USA,USA,Million Cubic Feet,MMcf,2015,1490944
USA,USA,Million Cubic Feet,MMcf,2014,1600088
USA,USA,Million Cubic Feet,MMcf,2013,1519352
USA,USA,Million Cubic Feet,MMcf,2012,1354780
USA,USA,Million Cubic Feet,MMcf,2011,1394183
USA,USA,Million Cubic Feet,MMcf,2010,1317138
USA,USA,Million Cubic Feet,MMcf,2009,1273058
USA,USA,Million Cubic Feet,MMcf,2008,1201169
USA,USA,Million Cubic Feet,MMcf,2007,1132106
USA,USA,Million Cubic Feet,MMcf,2006,1028248
USA,USA,Million Cubic Feet,MMcf,2005,1049990
USA,USA,Million Cubic Feet,MMcf,2004,1124212
USA,USA,Million Cubic Feet,MMcf,2003,1109648
USA,USA,Million Cubic Feet,MMcf,2002,1144456
USA,USA,Million Cubic Feet,MMcf,2001,1026557
USA,USA,Million Cubic Feet,MMcf,2000,1147565
USA,USA,Million Cubic Feet,MMcf,1999,1031794
USA,USA,Million Cubic Feet,MMcf,1998,990265
USA,USA,Million Cubic Feet,MMcf,1997,939332
USA,USA,Million Cubic Feet,MMcf,1996,706667
USA,USA,Million Cubic Feet,MMcf,1995,706139
USA,USA,Million Cubic Feet,MMcf,1994,599058
USA,USA,Million Cubic Feet,MMcf,1993,460097
USA,USA,Million Cubic Feet,MMcf,1992,471009
USA,USA,Million Cubic Feet,MMcf,1991,405919
USA,USA,Million Cubic Feet,MMcf,1990,352521
USA,USA,Million Cubic Feet,MMcf,1989,295604
USA,USA,Million Cubic Feet,MMcf,1988,247051
USA,USA,Million Cubic Feet,MMcf,1987,167413
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,234
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,210
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,245
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,247
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,325
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,980
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,1022
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,1005
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,2208
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,1951
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,2448
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,4274
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,4499
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,8098
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,8251
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,8179
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,7066
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,6271
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,6259
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,10773
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,12345
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,13649
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,12241
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,9990
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,5019
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,5355
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,5629
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,5506
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,5376
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,5618
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,5941
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,5935
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,5126
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,5313
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,5494
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,5160
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,4999
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,4722
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,4832
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,4891
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,4744
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,4604
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,4882
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,4608
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,4753
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,8141
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,5009
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,11432
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,5470
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,5213
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,5043
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,4950
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,4868
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,4112
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,4967
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,4498
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,2278
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,173
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,33483
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,33216
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,30417
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,28537
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,27415
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,27604
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,26797
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,24772
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,19402
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,17862
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,14776
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,13112
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,9534
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,8843
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,8173
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,5874
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,5751
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,6336
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,4164
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,3354
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,2983
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,2576
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,1699
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,1550
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,1104
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,1351
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,2393
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,2343
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,2198
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,1939
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,1870
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,1723
USA-AR,USA-AR,Million Cubic Feet,MMcf,1987,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,6411
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,5811
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,5912
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,8396
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,4992
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,4743
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,4772
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,4213
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,3988
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,3605
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,3866
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,2258
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,2172
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,2261
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,2140
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,2153
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,3003
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,2295
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,2297
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,5254
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,5485
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,4777
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,4662
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1996,4309
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1995,3282
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1994,2709
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1993,2336
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1992,2021
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1991,1876
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1990,1219
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1989,1796
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1988,1311
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1987,1094
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,120640
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,120738
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,112875
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,115959
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,118219
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,122637
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,127588
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,126571
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,112448
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,113903
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,111702
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,108738
USA-CA,USA-CA,Million Cubic Feet,MMcf,2007,98776
USA-CA,USA-CA,Million Cubic Feet,MMcf,2006,86196
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,72999
USA-CA,USA-CA,Million Cubic Feet,MMcf,2004,66778
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,69072
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,74767
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,92011
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,105650
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,105079
USA-CA,USA-CA,Million Cubic Feet,MMcf,1998,144864
USA-CA,USA-CA,Million Cubic Feet,MMcf,1997,125836
USA-CA,USA-CA,Million Cubic Feet,MMcf,1996,106531
USA-CA,USA-CA,Million Cubic Feet,MMcf,1995,133483
USA-CA,USA-CA,Million Cubic Feet,MMcf,1994,134346
USA-CA,USA-CA,Million Cubic Feet,MMcf,1993,57781
USA-CA,USA-CA,Million Cubic Feet,MMcf,1992,72782
USA-CA,USA-CA,Million Cubic Feet,MMcf,1991,63882
USA-CA,USA-CA,Million Cubic Feet,MMcf,1990,38337
USA-CA,USA-CA,Million Cubic Feet,MMcf,1989,21109
USA-CA,USA-CA,Million Cubic Feet,MMcf,1988,10862
USA-CA,USA-CA,Million Cubic Feet,MMcf,1987,894
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,3616
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,3301
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,3169
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,3104
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,2937
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,3199
USA-CO,USA-CO,Million Cubic Feet,MMcf,2013,3142
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,4061
USA-CO,USA-CO,Million Cubic Feet,MMcf,2011,3457
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,3118
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,3240
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,3132
USA-CO,USA-CO,Million Cubic Feet,MMcf,2007,2721
USA-CO,USA-CO,Million Cubic Feet,MMcf,2006,2772
USA-CO,USA-CO,Million Cubic Feet,MMcf,2005,3010
USA-CO,USA-CO,Million Cubic Feet,MMcf,2004,3299
USA-CO,USA-CO,Million Cubic Feet,MMcf,2003,2918
USA-CO,USA-CO,Million Cubic Feet,MMcf,2002,3139
USA-CO,USA-CO,Million Cubic Feet,MMcf,2001,2889
USA-CO,USA-CO,Million Cubic Feet,MMcf,2000,1584
USA-CO,USA-CO,Million Cubic Feet,MMcf,1999,1508
USA-CO,USA-CO,Million Cubic Feet,MMcf,1998,3573
USA-CO,USA-CO,Million Cubic Feet,MMcf,1997,4998
USA-CO,USA-CO,Million Cubic Feet,MMcf,1996,4702
USA-CO,USA-CO,Million Cubic Feet,MMcf,1995,3863
USA-CO,USA-CO,Million Cubic Feet,MMcf,1994,3403
USA-CO,USA-CO,Million Cubic Feet,MMcf,1993,3241
USA-CO,USA-CO,Million Cubic Feet,MMcf,1992,2993
USA-CO,USA-CO,Million Cubic Feet,MMcf,1991,2763
USA-CO,USA-CO,Million Cubic Feet,MMcf,1990,1800
