iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,656745
USA,USA,Million Cubic Feet,MMcf,2018,691808
USA,USA,Million Cubic Feet,MMcf,2017,605105
USA,USA,Million Cubic Feet,MMcf,2016,604272
USA,USA,Million Cubic Feet,MMcf,2015,661585
USA,USA,Million Cubic Feet,MMcf,2014,733941
USA,USA,Million Cubic Feet,MMcf,2013,676657
USA,USA,Million Cubic Feet,MMcf,2012,534298
USA,USA,Million Cubic Feet,MMcf,2011,550444
USA,USA,Million Cubic Feet,MMcf,2010,552116
USA,USA,Million Cubic Feet,MMcf,2009,519466
USA,USA,Million Cubic Feet,MMcf,2008,491940
USA,USA,Million Cubic Feet,MMcf,2007,444010
USA,USA,Million Cubic Feet,MMcf,2006,378974
USA,USA,Million Cubic Feet,MMcf,2005,421124
USA,USA,Million Cubic Feet,MMcf,2004,435536
USA,USA,Million Cubic Feet,MMcf,2003,472315
USA,USA,Million Cubic Feet,MMcf,2002,423754
USA,USA,Million Cubic Feet,MMcf,2001,361903
USA,USA,Million Cubic Feet,MMcf,2000,371972
USA,USA,Million Cubic Feet,MMcf,1999,225198
USA,USA,Million Cubic Feet,MMcf,1998,105128
USA,USA,Million Cubic Feet,MMcf,1997,61013
USA,USA,Million Cubic Feet,MMcf,1996,49148
USA,USA,Million Cubic Feet,MMcf,1995,45269
USA,USA,Million Cubic Feet,MMcf,1994,42338
USA,USA,Million Cubic Feet,MMcf,1993,44314
USA,USA,Million Cubic Feet,MMcf,1992,41433
USA,USA,Million Cubic Feet,MMcf,1991,36440
USA,USA,Million Cubic Feet,MMcf,1990,31302
USA,USA,Million Cubic Feet,MMcf,1989,3497
USA,USA,Million Cubic Feet,MMcf,1988,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,7
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,6
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,2
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,3
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,2
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,0
