iso3166,geography,units,unitsshort,period,value
USA,USA,Thousand Cubic Feet,Mcf,2019,633
USA,USA,Thousand Cubic Feet,Mcf,2018,637
USA,USA,Thousand Cubic Feet,Mcf,2017,575
USA,USA,Thousand Cubic Feet,Mcf,2016,568
USA,USA,Thousand Cubic Feet,Mcf,2015,587
USA,USA,Thousand Cubic Feet,Mcf,2014,640
USA,USA,Thousand Cubic Feet,Mcf,2013,613
USA,USA,Thousand Cubic Feet,Mcf,2012,540
USA,USA,Thousand Cubic Feet,Mcf,2011,593
USA,USA,Thousand Cubic Feet,Mcf,2010,585
USA,USA,Thousand Cubic Feet,Mcf,2009,586
USA,USA,Thousand Cubic Feet,Mcf,2008,579
USA,USA,Thousand Cubic Feet,Mcf,2007,568
USA,USA,Thousand Cubic Feet,Mcf,2006,537
USA,USA,Thousand Cubic Feet,Mcf,2005,577
USA,USA,Thousand Cubic Feet,Mcf,2004,609
USA,USA,Thousand Cubic Feet,Mcf,2003,617
USA,USA,Thousand Cubic Feet,Mcf,2002,621
USA,USA,Thousand Cubic Feet,Mcf,2001,605
USA,USA,Thousand Cubic Feet,Mcf,2000,635
USA,USA,Thousand Cubic Feet,Mcf,1999,608
USA,USA,Thousand Cubic Feet,Mcf,1998,595
USA,USA,Thousand Cubic Feet,Mcf,1997,675
USA,USA,Thousand Cubic Feet,Mcf,1996,669
USA,USA,Thousand Cubic Feet,Mcf,1995,654
USA,USA,Thousand Cubic Feet,Mcf,1994,639
USA,USA,Thousand Cubic Feet,Mcf,1993,641
USA,USA,Thousand Cubic Feet,Mcf,1992,636
USA,USA,Thousand Cubic Feet,Mcf,1991,626
USA,USA,Thousand Cubic Feet,Mcf,1990,619
USA,USA,Thousand Cubic Feet,Mcf,1989,652
USA,USA,Thousand Cubic Feet,Mcf,1988,647
USA,USA,Thousand Cubic Feet,Mcf,1987,606
USA,USA,Thousand Cubic Feet,Mcf,1986,587
USA,USA,Thousand Cubic Feet,Mcf,1985,634
USA,USA,Thousand Cubic Feet,Mcf,1984,672
USA,USA,Thousand Cubic Feet,Mcf,1983,625
USA,USA,Thousand Cubic Feet,Mcf,1982,696
USA,USA,Thousand Cubic Feet,Mcf,1981,693
USA,USA,Thousand Cubic Feet,Mcf,1980,739
USA,USA,Thousand Cubic Feet,Mcf,1979,811
USA,USA,Thousand Cubic Feet,Mcf,1978,784
USA,USA,Thousand Cubic Feet,Mcf,1977,745
USA,USA,Thousand Cubic Feet,Mcf,1976,789
USA,USA,Thousand Cubic Feet,Mcf,1975,730
USA,USA,Thousand Cubic Feet,Mcf,1974,734
USA,USA,Thousand Cubic Feet,Mcf,1973,779
USA,USA,Thousand Cubic Feet,Mcf,1972,777
USA,USA,Thousand Cubic Feet,Mcf,1971,751
USA,USA,Thousand Cubic Feet,Mcf,1970,737
USA,USA,Thousand Cubic Feet,Mcf,1969,699
USA,USA,Thousand Cubic Feet,Mcf,1968,665
USA,USA,Thousand Cubic Feet,Mcf,1967,637
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2019,1045
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2018,1045
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2017,1132
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2016,1174
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2015,1363
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2014,1338
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2013,1411
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2012,1515
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2011,1489
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2010,1225
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2009,1258
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2008,1334
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2007,1399
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2006,1289
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2005,1197
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2004,1312
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2003,1191
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2002,1094
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2001,1132
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2000,1932
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1999,2063
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1998,2055
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1997,2079
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1996,2145
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1995,1985
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1994,1659
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1993,1618
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1992,1745
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1991,1731
