iso3166,geography,units,unitsshort,period,value
USA,USA,Thousand Cubic Feet,Mcf,2019,45961
USA,USA,Thousand Cubic Feet,Mcf,2018,45497
USA,USA,Thousand Cubic Feet,Mcf,2017,42945
USA,USA,Thousand Cubic Feet,Mcf,2016,40928
USA,USA,Thousand Cubic Feet,Mcf,2015,39939
USA,USA,Thousand Cubic Feet,Mcf,2014,39794
USA,USA,Thousand Cubic Feet,Mcf,2013,38616
USA,USA,Thousand Cubic Feet,Mcf,2012,38159
USA,USA,Thousand Cubic Feet,Mcf,2011,36947
USA,USA,Thousand Cubic Feet,Mcf,2010,35418
USA,USA,Thousand Cubic Feet,Mcf,2009,29705
USA,USA,Thousand Cubic Feet,Mcf,2008,29639
USA,USA,Thousand Cubic Feet,Mcf,2007,33561
USA,USA,Thousand Cubic Feet,Mcf,2006,33597
USA,USA,Thousand Cubic Feet,Mcf,2005,31991
USA,USA,Thousand Cubic Feet,Mcf,2004,34645
USA,USA,Thousand Cubic Feet,Mcf,2003,34793
USA,USA,Thousand Cubic Feet,Mcf,2002,36458
USA,USA,Thousand Cubic Feet,Mcf,2001,33840
USA,USA,Thousand Cubic Feet,Mcf,2000,36968
USA,USA,Thousand Cubic Feet,Mcf,1999,35384
USA,USA,Thousand Cubic Feet,Mcf,1998,36785
USA,USA,Thousand Cubic Feet,Mcf,1997,36239
USA,USA,Thousand Cubic Feet,Mcf,1996,43050
USA,USA,Thousand Cubic Feet,Mcf,1995,40973
USA,USA,Thousand Cubic Feet,Mcf,1994,40244
USA,USA,Thousand Cubic Feet,Mcf,1993,38067
USA,USA,Thousand Cubic Feet,Mcf,1992,35908
USA,USA,Thousand Cubic Feet,Mcf,1991,33395
USA,USA,Thousand Cubic Feet,Mcf,1990,32144
USA,USA,Thousand Cubic Feet,Mcf,1989,30248
USA,USA,Thousand Cubic Feet,Mcf,1988,32071
USA,USA,Thousand Cubic Feet,Mcf,1987,30423
USA,USA,Thousand Cubic Feet,Mcf,1986,29057
USA,USA,Thousand Cubic Feet,Mcf,1985,30956
USA,USA,Thousand Cubic Feet,Mcf,1984,24309
USA,USA,Thousand Cubic Feet,Mcf,1983,29915
USA,USA,Thousand Cubic Feet,Mcf,1982,30909
USA,USA,Thousand Cubic Feet,Mcf,1981,37530
USA,USA,Thousand Cubic Feet,Mcf,1980,39245
USA,USA,Thousand Cubic Feet,Mcf,1979,0
USA,USA,Thousand Cubic Feet,Mcf,1978,0
USA,USA,Thousand Cubic Feet,Mcf,1977,0
USA,USA,Thousand Cubic Feet,Mcf,1976,0
USA,USA,Thousand Cubic Feet,Mcf,1975,0
USA,USA,Thousand Cubic Feet,Mcf,1974,0
USA,USA,Thousand Cubic Feet,Mcf,1973,0
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2019,2277092
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2018,981588
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2017,692669
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2016,711300
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2015,1215880
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2014,4847208
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2013,1354889
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2012,2118957
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2011,1353819
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2010,2135975
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2009,2211756
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2008,997882
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2007,1795587
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2006,2859770
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2005,4407215
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2004,4674183
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2003,4573962
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2002,7299239
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2001,8396690
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,2000,8077081
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1999,8247117
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1998,10849558
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1997,10514186
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1996,374337
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1995,7219705
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1994,5582184
USA-AK,USA-AK,Thousand Cubic Feet,Mcf,1993,6890453
