iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,183233
USA,USA,Number of Elements,Count,2018,185009
USA,USA,Number of Elements,Count,2017,184959
USA,USA,Number of Elements,Count,2016,188836
USA,USA,Number of Elements,Count,2015,188336
USA,USA,Number of Elements,Count,2014,192139
USA,USA,Number of Elements,Count,2013,192288
USA,USA,Number of Elements,Count,2012,189372
USA,USA,Number of Elements,Count,2011,189301
USA,USA,Number of Elements,Count,2010,192730
USA,USA,Number of Elements,Count,2009,207624
USA,USA,Number of Elements,Count,2008,225044
USA,USA,Number of Elements,Count,2007,198289
USA,USA,Number of Elements,Count,2006,193830
USA,USA,Number of Elements,Count,2005,206223
USA,USA,Number of Elements,Count,2004,209058
USA,USA,Number of Elements,Count,2003,205514
USA,USA,Number of Elements,Count,2002,205915
USA,USA,Number of Elements,Count,2001,217026
USA,USA,Number of Elements,Count,2000,220251
USA,USA,Number of Elements,Count,1999,228331
USA,USA,Number of Elements,Count,1998,226191
USA,USA,Number of Elements,Count,1997,234855
USA,USA,Number of Elements,Count,1996,206049
USA,USA,Number of Elements,Count,1995,209398
USA,USA,Number of Elements,Count,1994,202940
USA,USA,Number of Elements,Count,1993,209666
USA,USA,Number of Elements,Count,1992,209616
USA,USA,Number of Elements,Count,1991,216529
USA,USA,Number of Elements,Count,1990,218341
USA,USA,Number of Elements,Count,1989,225346
USA,USA,Number of Elements,Count,1988,199041
USA,USA,Number of Elements,Count,1987,195544
USA-AK,USA-AK,Number of Elements,Count,2019,7
USA-AK,USA-AK,Number of Elements,Count,2018,6
USA-AK,USA-AK,Number of Elements,Count,2017,6
USA-AK,USA-AK,Number of Elements,Count,2016,6
USA-AK,USA-AK,Number of Elements,Count,2015,4
USA-AK,USA-AK,Number of Elements,Count,2014,1
USA-AK,USA-AK,Number of Elements,Count,2013,3
USA-AK,USA-AK,Number of Elements,Count,2012,3
USA-AK,USA-AK,Number of Elements,Count,2011,5
USA-AK,USA-AK,Number of Elements,Count,2010,3
USA-AK,USA-AK,Number of Elements,Count,2009,3
USA-AK,USA-AK,Number of Elements,Count,2008,6
USA-AK,USA-AK,Number of Elements,Count,2007,11
USA-AK,USA-AK,Number of Elements,Count,2006,11
USA-AK,USA-AK,Number of Elements,Count,2005,12
USA-AK,USA-AK,Number of Elements,Count,2004,10
USA-AK,USA-AK,Number of Elements,Count,2003,9
USA-AK,USA-AK,Number of Elements,Count,2002,9
USA-AK,USA-AK,Number of Elements,Count,2001,8
USA-AK,USA-AK,Number of Elements,Count,2000,9
USA-AK,USA-AK,Number of Elements,Count,1999,9
USA-AK,USA-AK,Number of Elements,Count,1998,7
USA-AK,USA-AK,Number of Elements,Count,1997,7
USA-AK,USA-AK,Number of Elements,Count,1996,202
USA-AK,USA-AK,Number of Elements,Count,1995,9
USA-AK,USA-AK,Number of Elements,Count,1994,11
USA-AK,USA-AK,Number of Elements,Count,1993,11
USA-AK,USA-AK,Number of Elements,Count,1992,10
USA-AK,USA-AK,Number of Elements,Count,1991,8
USA-AK,USA-AK,Number of Elements,Count,1990,8
USA-AK,USA-AK,Number of Elements,Count,1989,8
USA-AK,USA-AK,Number of Elements,Count,1988,11
USA-AK,USA-AK,Number of Elements,Count,1987,10
USA-AL,USA-AL,Number of Elements,Count,2019,3511
USA-AL,USA-AL,Number of Elements,Count,2018,3493
USA-AL,USA-AL,Number of Elements,Count,2017,3457
USA-AL,USA-AL,Number of Elements,Count,2016,3317
USA-AL,USA-AL,Number of Elements,Count,2015,3303
USA-AL,USA-AL,Number of Elements,Count,2014,3244
USA-AL,USA-AL,Number of Elements,Count,2013,3143
USA-AL,USA-AL,Number of Elements,Count,2012,3045
USA-AL,USA-AL,Number of Elements,Count,2011,2988
USA-AL,USA-AL,Number of Elements,Count,2010,3039
USA-AL,USA-AL,Number of Elements,Count,2009,3057
USA-AL,USA-AL,Number of Elements,Count,2008,2757
USA-AL,USA-AL,Number of Elements,Count,2007,2704
USA-AL,USA-AL,Number of Elements,Count,2006,2735
USA-AL,USA-AL,Number of Elements,Count,2005,2787
USA-AL,USA-AL,Number of Elements,Count,2004,2799
USA-AL,USA-AL,Number of Elements,Count,2003,2743
USA-AL,USA-AL,Number of Elements,Count,2002,2730
USA-AL,USA-AL,Number of Elements,Count,2001,2781
USA-AL,USA-AL,Number of Elements,Count,2000,2792
USA-AL,USA-AL,Number of Elements,Count,1999,2620
USA-AL,USA-AL,Number of Elements,Count,1998,2464
USA-AL,USA-AL,Number of Elements,Count,1997,2496
USA-AL,USA-AL,Number of Elements,Count,1996,2512
USA-AL,USA-AL,Number of Elements,Count,1995,2491
USA-AL,USA-AL,Number of Elements,Count,1994,2477
USA-AL,USA-AL,Number of Elements,Count,1993,2458
USA-AL,USA-AL,Number of Elements,Count,1992,2509
USA-AL,USA-AL,Number of Elements,Count,1991,2523
USA-AL,USA-AL,Number of Elements,Count,1990,2431
USA-AL,USA-AL,Number of Elements,Count,1989,2380
USA-AL,USA-AL,Number of Elements,Count,1988,2293
USA-AL,USA-AL,Number of Elements,Count,1987,2313
USA-AL,USA-AL,Number of Elements,Count,1986,2
USA-AR,USA-AR,Number of Elements,Count,2019,965
USA-AR,USA-AR,Number of Elements,Count,2018,976
USA-AR,USA-AR,Number of Elements,Count,2017,947
USA-AR,USA-AR,Number of Elements,Count,2016,1008
USA-AR,USA-AR,Number of Elements,Count,2015,1023
USA-AR,USA-AR,Number of Elements,Count,2014,1009
USA-AR,USA-AR,Number of Elements,Count,2013,1020
USA-AR,USA-AR,Number of Elements,Count,2012,990
USA-AR,USA-AR,Number of Elements,Count,2011,1133
USA-AR,USA-AR,Number of Elements,Count,2010,1079
USA-AR,USA-AR,Number of Elements,Count,2009,1025
USA-AR,USA-AR,Number of Elements,Count,2008,1104
USA-AR,USA-AR,Number of Elements,Count,2007,1055
USA-AR,USA-AR,Number of Elements,Count,2006,1120
USA-AR,USA-AR,Number of Elements,Count,2005,1120
USA-AR,USA-AR,Number of Elements,Count,2004,1223
USA-AR,USA-AR,Number of Elements,Count,2003,1269
USA-AR,USA-AR,Number of Elements,Count,2002,1407
USA-AR,USA-AR,Number of Elements,Count,2001,1122
USA-AR,USA-AR,Number of Elements,Count,2000,1414
USA-AR,USA-AR,Number of Elements,Count,1999,1393
USA-AR,USA-AR,Number of Elements,Count,1998,1300
USA-AR,USA-AR,Number of Elements,Count,1997,1336
USA-AR,USA-AR,Number of Elements,Count,1996,1488
USA-AR,USA-AR,Number of Elements,Count,1995,1366
USA-AR,USA-AR,Number of Elements,Count,1994,1417
USA-AR,USA-AR,Number of Elements,Count,1993,1364
USA-AR,USA-AR,Number of Elements,Count,1992,1319
USA-AR,USA-AR,Number of Elements,Count,1991,1367
USA-AR,USA-AR,Number of Elements,Count,1990,1396
USA-AR,USA-AR,Number of Elements,Count,1989,1412
USA-AR,USA-AR,Number of Elements,Count,1988,1151
USA-AR,USA-AR,Number of Elements,Count,1987,1410
USA-AR,USA-AR,Number of Elements,Count,1986,1
USA-AZ,USA-AZ,Number of Elements,Count,2019,383
USA-AZ,USA-AZ,Number of Elements,Count,2018,382
USA-AZ,USA-AZ,Number of Elements,Count,2017,385
USA-AZ,USA-AZ,Number of Elements,Count,2016,395
USA-AZ,USA-AZ,Number of Elements,Count,2015,400
USA-AZ,USA-AZ,Number of Elements,Count,2014,386
USA-AZ,USA-AZ,Number of Elements,Count,2013,383
USA-AZ,USA-AZ,Number of Elements,Count,2012,379
USA-AZ,USA-AZ,Number of Elements,Count,2011,371
USA-AZ,USA-AZ,Number of Elements,Count,2010,368
USA-AZ,USA-AZ,Number of Elements,Count,2009,390
USA-AZ,USA-AZ,Number of Elements,Count,2008,383
USA-AZ,USA-AZ,Number of Elements,Count,2007,395
USA-AZ,USA-AZ,Number of Elements,Count,2006,439
USA-AZ,USA-AZ,Number of Elements,Count,2005,425
USA-AZ,USA-AZ,Number of Elements,Count,2004,414
USA-AZ,USA-AZ,Number of Elements,Count,2003,450
USA-AZ,USA-AZ,Number of Elements,Count,2002,488
USA-AZ,USA-AZ,Number of Elements,Count,2001,504
USA-AZ,USA-AZ,Number of Elements,Count,2000,526
USA-AZ,USA-AZ,Number of Elements,Count,1999,555
USA-AZ,USA-AZ,Number of Elements,Count,1998,514
USA-AZ,USA-AZ,Number of Elements,Count,1997,480
USA-AZ,USA-AZ,Number of Elements,Count,1996,534
USA-AZ,USA-AZ,Number of Elements,Count,1995,530
USA-AZ,USA-AZ,Number of Elements,Count,1994,519
USA-AZ,USA-AZ,Number of Elements,Count,1993,526
USA-AZ,USA-AZ,Number of Elements,Count,1992,532
USA-AZ,USA-AZ,Number of Elements,Count,1991,532
USA-AZ,USA-AZ,Number of Elements,Count,1990,526
USA-AZ,USA-AZ,Number of Elements,Count,1989,354
USA-AZ,USA-AZ,Number of Elements,Count,1988,344
USA-AZ,USA-AZ,Number of Elements,Count,1987,358
USA-CA,USA-CA,Number of Elements,Count,2019,35625
USA-CA,USA-CA,Number of Elements,Count,2018,36060
USA-CA,USA-CA,Number of Elements,Count,2017,36833
USA-CA,USA-CA,Number of Elements,Count,2016,37242
USA-CA,USA-CA,Number of Elements,Count,2015,36853
USA-CA,USA-CA,Number of Elements,Count,2014,37548
USA-CA,USA-CA,Number of Elements,Count,2013,37996
USA-CA,USA-CA,Number of Elements,Count,2012,37686
USA-CA,USA-CA,Number of Elements,Count,2011,37575
USA-CA,USA-CA,Number of Elements,Count,2010,38006
USA-CA,USA-CA,Number of Elements,Count,2009,38746
USA-CA,USA-CA,Number of Elements,Count,2008,39591
USA-CA,USA-CA,Number of Elements,Count,2007,39134
USA-CA,USA-CA,Number of Elements,Count,2006,38637
USA-CA,USA-CA,Number of Elements,Count,2005,40226
USA-CA,USA-CA,Number of Elements,Count,2004,41487
USA-CA,USA-CA,Number of Elements,Count,2003,34617
USA-CA,USA-CA,Number of Elements,Count,2002,33725
