iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,117794
USA,USA,Number of Elements,Count,2018,119395
USA,USA,Number of Elements,Count,2017,119191
USA,USA,Number of Elements,Count,2016,119967
USA,USA,Number of Elements,Count,2015,120190
USA,USA,Number of Elements,Count,2014,122502
USA,USA,Number of Elements,Count,2013,123124
USA,USA,Number of Elements,Count,2012,121821
USA,USA,Number of Elements,Count,2011,124552
USA,USA,Number of Elements,Count,2010,129119
USA,USA,Number of Elements,Count,2006,135070
USA,USA,Number of Elements,Count,2005,146450
USA,USA,Number of Elements,Count,2004,151386
USA,USA,Number of Elements,Count,2003,142816
USA,USA,Number of Elements,Count,2002,143177
USA,USA,Number of Elements,Count,2001,152974
USA,USA,Number of Elements,Count,2000,157806
USA,USA,Number of Elements,Count,1999,157050
USA,USA,Number of Elements,Count,1998,182424
USA-AK,USA-AK,Number of Elements,Count,2019,7
USA-AK,USA-AK,Number of Elements,Count,2018,6
USA-AK,USA-AK,Number of Elements,Count,2017,6
USA-AK,USA-AK,Number of Elements,Count,2016,6
USA-AK,USA-AK,Number of Elements,Count,2015,4
USA-AK,USA-AK,Number of Elements,Count,2014,1
USA-AK,USA-AK,Number of Elements,Count,2013,2
USA-AK,USA-AK,Number of Elements,Count,2012,3
USA-AK,USA-AK,Number of Elements,Count,2011,2
USA-AK,USA-AK,Number of Elements,Count,2010,2
USA-AK,USA-AK,Number of Elements,Count,2006,4
USA-AK,USA-AK,Number of Elements,Count,2005,7
USA-AK,USA-AK,Number of Elements,Count,2004,6
USA-AK,USA-AK,Number of Elements,Count,2003,6
USA-AK,USA-AK,Number of Elements,Count,2002,7
USA-AK,USA-AK,Number of Elements,Count,2001,5
USA-AK,USA-AK,Number of Elements,Count,2000,6
USA-AK,USA-AK,Number of Elements,Count,1999,6
USA-AK,USA-AK,Number of Elements,Count,1998,5
USA-AL,USA-AL,Number of Elements,Count,2019,3245
USA-AL,USA-AL,Number of Elements,Count,2018,3229
USA-AL,USA-AL,Number of Elements,Count,2017,3204
USA-AL,USA-AL,Number of Elements,Count,2016,3058
USA-AL,USA-AL,Number of Elements,Count,2015,3034
USA-AL,USA-AL,Number of Elements,Count,2014,2973
USA-AL,USA-AL,Number of Elements,Count,2013,2876
USA-AL,USA-AL,Number of Elements,Count,2012,2783
USA-AL,USA-AL,Number of Elements,Count,2011,2725
USA-AL,USA-AL,Number of Elements,Count,2010,2758
USA-AL,USA-AL,Number of Elements,Count,2006,2442
USA-AL,USA-AL,Number of Elements,Count,2005,2488
USA-AL,USA-AL,Number of Elements,Count,2004,2495
USA-AL,USA-AL,Number of Elements,Count,2003,2430
USA-AL,USA-AL,Number of Elements,Count,2002,2407
USA-AL,USA-AL,Number of Elements,Count,2001,2468
USA-AL,USA-AL,Number of Elements,Count,2000,2507
USA-AL,USA-AL,Number of Elements,Count,1999,2381
USA-AL,USA-AL,Number of Elements,Count,1998,2225
USA-AR,USA-AR,Number of Elements,Count,2019,480
USA-AR,USA-AR,Number of Elements,Count,2018,483
USA-AR,USA-AR,Number of Elements,Count,2017,468
USA-AR,USA-AR,Number of Elements,Count,2016,526
USA-AR,USA-AR,Number of Elements,Count,2015,538
USA-AR,USA-AR,Number of Elements,Count,2014,531
USA-AR,USA-AR,Number of Elements,Count,2013,513
USA-AR,USA-AR,Number of Elements,Count,2012,523
USA-AR,USA-AR,Number of Elements,Count,2011,554
USA-AR,USA-AR,Number of Elements,Count,2010,580
USA-AR,USA-AR,Number of Elements,Count,2006,700
USA-AR,USA-AR,Number of Elements,Count,2005,671
USA-AR,USA-AR,Number of Elements,Count,2004,782
USA-AR,USA-AR,Number of Elements,Count,2003,822
USA-AR,USA-AR,Number of Elements,Count,2002,910
USA-AR,USA-AR,Number of Elements,Count,2001,783
USA-AR,USA-AR,Number of Elements,Count,2000,1064
USA-AR,USA-AR,Number of Elements,Count,1999,1070
USA-AR,USA-AR,Number of Elements,Count,1998,997
USA-AZ,USA-AZ,Number of Elements,Count,2019,231
USA-AZ,USA-AZ,Number of Elements,Count,2018,233
USA-AZ,USA-AZ,Number of Elements,Count,2017,234
USA-AZ,USA-AZ,Number of Elements,Count,2016,241
USA-AZ,USA-AZ,Number of Elements,Count,2015,253
USA-AZ,USA-AZ,Number of Elements,Count,2014,256
USA-AZ,USA-AZ,Number of Elements,Count,2013,257
USA-AZ,USA-AZ,Number of Elements,Count,2012,261
USA-AZ,USA-AZ,Number of Elements,Count,2011,266
USA-AZ,USA-AZ,Number of Elements,Count,2010,261
USA-AZ,USA-AZ,Number of Elements,Count,2006,312
USA-AZ,USA-AZ,Number of Elements,Count,2005,319
USA-AZ,USA-AZ,Number of Elements,Count,2004,328
USA-AZ,USA-AZ,Number of Elements,Count,2003,365
USA-AZ,USA-AZ,Number of Elements,Count,2002,381
USA-AZ,USA-AZ,Number of Elements,Count,2001,417
USA-AZ,USA-AZ,Number of Elements,Count,2000,384
USA-AZ,USA-AZ,Number of Elements,Count,1999,438
USA-AZ,USA-AZ,Number of Elements,Count,1998,436
USA-CA,USA-CA,Number of Elements,Count,2019,31025
USA-CA,USA-CA,Number of Elements,Count,2018,31371
USA-CA,USA-CA,Number of Elements,Count,2017,32012
USA-CA,USA-CA,Number of Elements,Count,2016,32389
USA-CA,USA-CA,Number of Elements,Count,2015,31770
USA-CA,USA-CA,Number of Elements,Count,2014,32266
USA-CA,USA-CA,Number of Elements,Count,2013,32662
USA-CA,USA-CA,Number of Elements,Count,2012,32372
USA-CA,USA-CA,Number of Elements,Count,2011,32673
USA-CA,USA-CA,Number of Elements,Count,2010,33914
USA-CA,USA-CA,Number of Elements,Count,2006,35889
USA-CA,USA-CA,Number of Elements,Count,2005,38150
USA-CA,USA-CA,Number of Elements,Count,2004,39426
USA-CA,USA-CA,Number of Elements,Count,2003,32636
USA-CA,USA-CA,Number of Elements,Count,2002,31867
USA-CA,USA-CA,Number of Elements,Count,2001,33049
USA-CA,USA-CA,Number of Elements,Count,2000,33570
USA-CA,USA-CA,Number of Elements,Count,1999,34602
USA-CA,USA-CA,Number of Elements,Count,1998,35044
USA-CO,USA-CO,Number of Elements,Count,2019,1164
USA-CO,USA-CO,Number of Elements,Count,2018,1085
USA-CO,USA-CO,Number of Elements,Count,2017,1066
USA-CO,USA-CO,Number of Elements,Count,2016,1001
USA-CO,USA-CO,Number of Elements,Count,2015,1018
USA-CO,USA-CO,Number of Elements,Count,2014,986
USA-CO,USA-CO,Number of Elements,Count,2013,946
USA-CO,USA-CO,Number of Elements,Count,2012,960
USA-CO,USA-CO,Number of Elements,Count,2011,1011
USA-CO,USA-CO,Number of Elements,Count,2010,882
USA-CO,USA-CO,Number of Elements,Count,2006,334
USA-CO,USA-CO,Number of Elements,Count,2005,364
USA-CO,USA-CO,Number of Elements,Count,2004,393
USA-CO,USA-CO,Number of Elements,Count,2003,489
USA-CO,USA-CO,Number of Elements,Count,2002,591
USA-CO,USA-CO,Number of Elements,Count,2001,554
USA-CO,USA-CO,Number of Elements,Count,2000,520
USA-CO,USA-CO,Number of Elements,Count,1999,563
USA-CO,USA-CO,Number of Elements,Count,1998,566
USA-CT,USA-CT,Number of Elements,Count,2019,2865
USA-CT,USA-CT,Number of Elements,Count,2018,2960
USA-CT,USA-CT,Number of Elements,Count,2017,3059
USA-CT,USA-CT,Number of Elements,Count,2016,3207
USA-CT,USA-CT,Number of Elements,Count,2015,3335
USA-CT,USA-CT,Number of Elements,Count,2014,3340
USA-CT,USA-CT,Number of Elements,Count,2013,3360
USA-CT,USA-CT,Number of Elements,Count,2012,2162
USA-CT,USA-CT,Number of Elements,Count,2011,2086
USA-CT,USA-CT,Number of Elements,Count,2010,2110
USA-CT,USA-CT,Number of Elements,Count,2006,2575
USA-CT,USA-CT,Number of Elements,Count,2005,2618
USA-CT,USA-CT,Number of Elements,Count,2004,2625
USA-CT,USA-CT,Number of Elements,Count,2003,2612
USA-CT,USA-CT,Number of Elements,Count,2002,2620
USA-CT,USA-CT,Number of Elements,Count,2001,2796
USA-CT,USA-CT,Number of Elements,Count,2000,2953
USA-CT,USA-CT,Number of Elements,Count,1999,2796
USA-CT,USA-CT,Number of Elements,Count,1998,3025
USA-DE,USA-DE,Number of Elements,Count,2019,44
USA-DE,USA-DE,Number of Elements,Count,2018,40
USA-DE,USA-DE,Number of Elements,Count,2017,39
USA-DE,USA-DE,Number of Elements,Count,2016,34
USA-DE,USA-DE,Number of Elements,Count,2015,29
USA-DE,USA-DE,Number of Elements,Count,2014,28
USA-DE,USA-DE,Number of Elements,Count,2013,28
USA-DE,USA-DE,Number of Elements,Count,2012,29
USA-DE,USA-DE,Number of Elements,Count,2011,35
USA-DE,USA-DE,Number of Elements,Count,2010,40
USA-DE,USA-DE,Number of Elements,Count,2006,127
USA-DE,USA-DE,Number of Elements,Count,2005,124
USA-DE,USA-DE,Number of Elements,Count,2004,134
USA-DE,USA-DE,Number of Elements,Count,2003,133
USA-DE,USA-DE,Number of Elements,Count,2002,132
USA-DE,USA-DE,Number of Elements,Count,2001,210
USA-DE,USA-DE,Number of Elements,Count,2000,184
USA-DE,USA-DE,Number of Elements,Count,1999,216
USA-DE,USA-DE,Number of Elements,Count,1998,213
USA-FL,USA-FL,Number of Elements,Count,2019,156
USA-FL,USA-FL,Number of Elements,Count,2018,156
USA-FL,USA-FL,Number of Elements,Count,2017,150
USA-FL,USA-FL,Number of Elements,Count,2016,150
USA-FL,USA-FL,Number of Elements,Count,2015,152
USA-FL,USA-FL,Number of Elements,Count,2014,165
USA-FL,USA-FL,Number of Elements,Count,2013,166
USA-FL,USA-FL,Number of Elements,Count,2012,170
USA-FL,USA-FL,Number of Elements,Count,2011,162
USA-FL,USA-FL,Number of Elements,Count,2010,129
USA-FL,USA-FL,Number of Elements,Count,2006,165
USA-FL,USA-FL,Number of Elements,Count,2005,159
USA-FL,USA-FL,Number of Elements,Count,2004,174
USA-FL,USA-FL,Number of Elements,Count,2003,169
USA-FL,USA-FL,Number of Elements,Count,2002,193
USA-FL,USA-FL,Number of Elements,Count,2001,260
USA-FL,USA-FL,Number of Elements,Count,2000,297
USA-FL,USA-FL,Number of Elements,Count,1999,336
USA-FL,USA-FL,Number of Elements,Count,1998,368
USA-GA,USA-GA,Number of Elements,Count,2019,871
USA-GA,USA-GA,Number of Elements,Count,2018,1010
USA-GA,USA-GA,Number of Elements,Count,2017,1008
USA-GA,USA-GA,Number of Elements,Count,2016,966
USA-GA,USA-GA,Number of Elements,Count,2015,952
USA-GA,USA-GA,Number of Elements,Count,2014,887
USA-GA,USA-GA,Number of Elements,Count,2013,984
USA-GA,USA-GA,Number of Elements,Count,2012,886
USA-GA,USA-GA,Number of Elements,Count,2011,928
USA-GA,USA-GA,Number of Elements,Count,2010,892
USA-GA,USA-GA,Number of Elements,Count,2006,1042
USA-GA,USA-GA,Number of Elements,Count,2005,943
USA-GA,USA-GA,Number of Elements,Count,2004,993
USA-GA,USA-GA,Number of Elements,Count,2003,1078
USA-GA,USA-GA,Number of Elements,Count,2002,943
USA-GA,USA-GA,Number of Elements,Count,2001,967
USA-GA,USA-GA,Number of Elements,Count,2000,1010
USA-GA,USA-GA,Number of Elements,Count,1999,3227
USA-GA,USA-GA,Number of Elements,Count,1998,2968
USA-HI,USA-HI,Number of Elements,Count,2019,7
USA-HI,USA-HI,Number of Elements,Count,2018,7
USA-HI,USA-HI,Number of Elements,Count,2017,6
USA-HI,USA-HI,Number of Elements,Count,2016,6
USA-HI,USA-HI,Number of Elements,Count,2015,25
USA-HI,USA-HI,Number of Elements,Count,2014,23
USA-HI,USA-HI,Number of Elements,Count,2013,22
USA-HI,USA-HI,Number of Elements,Count,2012,22
USA-HI,USA-HI,Number of Elements,Count,2011,24
USA-HI,USA-HI,Number of Elements,Count,2010,24
USA-HI,USA-HI,Number of Elements,Count,2006,26
USA-HI,USA-HI,Number of Elements,Count,2005,28
USA-HI,USA-HI,Number of Elements,Count,2004,29
USA-HI,USA-HI,Number of Elements,Count,2003,29
USA-HI,USA-HI,Number of Elements,Count,2002,29
USA-HI,USA-HI,Number of Elements,Count,2001,28
USA-HI,USA-HI,Number of Elements,Count,2000,28
USA-HI,USA-HI,Number of Elements,Count,1999,29
USA-HI,USA-HI,Number of Elements,Count,1998,26
USA-IA,USA-IA,Number of Elements,Count,2019,1118
USA-IA,USA-IA,Number of Elements,Count,2018,1110
USA-IA,USA-IA,Number of Elements,Count,2017,1139
USA-IA,USA-IA,Number of Elements,Count,2016,1123
USA-IA,USA-IA,Number of Elements,Count,2015,1130
USA-IA,USA-IA,Number of Elements,Count,2014,1134
USA-IA,USA-IA,Number of Elements,Count,2013,1074
USA-IA,USA-IA,Number of Elements,Count,2012,1042
USA-IA,USA-IA,Number of Elements,Count,2011,1110
USA-IA,USA-IA,Number of Elements,Count,2010,1161
USA-IA,USA-IA,Number of Elements,Count,2006,1332
USA-IA,USA-IA,Number of Elements,Count,2005,1391
USA-IA,USA-IA,Number of Elements,Count,2004,1395
USA-IA,USA-IA,Number of Elements,Count,2003,1439
USA-IA,USA-IA,Number of Elements,Count,2002,1464
USA-IA,USA-IA,Number of Elements,Count,2001,1460
USA-IA,USA-IA,Number of Elements,Count,2000,1501
USA-IA,USA-IA,Number of Elements,Count,1999,1486
USA-IA,USA-IA,Number of Elements,Count,1998,1473
USA-ID,USA-ID,Number of Elements,Count,2019,152
USA-ID,USA-ID,Number of Elements,Count,2018,112
USA-ID,USA-ID,Number of Elements,Count,2017,113
USA-ID,USA-ID,Number of Elements,Count,2016,115
USA-ID,USA-ID,Number of Elements,Count,2015,117
USA-ID,USA-ID,Number of Elements,Count,2014,115
USA-ID,USA-ID,Number of Elements,Count,2013,109
USA-ID,USA-ID,Number of Elements,Count,2012,105
USA-ID,USA-ID,Number of Elements,Count,2011,103
USA-ID,USA-ID,Number of Elements,Count,2010,108
USA-ID,USA-ID,Number of Elements,Count,2006,114
USA-ID,USA-ID,Number of Elements,Count,2005,116
USA-ID,USA-ID,Number of Elements,Count,2004,117
USA-ID,USA-ID,Number of Elements,Count,2003,113
USA-ID,USA-ID,Number of Elements,Count,2002,114
USA-ID,USA-ID,Number of Elements,Count,2001,118
USA-ID,USA-ID,Number of Elements,Count,2000,121
USA-ID,USA-ID,Number of Elements,Count,1999,121
USA-ID,USA-ID,Number of Elements,Count,1998,117
USA-IL,USA-IL,Number of Elements,Count,2019,14805
USA-IL,USA-IL,Number of Elements,Count,2018,14741
USA-IL,USA-IL,Number of Elements,Count,2017,14720
USA-IL,USA-IL,Number of Elements,Count,2016,14696
USA-IL,USA-IL,Number of Elements,Count,2015,14541
USA-IL,USA-IL,Number of Elements,Count,2014,14703
USA-IL,USA-IL,Number of Elements,Count,2013,14932
USA-IL,USA-IL,Number of Elements,Count,2012,15132
USA-IL,USA-IL,Number of Elements,Count,2011,15554
USA-IL,USA-IL,Number of Elements,Count,2010,15314
USA-IL,USA-IL,Number of Elements,Count,2006,16319
USA-IL,USA-IL,Number of Elements,Count,2005,19315
USA-IL,USA-IL,Number of Elements,Count,2004,18579
USA-IL,USA-IL,Number of Elements,Count,2003,15597
USA-IL,USA-IL,Number of Elements,Count,2002,15113
USA-IL,USA-IL,Number of Elements,Count,2001,14614
USA-IL,USA-IL,Number of Elements,Count,2000,14990
USA-IL,USA-IL,Number of Elements,Count,1999,16878
USA-IL,USA-IL,Number of Elements,Count,1998,20435
USA-IN,USA-IN,Number of Elements,Count,2019,2432
USA-IN,USA-IN,Number of Elements,Count,2018,2446
USA-IN,USA-IN,Number of Elements,Count,2017,2457
USA-IN,USA-IN,Number of Elements,Count,2016,2496
USA-IN,USA-IN,Number of Elements,Count,2015,2588
USA-IN,USA-IN,Number of Elements,Count,2014,2617
USA-IN,USA-IN,Number of Elements,Count,2013,2688
USA-IN,USA-IN,Number of Elements,Count,2012,2719
USA-IN,USA-IN,Number of Elements,Count,2011,2893
USA-IN,USA-IN,Number of Elements,Count,2010,2858
USA-IN,USA-IN,Number of Elements,Count,2006,3435
USA-IN,USA-IN,Number of Elements,Count,2005,4011
USA-IN,USA-IN,Number of Elements,Count,2004,4059
USA-IN,USA-IN,Number of Elements,Count,2003,4307
USA-IN,USA-IN,Number of Elements,Count,2002,5114
USA-IN,USA-IN,Number of Elements,Count,2001,5239
USA-IN,USA-IN,Number of Elements,Count,2000,5638
USA-IN,USA-IN,Number of Elements,Count,1999,4848
USA-IN,USA-IN,Number of Elements,Count,1998,6194
USA-KS,USA-KS,Number of Elements,Count,2019,3458
USA-KS,USA-KS,Number of Elements,Count,2018,3574
USA-KS,USA-KS,Number of Elements,Count,2017,3930
USA-KS,USA-KS,Number of Elements,Count,2016,3923
USA-KS,USA-KS,Number of Elements,Count,2015,3925
USA-KS,USA-KS,Number of Elements,Count,2014,4016
USA-KS,USA-KS,Number of Elements,Count,2013,4021
USA-KS,USA-KS,Number of Elements,Count,2012,3947
USA-KS,USA-KS,Number of Elements,Count,2011,3914
USA-KS,USA-KS,Number of Elements,Count,2010,3877
USA-KS,USA-KS,Number of Elements,Count,2006,3928
USA-KS,USA-KS,Number of Elements,Count,2005,3858
USA-KS,USA-KS,Number of Elements,Count,2004,3834
USA-KS,USA-KS,Number of Elements,Count,2003,4069
USA-KS,USA-KS,Number of Elements,Count,2002,4534
USA-KS,USA-KS,Number of Elements,Count,2001,4021
USA-KS,USA-KS,Number of Elements,Count,2000,4078
USA-KS,USA-KS,Number of Elements,Count,1999,3239
USA-KS,USA-KS,Number of Elements,Count,1998,6122
USA-KY,USA-KY,Number of Elements,Count,2019,1528
USA-KY,USA-KY,Number of Elements,Count,2018,1538
USA-KY,USA-KY,Number of Elements,Count,2017,1530
USA-KY,USA-KY,Number of Elements,Count,2016,1505
USA-KY,USA-KY,Number of Elements,Count,2015,1401
USA-KY,USA-KY,Number of Elements,Count,2014,1435
USA-KY,USA-KY,Number of Elements,Count,2013,1196
USA-KY,USA-KY,Number of Elements,Count,2012,1151
USA-KY,USA-KY,Number of Elements,Count,2011,1138
USA-KY,USA-KY,Number of Elements,Count,2010,1181
USA-KY,USA-KY,Number of Elements,Count,2006,1183
USA-KY,USA-KY,Number of Elements,Count,2005,1161
USA-KY,USA-KY,Number of Elements,Count,2004,1219
USA-KY,USA-KY,Number of Elements,Count,2003,1223
USA-KY,USA-KY,Number of Elements,Count,2002,1308
USA-KY,USA-KY,Number of Elements,Count,2001,1223
USA-KY,USA-KY,Number of Elements,Count,2000,1338
