iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,65439
USA,USA,Number of Elements,Count,2018,65614
USA,USA,Number of Elements,Count,2017,65756
USA,USA,Number of Elements,Count,2016,68869
USA,USA,Number of Elements,Count,2015,68146
USA,USA,Number of Elements,Count,2014,69637
USA,USA,Number of Elements,Count,2013,69164
USA,USA,Number of Elements,Count,2012,67551
USA,USA,Number of Elements,Count,2011,64749
USA,USA,Number of Elements,Count,2010,63611
USA,USA,Number of Elements,Count,2006,58760
USA,USA,Number of Elements,Count,2005,59773
USA,USA,Number of Elements,Count,2004,57672
USA,USA,Number of Elements,Count,2003,62698
USA,USA,Number of Elements,Count,2002,62738
USA,USA,Number of Elements,Count,2001,64052
USA,USA,Number of Elements,Count,2000,75826
USA,USA,Number of Elements,Count,1999,71281
USA,USA,Number of Elements,Count,1998,49014
USA-AK,USA-AK,Number of Elements,Count,2019,0
USA-AK,USA-AK,Number of Elements,Count,2018,0
USA-AK,USA-AK,Number of Elements,Count,2017,0
USA-AK,USA-AK,Number of Elements,Count,2016,0
USA-AK,USA-AK,Number of Elements,Count,2015,0
USA-AK,USA-AK,Number of Elements,Count,2014,0
USA-AK,USA-AK,Number of Elements,Count,2013,1
USA-AK,USA-AK,Number of Elements,Count,2012,0
USA-AK,USA-AK,Number of Elements,Count,2011,3
USA-AK,USA-AK,Number of Elements,Count,2010,1
USA-AK,USA-AK,Number of Elements,Count,2006,7
USA-AK,USA-AK,Number of Elements,Count,2005,5
USA-AK,USA-AK,Number of Elements,Count,2004,4
USA-AK,USA-AK,Number of Elements,Count,2003,3
USA-AK,USA-AK,Number of Elements,Count,2002,2
USA-AK,USA-AK,Number of Elements,Count,2001,3
USA-AK,USA-AK,Number of Elements,Count,2000,3
USA-AK,USA-AK,Number of Elements,Count,1999,3
USA-AK,USA-AK,Number of Elements,Count,1998,2
USA-AL,USA-AL,Number of Elements,Count,2019,266
USA-AL,USA-AL,Number of Elements,Count,2018,264
USA-AL,USA-AL,Number of Elements,Count,2017,264
USA-AL,USA-AL,Number of Elements,Count,2016,259
USA-AL,USA-AL,Number of Elements,Count,2015,269
USA-AL,USA-AL,Number of Elements,Count,2014,271
USA-AL,USA-AL,Number of Elements,Count,2013,267
USA-AL,USA-AL,Number of Elements,Count,2012,262
USA-AL,USA-AL,Number of Elements,Count,2011,263
USA-AL,USA-AL,Number of Elements,Count,2010,281
USA-AL,USA-AL,Number of Elements,Count,2006,293
USA-AL,USA-AL,Number of Elements,Count,2005,299
USA-AL,USA-AL,Number of Elements,Count,2004,304
USA-AL,USA-AL,Number of Elements,Count,2003,313
USA-AL,USA-AL,Number of Elements,Count,2002,323
USA-AL,USA-AL,Number of Elements,Count,2001,313
USA-AL,USA-AL,Number of Elements,Count,2000,285
USA-AL,USA-AL,Number of Elements,Count,1999,239
USA-AL,USA-AL,Number of Elements,Count,1998,240
USA-AR,USA-AR,Number of Elements,Count,2019,485
USA-AR,USA-AR,Number of Elements,Count,2018,493
USA-AR,USA-AR,Number of Elements,Count,2017,479
USA-AR,USA-AR,Number of Elements,Count,2016,482
USA-AR,USA-AR,Number of Elements,Count,2015,485
USA-AR,USA-AR,Number of Elements,Count,2014,478
USA-AR,USA-AR,Number of Elements,Count,2013,507
USA-AR,USA-AR,Number of Elements,Count,2012,467
USA-AR,USA-AR,Number of Elements,Count,2011,579
USA-AR,USA-AR,Number of Elements,Count,2010,499
USA-AR,USA-AR,Number of Elements,Count,2006,420
USA-AR,USA-AR,Number of Elements,Count,2005,449
USA-AR,USA-AR,Number of Elements,Count,2004,441
USA-AR,USA-AR,Number of Elements,Count,2003,447
USA-AR,USA-AR,Number of Elements,Count,2002,497
USA-AR,USA-AR,Number of Elements,Count,2001,339
USA-AR,USA-AR,Number of Elements,Count,2000,350
USA-AR,USA-AR,Number of Elements,Count,1999,323
USA-AR,USA-AR,Number of Elements,Count,1998,305
USA-AZ,USA-AZ,Number of Elements,Count,2019,152
USA-AZ,USA-AZ,Number of Elements,Count,2018,149
USA-AZ,USA-AZ,Number of Elements,Count,2017,151
USA-AZ,USA-AZ,Number of Elements,Count,2016,154
USA-AZ,USA-AZ,Number of Elements,Count,2015,147
USA-AZ,USA-AZ,Number of Elements,Count,2014,130
USA-AZ,USA-AZ,Number of Elements,Count,2013,126
USA-AZ,USA-AZ,Number of Elements,Count,2012,118
USA-AZ,USA-AZ,Number of Elements,Count,2011,105
USA-AZ,USA-AZ,Number of Elements,Count,2010,107
USA-AZ,USA-AZ,Number of Elements,Count,2006,127
USA-AZ,USA-AZ,Number of Elements,Count,2005,106
USA-AZ,USA-AZ,Number of Elements,Count,2004,86
USA-AZ,USA-AZ,Number of Elements,Count,2003,85
USA-AZ,USA-AZ,Number of Elements,Count,2002,107
USA-AZ,USA-AZ,Number of Elements,Count,2001,87
USA-AZ,USA-AZ,Number of Elements,Count,2000,142
USA-AZ,USA-AZ,Number of Elements,Count,1999,117
USA-AZ,USA-AZ,Number of Elements,Count,1998,78
USA-CA,USA-CA,Number of Elements,Count,2019,4600
USA-CA,USA-CA,Number of Elements,Count,2018,4689
USA-CA,USA-CA,Number of Elements,Count,2017,4821
USA-CA,USA-CA,Number of Elements,Count,2016,4853
USA-CA,USA-CA,Number of Elements,Count,2015,5083
USA-CA,USA-CA,Number of Elements,Count,2014,5282
USA-CA,USA-CA,Number of Elements,Count,2013,5334
USA-CA,USA-CA,Number of Elements,Count,2012,5314
USA-CA,USA-CA,Number of Elements,Count,2011,4902
USA-CA,USA-CA,Number of Elements,Count,2010,4092
USA-CA,USA-CA,Number of Elements,Count,2006,2748
USA-CA,USA-CA,Number of Elements,Count,2005,2076
USA-CA,USA-CA,Number of Elements,Count,2004,2061
USA-CA,USA-CA,Number of Elements,Count,2003,1981
USA-CA,USA-CA,Number of Elements,Count,2002,1858
USA-CA,USA-CA,Number of Elements,Count,2001,1844
USA-CA,USA-CA,Number of Elements,Count,2000,1821
USA-CA,USA-CA,Number of Elements,Count,1999,1833
USA-CA,USA-CA,Number of Elements,Count,1998,1926
USA-CO,USA-CO,Number of Elements,Count,2019,8492
USA-CO,USA-CO,Number of Elements,Count,2018,8281
USA-CO,USA-CO,Number of Elements,Count,2017,8008
USA-CO,USA-CO,Number of Elements,Count,2016,7483
USA-CO,USA-CO,Number of Elements,Count,2015,7076
USA-CO,USA-CO,Number of Elements,Count,2014,6837
USA-CO,USA-CO,Number of Elements,Count,2013,6347
USA-CO,USA-CO,Number of Elements,Count,2012,5946
USA-CO,USA-CO,Number of Elements,Count,2011,5518
USA-CO,USA-CO,Number of Elements,Count,2010,5350
USA-CO,USA-CO,Number of Elements,Count,2006,4138
USA-CO,USA-CO,Number of Elements,Count,2005,3954
USA-CO,USA-CO,Number of Elements,Count,2004,3782
