iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,6839097
USA,USA,Number of Elements,Count,2018,6866945
USA,USA,Number of Elements,Count,2017,6909439
USA,USA,Number of Elements,Count,2016,6919618
USA,USA,Number of Elements,Count,2015,6952675
USA,USA,Number of Elements,Count,2014,7007250
USA,USA,Number of Elements,Count,2013,6934929
USA,USA,Number of Elements,Count,2012,6364411
USA,USA,Number of Elements,Count,2011,5531680
USA,USA,Number of Elements,Count,2010,5274697
USA,USA,Number of Elements,Count,2006,4037233
USA,USA,Number of Elements,Count,2005,3829303
USA,USA,Number of Elements,Count,2004,3971337
USA,USA,Number of Elements,Count,2003,4055781
USA,USA,Number of Elements,Count,2002,3839809
USA,USA,Number of Elements,Count,2001,3576181
USA,USA,Number of Elements,Count,2000,2978319
USA,USA,Number of Elements,Count,1999,2199519
USA,USA,Number of Elements,Count,1998,801264
USA,USA,Number of Elements,Count,1997,252783
USA-AL,USA-AL,Number of Elements,Count,2019,0
USA-AL,USA-AL,Number of Elements,Count,2018,0
USA-AL,USA-AL,Number of Elements,Count,2017,0
USA-AL,USA-AL,Number of Elements,Count,2016,0
USA-AL,USA-AL,Number of Elements,Count,2015,0
USA-AL,USA-AL,Number of Elements,Count,2014,0
USA-AL,USA-AL,Number of Elements,Count,2013,0
USA-AL,USA-AL,Number of Elements,Count,2012,0
USA-AL,USA-AL,Number of Elements,Count,2011,0
USA-AL,USA-AL,Number of Elements,Count,2010,0
USA-AL,USA-AL,Number of Elements,Count,2006,0
USA-AL,USA-AL,Number of Elements,Count,2005,0
USA-AL,USA-AL,Number of Elements,Count,2004,0
USA-AL,USA-AL,Number of Elements,Count,2003,131
USA-AL,USA-AL,Number of Elements,Count,2002,132
USA-AL,USA-AL,Number of Elements,Count,2001,0
USA-AL,USA-AL,Number of Elements,Count,2000,0
USA-AL,USA-AL,Number of Elements,Count,1999,0
USA-AL,USA-AL,Number of Elements,Count,1997,0
USA-AZ,USA-AZ,Number of Elements,Count,2019,2
USA-AZ,USA-AZ,Number of Elements,Count,2018,2
USA-AZ,USA-AZ,Number of Elements,Count,2017,2
USA-AZ,USA-AZ,Number of Elements,Count,2016,6
USA-AZ,USA-AZ,Number of Elements,Count,2015,6
USA-AZ,USA-AZ,Number of Elements,Count,2014,6
USA-AZ,USA-AZ,Number of Elements,Count,2013,6
USA-AZ,USA-AZ,Number of Elements,Count,2012,6
USA-AZ,USA-AZ,Number of Elements,Count,2011,6
USA-AZ,USA-AZ,Number of Elements,Count,2010,0
USA-AZ,USA-AZ,Number of Elements,Count,2006,0
USA-AZ,USA-AZ,Number of Elements,Count,2005,0
USA-AZ,USA-AZ,Number of Elements,Count,2004,0
USA-AZ,USA-AZ,Number of Elements,Count,2003,13
USA-AZ,USA-AZ,Number of Elements,Count,2002,0
USA-AZ,USA-AZ,Number of Elements,Count,2001,1
USA-AZ,USA-AZ,Number of Elements,Count,2000,0
USA-AZ,USA-AZ,Number of Elements,Count,1999,0
USA-AZ,USA-AZ,Number of Elements,Count,1997,0
USA-CA,USA-CA,Number of Elements,Count,2019,478653
USA-CA,USA-CA,Number of Elements,Count,2018,445922
USA-CA,USA-CA,Number of Elements,Count,2017,400946
USA-CA,USA-CA,Number of Elements,Count,2016,402604
USA-CA,USA-CA,Number of Elements,Count,2015,429631
USA-CA,USA-CA,Number of Elements,Count,2014,408747
USA-CA,USA-CA,Number of Elements,Count,2013,283094
USA-CA,USA-CA,Number of Elements,Count,2012,134210
USA-CA,USA-CA,Number of Elements,Count,2011,79605
USA-CA,USA-CA,Number of Elements,Count,2010,72850
USA-CA,USA-CA,Number of Elements,Count,2006,29240
USA-CA,USA-CA,Number of Elements,Count,2005,31967
USA-CA,USA-CA,Number of Elements,Count,2004,36081
USA-CA,USA-CA,Number of Elements,Count,2003,38035
USA-CA,USA-CA,Number of Elements,Count,2002,25319
USA-CA,USA-CA,Number of Elements,Count,2001,23748
USA-CA,USA-CA,Number of Elements,Count,2000,20775
USA-CA,USA-CA,Number of Elements,Count,1999,12376
USA-CA,USA-CA,Number of Elements,Count,1998,4733
USA-CA,USA-CA,Number of Elements,Count,1997,3990
USA-CO,USA-CO,Number of Elements,Count,2019,1
USA-CO,USA-CO,Number of Elements,Count,2018,1
USA-CO,USA-CO,Number of Elements,Count,2017,1
USA-CO,USA-CO,Number of Elements,Count,2016,1
USA-CO,USA-CO,Number of Elements,Count,2015,3
USA-CO,USA-CO,Number of Elements,Count,2014,5
USA-CO,USA-CO,Number of Elements,Count,2013,5
USA-CO,USA-CO,Number of Elements,Count,2012,5
USA-CO,USA-CO,Number of Elements,Count,2011,5
USA-CO,USA-CO,Number of Elements,Count,2010,5
USA-CO,USA-CO,Number of Elements,Count,2006,3
USA-CO,USA-CO,Number of Elements,Count,2005,3
USA-CO,USA-CO,Number of Elements,Count,2004,3
USA-CO,USA-CO,Number of Elements,Count,2003,3
USA-CO,USA-CO,Number of Elements,Count,2002,3
USA-CO,USA-CO,Number of Elements,Count,2001,3
USA-CO,USA-CO,Number of Elements,Count,2000,3
USA-CO,USA-CO,Number of Elements,Count,1999,0
USA-CO,USA-CO,Number of Elements,Count,1997,0
USA-CT,USA-CT,Number of Elements,Count,2019,1280
USA-CT,USA-CT,Number of Elements,Count,2018,1292
USA-CT,USA-CT,Number of Elements,Count,2017,1247
USA-CT,USA-CT,Number of Elements,Count,2016,1111
USA-CT,USA-CT,Number of Elements,Count,2015,1071
USA-CT,USA-CT,Number of Elements,Count,2014,1198
