iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,70358831
USA,USA,Number of Elements,Count,2018,69737549
USA,USA,Number of Elements,Count,2017,69067541
USA,USA,Number of Elements,Count,2016,68433125
USA,USA,Number of Elements,Count,2015,67923465
USA,USA,Number of Elements,Count,2014,67196751
USA,USA,Number of Elements,Count,2013,66812393
USA,USA,Number of Elements,Count,2012,66375134
USA,USA,Number of Elements,Count,2011,65940522
USA,USA,Number of Elements,Count,2010,65542345
USA,USA,Number of Elements,Count,2009,65329582
USA,USA,Number of Elements,Count,2008,65073996
USA,USA,Number of Elements,Count,2007,64964769
USA,USA,Number of Elements,Count,2006,64166280
USA,USA,Number of Elements,Count,2005,63616827
USA,USA,Number of Elements,Count,2004,62496134
USA,USA,Number of Elements,Count,2003,61871450
USA,USA,Number of Elements,Count,2002,61107254
USA,USA,Number of Elements,Count,2001,60286364
USA,USA,Number of Elements,Count,2000,59252728
USA,USA,Number of Elements,Count,1999,58223229
USA,USA,Number of Elements,Count,1998,57321746
USA,USA,Number of Elements,Count,1997,56186958
USA,USA,Number of Elements,Count,1996,55263673
USA,USA,Number of Elements,Count,1995,54322179
USA,USA,Number of Elements,Count,1994,53392557
USA,USA,Number of Elements,Count,1993,52535411
USA,USA,Number of Elements,Count,1992,52331397
USA,USA,Number of Elements,Count,1991,51593206
USA,USA,Number of Elements,Count,1990,50187178
USA,USA,Number of Elements,Count,1989,49309593
USA,USA,Number of Elements,Count,1988,48474449
USA,USA,Number of Elements,Count,1987,47710444
USA-AK,USA-AK,Number of Elements,Count,2019,135355
USA-AK,USA-AK,Number of Elements,Count,2018,133940
USA-AK,USA-AK,Number of Elements,Count,2017,132363
USA-AK,USA-AK,Number of Elements,Count,2016,130648
USA-AK,USA-AK,Number of Elements,Count,2015,128605
USA-AK,USA-AK,Number of Elements,Count,2014,126416
USA-AK,USA-AK,Number of Elements,Count,2013,124411
USA-AK,USA-AK,Number of Elements,Count,2012,122983
USA-AK,USA-AK,Number of Elements,Count,2011,121736
USA-AK,USA-AK,Number of Elements,Count,2010,121166
USA-AK,USA-AK,Number of Elements,Count,2009,120124
USA-AK,USA-AK,Number of Elements,Count,2008,119039
USA-AK,USA-AK,Number of Elements,Count,2007,115500
USA-AK,USA-AK,Number of Elements,Count,2006,112269
USA-AK,USA-AK,Number of Elements,Count,2005,108401
USA-AK,USA-AK,Number of Elements,Count,2004,104360
USA-AK,USA-AK,Number of Elements,Count,2003,100404
USA-AK,USA-AK,Number of Elements,Count,2002,97077
USA-AK,USA-AK,Number of Elements,Count,2001,93896
USA-AK,USA-AK,Number of Elements,Count,2000,91297
USA-AK,USA-AK,Number of Elements,Count,1999,88924
USA-AK,USA-AK,Number of Elements,Count,1998,86243
USA-AK,USA-AK,Number of Elements,Count,1997,83596
