iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,63519734
USA,USA,Number of Elements,Count,2018,62870604
USA,USA,Number of Elements,Count,2017,62134303
USA,USA,Number of Elements,Count,2016,61513507
USA,USA,Number of Elements,Count,2015,60970790
USA,USA,Number of Elements,Count,2014,60189501
USA,USA,Number of Elements,Count,2013,59877464
USA,USA,Number of Elements,Count,2012,60010723
USA,USA,Number of Elements,Count,2011,60408842
USA,USA,Number of Elements,Count,2010,60267648
USA,USA,Number of Elements,Count,2006,60129047
USA,USA,Number of Elements,Count,2005,59787524
USA,USA,Number of Elements,Count,2004,58524797
USA,USA,Number of Elements,Count,2003,57815669
USA,USA,Number of Elements,Count,2002,57267445
USA,USA,Number of Elements,Count,2001,56710548
USA,USA,Number of Elements,Count,2000,56261031
USA,USA,Number of Elements,Count,1999,56023710
USA,USA,Number of Elements,Count,1998,56520482
USA,USA,Number of Elements,Count,1997,55934175
USA-AK,USA-AK,Number of Elements,Count,2019,135355
USA-AK,USA-AK,Number of Elements,Count,2018,133940
USA-AK,USA-AK,Number of Elements,Count,2017,132363
USA-AK,USA-AK,Number of Elements,Count,2016,130648
USA-AK,USA-AK,Number of Elements,Count,2015,128605
USA-AK,USA-AK,Number of Elements,Count,2014,126416
USA-AK,USA-AK,Number of Elements,Count,2013,124411
USA-AK,USA-AK,Number of Elements,Count,2012,122983
USA-AK,USA-AK,Number of Elements,Count,2011,121736
USA-AK,USA-AK,Number of Elements,Count,2010,121166
USA-AK,USA-AK,Number of Elements,Count,2006,112269
USA-AK,USA-AK,Number of Elements,Count,2005,108401
USA-AK,USA-AK,Number of Elements,Count,2004,104360
USA-AK,USA-AK,Number of Elements,Count,2003,100404
USA-AK,USA-AK,Number of Elements,Count,2002,97077
USA-AK,USA-AK,Number of Elements,Count,2001,93896
USA-AK,USA-AK,Number of Elements,Count,2000,91297
USA-AK,USA-AK,Number of Elements,Count,1999,88924
USA-AK,USA-AK,Number of Elements,Count,1998,86243
USA-AK,USA-AK,Number of Elements,Count,1997,83596
USA-AL,USA-AL,Number of Elements,Count,2019,783849
USA-AL,USA-AL,Number of Elements,Count,2018,778702
USA-AL,USA-AL,Number of Elements,Count,2017,777944
USA-AL,USA-AL,Number of Elements,Count,2016,776685
USA-AL,USA-AL,Number of Elements,Count,2015,769787
USA-AL,USA-AL,Number of Elements,Count,2014,769900
USA-AL,USA-AL,Number of Elements,Count,2013,765957
USA-AL,USA-AL,Number of Elements,Count,2012,767396
USA-AL,USA-AL,Number of Elements,Count,2011,772892
USA-AL,USA-AL,Number of Elements,Count,2010,778985
USA-AL,USA-AL,Number of Elements,Count,2006,808801
USA-AL,USA-AL,Number of Elements,Count,2005,809454
