iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,5546847
USA,USA,Number of Elements,Count,2018,5518358
USA,USA,Number of Elements,Count,2017,5499932
USA,USA,Number of Elements,Count,2016,5474701
USA,USA,Number of Elements,Count,2015,5453627
USA,USA,Number of Elements,Count,2014,5413546
USA,USA,Number of Elements,Count,2013,5372522
USA,USA,Number of Elements,Count,2012,5356397
USA,USA,Number of Elements,Count,2011,5319817
USA,USA,Number of Elements,Count,2010,5301576
USA,USA,Number of Elements,Count,2009,5322332
USA,USA,Number of Elements,Count,2008,5444335
USA,USA,Number of Elements,Count,2007,5308785
USA,USA,Number of Elements,Count,2006,5273379
USA,USA,Number of Elements,Count,2005,5198028
USA,USA,Number of Elements,Count,2004,5139949
USA,USA,Number of Elements,Count,2003,5152177
USA,USA,Number of Elements,Count,2002,5064384
USA,USA,Number of Elements,Count,2001,4996446
USA,USA,Number of Elements,Count,2000,5010817
USA,USA,Number of Elements,Count,1999,5010189
USA,USA,Number of Elements,Count,1998,5044497
USA,USA,Number of Elements,Count,1997,4761409
USA,USA,Number of Elements,Count,1996,4720227
USA,USA,Number of Elements,Count,1995,4636500
USA,USA,Number of Elements,Count,1994,4533905
USA,USA,Number of Elements,Count,1993,4464906
USA,USA,Number of Elements,Count,1992,4409699
USA,USA,Number of Elements,Count,1991,4357252
USA,USA,Number of Elements,Count,1990,4236280
USA,USA,Number of Elements,Count,1989,4168048
USA,USA,Number of Elements,Count,1988,4124745
USA,USA,Number of Elements,Count,1987,4013040
USA-AK,USA-AK,Number of Elements,Count,2019,13940
USA-AK,USA-AK,Number of Elements,Count,2018,13870
USA-AK,USA-AK,Number of Elements,Count,2017,13728
USA-AK,USA-AK,Number of Elements,Count,2016,13593
USA-AK,USA-AK,Number of Elements,Count,2015,13549
USA-AK,USA-AK,Number of Elements,Count,2014,13399
USA-AK,USA-AK,Number of Elements,Count,2013,13246
USA-AK,USA-AK,Number of Elements,Count,2012,13133
USA-AK,USA-AK,Number of Elements,Count,2011,13027
USA-AK,USA-AK,Number of Elements,Count,2010,12998
USA-AK,USA-AK,Number of Elements,Count,2009,13215
USA-AK,USA-AK,Number of Elements,Count,2008,12764
USA-AK,USA-AK,Number of Elements,Count,2007,13408
USA-AK,USA-AK,Number of Elements,Count,2006,14384
USA-AK,USA-AK,Number of Elements,Count,2005,14120
USA-AK,USA-AK,Number of Elements,Count,2004,13999
USA-AK,USA-AK,Number of Elements,Count,2003,14502
USA-AK,USA-AK,Number of Elements,Count,2002,14342
USA-AK,USA-AK,Number of Elements,Count,2001,14002
USA-AK,USA-AK,Number of Elements,Count,2000,13711
USA-AK,USA-AK,Number of Elements,Count,1999,13409
USA-AK,USA-AK,Number of Elements,Count,1998,13176
USA-AK,USA-AK,Number of Elements,Count,1997,12945
USA-AK,USA-AK,Number of Elements,Count,1996,12732
USA-AK,USA-AK,Number of Elements,Count,1995,12584
USA-AK,USA-AK,Number of Elements,Count,1994,12475
USA-AK,USA-AK,Number of Elements,Count,1993,12359
USA-AK,USA-AK,Number of Elements,Count,1992,12204
USA-AK,USA-AK,Number of Elements,Count,1991,12071
USA-AK,USA-AK,Number of Elements,Count,1990,11921
USA-AK,USA-AK,Number of Elements,Count,1989,11806
USA-AK,USA-AK,Number of Elements,Count,1988,11649
USA-AK,USA-AK,Number of Elements,Count,1987,11484
USA-AK,USA-AK,Number of Elements,Count,1986,11
USA-AL,USA-AL,Number of Elements,Count,2019,69801
USA-AL,USA-AL,Number of Elements,Count,2018,69131
USA-AL,USA-AL,Number of Elements,Count,2017,69084
USA-AL,USA-AL,Number of Elements,Count,2016,68457
USA-AL,USA-AL,Number of Elements,Count,2015,67938
