iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,4664959
USA,USA,Number of Elements,Count,2018,4632818
USA,USA,Number of Elements,Count,2017,4612105
USA,USA,Number of Elements,Count,2016,4581262
USA,USA,Number of Elements,Count,2015,4563572
USA,USA,Number of Elements,Count,2014,4528749
USA,USA,Number of Elements,Count,2013,4491326
USA,USA,Number of Elements,Count,2012,4518745
USA,USA,Number of Elements,Count,2011,4556220
USA,USA,Number of Elements,Count,2010,4584884
USA,USA,Number of Elements,Count,2006,4733822
USA,USA,Number of Elements,Count,2005,4698626
USA,USA,Number of Elements,Count,2004,4644363
USA,USA,Number of Elements,Count,2003,4662853
USA,USA,Number of Elements,Count,2002,4588964
USA,USA,Number of Elements,Count,2001,4532034
USA,USA,Number of Elements,Count,2000,4576873
USA,USA,Number of Elements,Count,1999,4599494
USA,USA,Number of Elements,Count,1998,4823842
USA-AK,USA-AK,Number of Elements,Count,2019,13919
USA-AK,USA-AK,Number of Elements,Count,2018,13849
USA-AK,USA-AK,Number of Elements,Count,2017,13705
USA-AK,USA-AK,Number of Elements,Count,2016,13571
USA-AK,USA-AK,Number of Elements,Count,2015,13529
USA-AK,USA-AK,Number of Elements,Count,2014,13336
USA-AK,USA-AK,Number of Elements,Count,2013,13184
USA-AK,USA-AK,Number of Elements,Count,2012,13072
USA-AK,USA-AK,Number of Elements,Count,2011,12724
USA-AK,USA-AK,Number of Elements,Count,2010,12673
USA-AK,USA-AK,Number of Elements,Count,2006,12858
USA-AK,USA-AK,Number of Elements,Count,2005,12788
USA-AK,USA-AK,Number of Elements,Count,2004,12730
USA-AK,USA-AK,Number of Elements,Count,2003,13249
USA-AK,USA-AK,Number of Elements,Count,2002,13107
USA-AK,USA-AK,Number of Elements,Count,2001,12882
USA-AK,USA-AK,Number of Elements,Count,2000,12730
USA-AK,USA-AK,Number of Elements,Count,1999,12524
USA-AK,USA-AK,Number of Elements,Count,1998,12406
USA-AL,USA-AL,Number of Elements,Count,2019,69673
USA-AL,USA-AL,Number of Elements,Count,2018,69004
USA-AL,USA-AL,Number of Elements,Count,2017,68972
USA-AL,USA-AL,Number of Elements,Count,2016,68331
USA-AL,USA-AL,Number of Elements,Count,2015,67811
USA-AL,USA-AL,Number of Elements,Count,2014,67718
USA-AL,USA-AL,Number of Elements,Count,2013,67006
USA-AL,USA-AL,Number of Elements,Count,2012,67117
USA-AL,USA-AL,Number of Elements,Count,2011,67561
USA-AL,USA-AL,Number of Elements,Count,2010,68017
USA-AL,USA-AL,Number of Elements,Count,2006,66222
USA-AL,USA-AL,Number of Elements,Count,2005,65188
USA-AL,USA-AL,Number of Elements,Count,2004,65117
USA-AL,USA-AL,Number of Elements,Count,2003,65186
USA-AL,USA-AL,Number of Elements,Count,2002,65676
USA-AL,USA-AL,Number of Elements,Count,2001,65683
USA-AL,USA-AL,Number of Elements,Count,2000,66088
USA-AL,USA-AL,Number of Elements,Count,1999,64076
USA-AL,USA-AL,Number of Elements,Count,1998,76352
USA-AR,USA-AR,Number of Elements,Count,2019,68501
USA-AR,USA-AR,Number of Elements,Count,2018,68568
USA-AR,USA-AR,Number of Elements,Count,2017,68552
USA-AR,USA-AR,Number of Elements,Count,2016,68450
USA-AR,USA-AR,Number of Elements,Count,2015,68438
USA-AR,USA-AR,Number of Elements,Count,2014,68291
USA-AR,USA-AR,Number of Elements,Count,2013,68127
USA-AR,USA-AR,Number of Elements,Count,2012,68151
USA-AR,USA-AR,Number of Elements,Count,2011,67454
USA-AR,USA-AR,Number of Elements,Count,2010,67676
USA-AR,USA-AR,Number of Elements,Count,2006,69318
USA-AR,USA-AR,Number of Elements,Count,2005,69856
USA-AR,USA-AR,Number of Elements,Count,2004,70523
USA-AR,USA-AR,Number of Elements,Count,2003,70928
USA-AR,USA-AR,Number of Elements,Count,2002,71494
USA-AR,USA-AR,Number of Elements,Count,2001,71848
USA-AR,USA-AR,Number of Elements,Count,2000,72901
USA-AR,USA-AR,Number of Elements,Count,1999,71353
USA-AR,USA-AR,Number of Elements,Count,1998,69945
USA-AZ,USA-AZ,Number of Elements,Count,2019,57481
USA-AZ,USA-AZ,Number of Elements,Count,2018,57121
USA-AZ,USA-AZ,Number of Elements,Count,2017,56780
USA-AZ,USA-AZ,Number of Elements,Count,2016,56576
USA-AZ,USA-AZ,Number of Elements,Count,2015,56451
USA-AZ,USA-AZ,Number of Elements,Count,2014,56331
USA-AZ,USA-AZ,Number of Elements,Count,2013,56270
USA-AZ,USA-AZ,Number of Elements,Count,2012,56252
USA-AZ,USA-AZ,Number of Elements,Count,2011,56349
USA-AZ,USA-AZ,Number of Elements,Count,2010,56510
USA-AZ,USA-AZ,Number of Elements,Count,2006,56955
USA-AZ,USA-AZ,Number of Elements,Count,2005,56441
USA-AZ,USA-AZ,Number of Elements,Count,2004,56042
USA-AZ,USA-AZ,Number of Elements,Count,2003,55912
USA-AZ,USA-AZ,Number of Elements,Count,2002,56092
USA-AZ,USA-AZ,Number of Elements,Count,2001,54677
USA-AZ,USA-AZ,Number of Elements,Count,2000,53823
USA-AZ,USA-AZ,Number of Elements,Count,1999,52728
USA-AZ,USA-AZ,Number of Elements,Count,1998,51664
USA-CA,USA-CA,Number of Elements,Count,2019,400168
USA-CA,USA-CA,Number of Elements,Count,2018,395908
USA-CA,USA-CA,Number of Elements,Count,2017,395889
USA-CA,USA-CA,Number of Elements,Count,2016,392623
USA-CA,USA-CA,Number of Elements,Count,2015,391673
USA-CA,USA-CA,Number of Elements,Count,2014,385878
USA-CA,USA-CA,Number of Elements,Count,2013,387806
USA-CA,USA-CA,Number of Elements,Count,2012,387760
USA-CA,USA-CA,Number of Elements,Count,2011,390547
USA-CA,USA-CA,Number of Elements,Count,2010,399290
USA-CA,USA-CA,Number of Elements,Count,2006,426379
USA-CA,USA-CA,Number of Elements,Count,2005,427226
USA-CA,USA-CA,Number of Elements,Count,2004,425341
USA-CA,USA-CA,Number of Elements,Count,2003,424689
USA-CA,USA-CA,Number of Elements,Count,2002,414851
USA-CA,USA-CA,Number of Elements,Count,2001,404841
USA-CA,USA-CA,Number of Elements,Count,2000,397278
USA-CA,USA-CA,Number of Elements,Count,1999,399042
USA-CA,USA-CA,Number of Elements,Count,1998,571302
USA-CO,USA-CO,Number of Elements,Count,2019,152005
USA-CO,USA-CO,Number of Elements,Count,2018,153113
USA-CO,USA-CO,Number of Elements,Count,2017,152985
USA-CO,USA-CO,Number of Elements,Count,2016,151073
USA-CO,USA-CO,Number of Elements,Count,2015,150230
USA-CO,USA-CO,Number of Elements,Count,2014,149921
USA-CO,USA-CO,Number of Elements,Count,2013,149826
USA-CO,USA-CO,Number of Elements,Count,2012,145563
USA-CO,USA-CO,Number of Elements,Count,2011,145557
USA-CO,USA-CO,Number of Elements,Count,2010,145236
USA-CO,USA-CO,Number of Elements,Count,2006,139566
USA-CO,USA-CO,Number of Elements,Count,2005,137337
USA-CO,USA-CO,Number of Elements,Count,2004,138370
USA-CO,USA-CO,Number of Elements,Count,2003,138452
USA-CO,USA-CO,Number of Elements,Count,2002,136333
USA-CO,USA-CO,Number of Elements,Count,2001,134240
USA-CO,USA-CO,Number of Elements,Count,2000,131345
USA-CO,USA-CO,Number of Elements,Count,1999,128811
USA-CO,USA-CO,Number of Elements,Count,1998,124947
USA-CT,USA-CT,Number of Elements,Count,2019,58848
USA-CT,USA-CT,Number of Elements,Count,2018,56458
USA-CT,USA-CT,Number of Elements,Count,2017,56245
USA-CT,USA-CT,Number of Elements,Count,2016,55641
USA-CT,USA-CT,Number of Elements,Count,2015,54165
USA-CT,USA-CT,Number of Elements,Count,2014,51613
USA-CT,USA-CT,Number of Elements,Count,2013,48976
USA-CT,USA-CT,Number of Elements,Count,2012,50312
USA-CT,USA-CT,Number of Elements,Count,2011,50170
USA-CT,USA-CT,Number of Elements,Count,2010,50132
USA-CT,USA-CT,Number of Elements,Count,2006,49056
USA-CT,USA-CT,Number of Elements,Count,2005,48499
USA-CT,USA-CT,Number of Elements,Count,2004,46681
USA-CT,USA-CT,Number of Elements,Count,2003,45530
USA-CT,USA-CT,Number of Elements,Count,2002,44137
USA-CT,USA-CT,Number of Elements,Count,2001,44629
USA-CT,USA-CT,Number of Elements,Count,2000,46861
USA-CT,USA-CT,Number of Elements,Count,1999,44817
USA-CT,USA-CT,Number of Elements,Count,1998,44172
USA-DC,USA-DC,Number of Elements,Count,2019,6876
USA-DC,USA-DC,Number of Elements,Count,2018,6836
USA-DC,USA-DC,Number of Elements,Count,2017,6723
USA-DC,USA-DC,Number of Elements,Count,2016,6607
USA-DC,USA-DC,Number of Elements,Count,2015,6612
USA-DC,USA-DC,Number of Elements,Count,2014,6665
USA-DC,USA-DC,Number of Elements,Count,2013,6636
USA-DC,USA-DC,Number of Elements,Count,2012,6478
USA-DC,USA-DC,Number of Elements,Count,2011,6494
USA-DC,USA-DC,Number of Elements,Count,2010,6429
USA-DC,USA-DC,Number of Elements,Count,2006,7004
USA-DC,USA-DC,Number of Elements,Count,2005,7204
USA-DC,USA-DC,Number of Elements,Count,2004,7138
USA-DC,USA-DC,Number of Elements,Count,2003,7350
USA-DC,USA-DC,Number of Elements,Count,2002,7247
USA-DC,USA-DC,Number of Elements,Count,2001,7635
USA-DC,USA-DC,Number of Elements,Count,2000,7872
USA-DC,USA-DC,Number of Elements,Count,1999,10283
USA-DC,USA-DC,Number of Elements,Count,1998,10580
USA-DE,USA-DE,Number of Elements,Count,2019,13867
USA-DE,USA-DE,Number of Elements,Count,2018,13795
USA-DE,USA-DE,Number of Elements,Count,2017,13555
USA-DE,USA-DE,Number of Elements,Count,2016,13366
USA-DE,USA-DE,Number of Elements,Count,2015,12967
USA-DE,USA-DE,Number of Elements,Count,2014,12902
USA-DE,USA-DE,Number of Elements,Count,2013,12777
USA-DE,USA-DE,Number of Elements,Count,2012,12644
USA-DE,USA-DE,Number of Elements,Count,2011,12656
USA-DE,USA-DE,Number of Elements,Count,2010,12706
USA-DE,USA-DE,Number of Elements,Count,2006,12288
USA-DE,USA-DE,Number of Elements,Count,2005,12034
USA-DE,USA-DE,Number of Elements,Count,2004,11884
USA-DE,USA-DE,Number of Elements,Count,2003,11654
USA-DE,USA-DE,Number of Elements,Count,2002,11437
USA-DE,USA-DE,Number of Elements,Count,2001,11074
USA-DE,USA-DE,Number of Elements,Count,2000,9638
USA-DE,USA-DE,Number of Elements,Count,1999,10440
USA-DE,USA-DE,Number of Elements,Count,1998,10081
USA-FL,USA-FL,Number of Elements,Count,2019,38553
USA-FL,USA-FL,Number of Elements,Count,2018,38172
USA-FL,USA-FL,Number of Elements,Count,2017,38106
USA-FL,USA-FL,Number of Elements,Count,2016,38336
USA-FL,USA-FL,Number of Elements,Count,2015,38420
USA-FL,USA-FL,Number of Elements,Count,2014,41303
USA-FL,USA-FL,Number of Elements,Count,2013,40434
USA-FL,USA-FL,Number of Elements,Count,2012,41102
USA-FL,USA-FL,Number of Elements,Count,2011,41068
USA-FL,USA-FL,Number of Elements,Count,2010,41750
USA-FL,USA-FL,Number of Elements,Count,2006,41190
USA-FL,USA-FL,Number of Elements,Count,2005,40909
USA-FL,USA-FL,Number of Elements,Count,2004,41491
USA-FL,USA-FL,Number of Elements,Count,2003,41700
USA-FL,USA-FL,Number of Elements,Count,2002,43006
USA-FL,USA-FL,Number of Elements,Count,2001,45506
USA-FL,USA-FL,Number of Elements,Count,2000,50044
USA-FL,USA-FL,Number of Elements,Count,1999,49778
USA-FL,USA-FL,Number of Elements,Count,1998,46596
USA-GA,USA-GA,Number of Elements,Count,2019,32770
USA-GA,USA-GA,Number of Elements,Count,2018,32836
USA-GA,USA-GA,Number of Elements,Count,2017,32531
USA-GA,USA-GA,Number of Elements,Count,2016,32272
