iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,881888
USA,USA,Number of Elements,Count,2018,885540
USA,USA,Number of Elements,Count,2017,886498
USA,USA,Number of Elements,Count,2016,893439
USA,USA,Number of Elements,Count,2015,890055
USA,USA,Number of Elements,Count,2014,884797
USA,USA,Number of Elements,Count,2013,881196
USA,USA,Number of Elements,Count,2012,837652
USA,USA,Number of Elements,Count,2011,763597
USA,USA,Number of Elements,Count,2010,716692
USA,USA,Number of Elements,Count,2006,539557
USA,USA,Number of Elements,Count,2005,499402
USA,USA,Number of Elements,Count,2004,495586
USA,USA,Number of Elements,Count,2003,489324
USA,USA,Number of Elements,Count,2002,475420
USA,USA,Number of Elements,Count,2001,464412
USA,USA,Number of Elements,Count,2000,433944
USA,USA,Number of Elements,Count,1999,410695
USA,USA,Number of Elements,Count,1998,220655
USA-AK,USA-AK,Number of Elements,Count,2019,21
USA-AK,USA-AK,Number of Elements,Count,2018,21
USA-AK,USA-AK,Number of Elements,Count,2017,23
USA-AK,USA-AK,Number of Elements,Count,2016,22
USA-AK,USA-AK,Number of Elements,Count,2015,20
USA-AK,USA-AK,Number of Elements,Count,2014,63
USA-AK,USA-AK,Number of Elements,Count,2013,62
USA-AK,USA-AK,Number of Elements,Count,2012,61
USA-AK,USA-AK,Number of Elements,Count,2011,303
USA-AK,USA-AK,Number of Elements,Count,2010,325
USA-AK,USA-AK,Number of Elements,Count,2006,1526
USA-AK,USA-AK,Number of Elements,Count,2005,1332
USA-AK,USA-AK,Number of Elements,Count,2004,1269
USA-AK,USA-AK,Number of Elements,Count,2003,1253
USA-AK,USA-AK,Number of Elements,Count,2002,1235
USA-AK,USA-AK,Number of Elements,Count,2001,1120
USA-AK,USA-AK,Number of Elements,Count,2000,981
USA-AK,USA-AK,Number of Elements,Count,1999,885
USA-AK,USA-AK,Number of Elements,Count,1998,770
USA-AL,USA-AL,Number of Elements,Count,2019,128
USA-AL,USA-AL,Number of Elements,Count,2018,127
USA-AL,USA-AL,Number of Elements,Count,2017,125
USA-AL,USA-AL,Number of Elements,Count,2016,126
USA-AL,USA-AL,Number of Elements,Count,2015,127
USA-AL,USA-AL,Number of Elements,Count,2014,129
USA-AL,USA-AL,Number of Elements,Count,2013,130
USA-AL,USA-AL,Number of Elements,Count,2012,135
USA-AL,USA-AL,Number of Elements,Count,2011,135
USA-AL,USA-AL,Number of Elements,Count,2010,146
USA-AL,USA-AL,Number of Elements,Count,2006,115
USA-AL,USA-AL,Number of Elements,Count,2005,106
USA-AL,USA-AL,Number of Elements,Count,2004,106
USA-AL,USA-AL,Number of Elements,Count,2003,111
USA-AL,USA-AL,Number of Elements,Count,2002,112
USA-AL,USA-AL,Number of Elements,Count,2001,111
USA-AL,USA-AL,Number of Elements,Count,2000,105
USA-AL,USA-AL,Number of Elements,Count,1999,109
USA-AL,USA-AL,Number of Elements,Count,1998,115
USA-AR,USA-AR,Number of Elements,Count,2019,924
USA-AR,USA-AR,Number of Elements,Count,2018,960
USA-AR,USA-AR,Number of Elements,Count,2017,893
USA-AR,USA-AR,Number of Elements,Count,2016,879
USA-AR,USA-AR,Number of Elements,Count,2015,827
USA-AR,USA-AR,Number of Elements,Count,2014,720
USA-AR,USA-AR,Number of Elements,Count,2013,664
USA-AR,USA-AR,Number of Elements,Count,2012,614
USA-AR,USA-AR,Number of Elements,Count,2011,361
USA-AR,USA-AR,Number of Elements,Count,2010,311
USA-AR,USA-AR,Number of Elements,Count,2006,157
USA-AR,USA-AR,Number of Elements,Count,2005,134
USA-AR,USA-AR,Number of Elements,Count,2004,132
USA-AR,USA-AR,Number of Elements,Count,2003,88
USA-AR,USA-AR,Number of Elements,Count,2002,36
USA-AR,USA-AR,Number of Elements,Count,2001,27
USA-AR,USA-AR,Number of Elements,Count,2000,32
USA-AR,USA-AR,Number of Elements,Count,1999,36
USA-AR,USA-AR,Number of Elements,Count,1998,29
USA-AZ,USA-AZ,Number of Elements,Count,2019,387
USA-AZ,USA-AZ,Number of Elements,Count,2018,383
USA-AZ,USA-AZ,Number of Elements,Count,2017,363
USA-AZ,USA-AZ,Number of Elements,Count,2016,356
USA-AZ,USA-AZ,Number of Elements,Count,2015,342
USA-AZ,USA-AZ,Number of Elements,Count,2014,318
USA-AZ,USA-AZ,Number of Elements,Count,2013,315
USA-AZ,USA-AZ,Number of Elements,Count,2012,280
USA-AZ,USA-AZ,Number of Elements,Count,2011,198
USA-AZ,USA-AZ,Number of Elements,Count,2010,166
USA-AZ,USA-AZ,Number of Elements,Count,2006,136
USA-AZ,USA-AZ,Number of Elements,Count,2005,131
USA-AZ,USA-AZ,Number of Elements,Count,2004,144
USA-AZ,USA-AZ,Number of Elements,Count,2003,170
USA-AZ,USA-AZ,Number of Elements,Count,2002,168
