iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,100.0
USA,USA,Percent,%,2018,100.0
USA,USA,Percent,%,2017,100.0
USA,USA,Percent,%,2016,100.0
USA,USA,Percent,%,2015,100.0
USA,USA,Percent,%,2014,100.0
USA,USA,Percent,%,2013,100.0
USA,USA,Percent,%,2012,100.0
USA,USA,Percent,%,2011,100.0
USA,USA,Percent,%,2010,100.0
USA,USA,Percent,%,2009,100.0
USA,USA,Percent,%,2008,100.0
USA,USA,Percent,%,2007,100.0
USA,USA,Percent,%,2006,100.0
USA,USA,Percent,%,2005,100.0
USA,USA,Percent,%,2004,100.0
USA,USA,Percent,%,2003,100.0
USA,USA,Percent,%,2002,100.0
USA,USA,Percent,%,2001,100.0
USA,USA,Percent,%,2000,100.0
USA,USA,Percent,%,1999,100.0
USA-AK,USA-AK,Percent,%,2019,0.41
USA-AK,USA-AK,Percent,%,2018,0.41
USA-AK,USA-AK,Percent,%,2017,0.49
USA-AK,USA-AK,Percent,%,2016,0.51
USA-AK,USA-AK,Percent,%,2015,0.58
USA-AK,USA-AK,Percent,%,2014,0.52
USA-AK,USA-AK,Percent,%,2013,0.57
USA-AK,USA-AK,Percent,%,2012,0.69
USA-AK,USA-AK,Percent,%,2011,0.61
USA-AK,USA-AK,Percent,%,2010,0.51
USA-AK,USA-AK,Percent,%,2009,0.53
USA-AK,USA-AK,Percent,%,2008,0.54
USA-AK,USA-AK,Percent,%,2007,0.62
USA-AK,USA-AK,Percent,%,2006,0.65
USA-AK,USA-AK,Percent,%,2005,0.56
USA-AK,USA-AK,Percent,%,2004,0.59
USA-AK,USA-AK,Percent,%,2003,0.54
USA-AK,USA-AK,Percent,%,2002,0.5
USA-AK,USA-AK,Percent,%,2001,0.52
USA-AK,USA-AK,Percent,%,2000,0.83
USA-AK,USA-AK,Percent,%,1999,0.91
USA-AK,USA-AK,Percent,%,1998,0.9
USA-AK,USA-AK,Percent,%,1997,0.84
USA-AK,USA-AK,Percent,%,1996,0.87
USA-AK,USA-AK,Percent,%,1995,0.82
USA-AK,USA-AK,Percent,%,1994,0.72
USA-AK,USA-AK,Percent,%,1993,0.7
USA-AL,USA-AL,Percent,%,2019,0.71
USA-AL,USA-AL,Percent,%,2018,0.76
USA-AL,USA-AL,Percent,%,2017,0.72
USA-AL,USA-AL,Percent,%,2016,0.76
USA-AL,USA-AL,Percent,%,2015,0.79
USA-AL,USA-AL,Percent,%,2014,0.79
USA-AL,USA-AL,Percent,%,2013,0.77
USA-AL,USA-AL,Percent,%,2012,0.74
USA-AL,USA-AL,Percent,%,2011,0.8
USA-AL,USA-AL,Percent,%,2010,0.87
USA-AL,USA-AL,Percent,%,2009,0.78
USA-AL,USA-AL,Percent,%,2008,0.8
USA-AL,USA-AL,Percent,%,2007,0.78
USA-AL,USA-AL,Percent,%,2006,0.86
USA-AL,USA-AL,Percent,%,2005,0.84
USA-AL,USA-AL,Percent,%,2004,0.85
USA-AL,USA-AL,Percent,%,2003,0.8
USA-AL,USA-AL,Percent,%,2002,0.8
USA-AL,USA-AL,Percent,%,2001,0.87
USA-AL,USA-AL,Percent,%,2000,0.8
USA-AL,USA-AL,Percent,%,1999,0.91
USA-AL,USA-AL,Percent,%,1998,0.86
USA-AL,USA-AL,Percent,%,1997,1.01
USA-AL,USA-AL,Percent,%,1996,0.92
USA-AL,USA-AL,Percent,%,1995,0.87
USA-AL,USA-AL,Percent,%,1994,0.88
USA-AL,USA-AL,Percent,%,1993,0.9
USA-AR,USA-AR,Percent,%,2019,1.57
USA-AR,USA-AR,Percent,%,2018,1.58
USA-AR,USA-AR,Percent,%,2017,1.5
USA-AR,USA-AR,Percent,%,2016,1.47
USA-AR,USA-AR,Percent,%,2015,1.49
USA-AR,USA-AR,Percent,%,2014,1.46
USA-AR,USA-AR,Percent,%,2013,1.45
USA-AR,USA-AR,Percent,%,2012,1.43
USA-AR,USA-AR,Percent,%,2011,1.27
USA-AR,USA-AR,Percent,%,2010,1.3
USA-AR,USA-AR,Percent,%,2009,1.17
USA-AR,USA-AR,Percent,%,2008,1.17
USA-AR,USA-AR,Percent,%,2007,1.07
USA-AR,USA-AR,Percent,%,2006,1.1
USA-AR,USA-AR,Percent,%,2005,1.05
USA-AR,USA-AR,Percent,%,2004,0.95
USA-AR,USA-AR,Percent,%,2003,1.0
USA-AR,USA-AR,Percent,%,2002,1.05
USA-AR,USA-AR,Percent,%,2001,1.06
USA-AR,USA-AR,Percent,%,2000,1.04
USA-AR,USA-AR,Percent,%,1999,0.92
USA-AR,USA-AR,Percent,%,1998,0.94
USA-AR,USA-AR,Percent,%,1997,0.92
USA-AR,USA-AR,Percent,%,1996,0.98
USA-AR,USA-AR,Percent,%,1995,0.9
USA-AR,USA-AR,Percent,%,1994,0.95
USA-AR,USA-AR,Percent,%,1993,1.01
USA-AZ,USA-AZ,Percent,%,2019,0.99
USA-AZ,USA-AZ,Percent,%,2018,0.91
USA-AZ,USA-AZ,Percent,%,2017,0.99
USA-AZ,USA-AZ,Percent,%,2016,1.09
USA-AZ,USA-AZ,Percent,%,2015,0.95
USA-AZ,USA-AZ,Percent,%,2014,0.88
USA-AZ,USA-AZ,Percent,%,2013,1.0
USA-AZ,USA-AZ,Percent,%,2012,1.09
USA-AZ,USA-AZ,Percent,%,2011,1.03
USA-AZ,USA-AZ,Percent,%,2010,1.03
USA-AZ,USA-AZ,Percent,%,2009,1.03
USA-AZ,USA-AZ,Percent,%,2008,1.03
USA-AZ,USA-AZ,Percent,%,2007,1.09
USA-AZ,USA-AZ,Percent,%,2006,1.16
USA-AZ,USA-AZ,Percent,%,2005,1.06
USA-AZ,USA-AZ,Percent,%,2004,1.06
USA-AZ,USA-AZ,Percent,%,2003,1.02
USA-AZ,USA-AZ,Percent,%,2002,1.01
USA-AZ,USA-AZ,Percent,%,2001,1.03
USA-AZ,USA-AZ,Percent,%,2000,1.01
USA-AZ,USA-AZ,Percent,%,1999,1.03
USA-AZ,USA-AZ,Percent,%,1998,1.06
USA-AZ,USA-AZ,Percent,%,1997,0.94
USA-AZ,USA-AZ,Percent,%,1996,0.92
USA-AZ,USA-AZ,Percent,%,1995,0.93
USA-AZ,USA-AZ,Percent,%,1994,1.01
USA-AZ,USA-AZ,Percent,%,1993,0.96
USA-CA,USA-CA,Percent,%,2019,7.29
USA-CA,USA-CA,Percent,%,2018,7.06
USA-CA,USA-CA,Percent,%,2017,7.5
USA-CA,USA-CA,Percent,%,2016,7.62
USA-CA,USA-CA,Percent,%,2015,7.36
USA-CA,USA-CA,Percent,%,2014,6.86
USA-CA,USA-CA,Percent,%,2013,7.73
USA-CA,USA-CA,Percent,%,2012,8.74
USA-CA,USA-CA,Percent,%,2011,7.8
USA-CA,USA-CA,Percent,%,2010,7.99
USA-CA,USA-CA,Percent,%,2009,7.95
USA-CA,USA-CA,Percent,%,2008,7.96
USA-CA,USA-CA,Percent,%,2007,8.33
USA-CA,USA-CA,Percent,%,2006,8.63
USA-CA,USA-CA,Percent,%,2005,7.77
USA-CA,USA-CA,Percent,%,2004,7.4
USA-CA,USA-CA,Percent,%,2003,7.33
USA-CA,USA-CA,Percent,%,2002,7.58
USA-CA,USA-CA,Percent,%,2001,8.13
USA-CA,USA-CA,Percent,%,2000,7.74
USA-CA,USA-CA,Percent,%,1999,8.04
USA-CA,USA-CA,Percent,%,1998,9.41
USA-CA,USA-CA,Percent,%,1997,7.9
USA-CA,USA-CA,Percent,%,1996,7.44
USA-CA,USA-CA,Percent,%,1995,9.2
USA-CA,USA-CA,Percent,%,1994,9.05
USA-CA,USA-CA,Percent,%,1993,8.75
USA-CO,USA-CO,Percent,%,2019,1.76
USA-CO,USA-CO,Percent,%,2018,1.59
USA-CO,USA-CO,Percent,%,2017,1.67
USA-CO,USA-CO,Percent,%,2016,1.75
USA-CO,USA-CO,Percent,%,2015,1.69
USA-CO,USA-CO,Percent,%,2014,1.67
USA-CO,USA-CO,Percent,%,2013,1.78
USA-CO,USA-CO,Percent,%,2012,1.79
USA-CO,USA-CO,Percent,%,2011,1.77
USA-CO,USA-CO,Percent,%,2010,1.86
USA-CO,USA-CO,Percent,%,2009,2.0
USA-CO,USA-CO,Percent,%,2008,2.09
USA-CO,USA-CO,Percent,%,2007,2.1
USA-CO,USA-CO,Percent,%,2006,2.11
USA-CO,USA-CO,Percent,%,2005,2.07
USA-CO,USA-CO,Percent,%,2004,1.98
USA-CO,USA-CO,Percent,%,2003,1.97
