iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,100.0
USA,USA,Percent,%,2018,100.0
USA,USA,Percent,%,2017,100.0
USA,USA,Percent,%,2016,100.0
USA,USA,Percent,%,2015,100.0
USA,USA,Percent,%,2014,100.0
USA,USA,Percent,%,2013,100.0
USA,USA,Percent,%,2012,100.0
USA,USA,Percent,%,2011,100.0
USA,USA,Percent,%,2010,100.0
USA,USA,Percent,%,2009,100.0
USA,USA,Percent,%,2008,100.0
USA,USA,Percent,%,2007,100.0
USA,USA,Percent,%,2006,100.0
USA,USA,Percent,%,2005,100.0
USA,USA,Percent,%,2004,100.0
USA,USA,Percent,%,2003,100.0
USA,USA,Percent,%,2002,100.0
USA,USA,Percent,%,2001,100.0
USA,USA,Percent,%,2000,100.0
USA,USA,Percent,%,1999,100.0
USA,USA,Percent,%,1998,100.0
USA,USA,Percent,%,1997,100.0
USA,USA,Percent,%,1996,100.0
USA,USA,Percent,%,1995,100.0
USA,USA,Percent,%,1994,100.0
USA,USA,Percent,%,1993,100.0
USA-AK,USA-AK,Percent,%,2019,0.28
USA-AK,USA-AK,Percent,%,2018,0.24
USA-AK,USA-AK,Percent,%,2017,0.31
USA-AK,USA-AK,Percent,%,2016,0.28
USA-AK,USA-AK,Percent,%,2015,0.31
USA-AK,USA-AK,Percent,%,2014,0.39
USA-AK,USA-AK,Percent,%,2013,0.41
USA-AK,USA-AK,Percent,%,2012,0.44
USA-AK,USA-AK,Percent,%,2011,0.55
USA-AK,USA-AK,Percent,%,2010,0.54
USA-AK,USA-AK,Percent,%,2009,0.55
USA-AK,USA-AK,Percent,%,2008,0.65
USA-AK,USA-AK,Percent,%,2007,0.6
USA-AK,USA-AK,Percent,%,2006,0.7
USA-AK,USA-AK,Percent,%,2005,0.67
USA-AK,USA-AK,Percent,%,2004,0.69
USA-AK,USA-AK,Percent,%,2003,0.67
USA-AK,USA-AK,Percent,%,2002,0.56
USA-AK,USA-AK,Percent,%,2001,0.61
USA-AK,USA-AK,Percent,%,2000,0.68
USA-AK,USA-AK,Percent,%,1999,0.63
USA-AK,USA-AK,Percent,%,1998,0.63
USA-AK,USA-AK,Percent,%,1997,0.82
USA-AK,USA-AK,Percent,%,1996,1.16
USA-AK,USA-AK,Percent,%,1995,0.93
USA-AK,USA-AK,Percent,%,1994,0.97
USA-AK,USA-AK,Percent,%,1993,1.05
USA-AL,USA-AL,Percent,%,2019,3.72
USA-AL,USA-AL,Percent,%,2018,4.07
USA-AL,USA-AL,Percent,%,2017,4.1
USA-AL,USA-AL,Percent,%,2016,4.14
USA-AL,USA-AL,Percent,%,2015,4.13
USA-AL,USA-AL,Percent,%,2014,4.25
USA-AL,USA-AL,Percent,%,2013,4.08
USA-AL,USA-AL,Percent,%,2012,4.4
USA-AL,USA-AL,Percent,%,2011,4.53
USA-AL,USA-AL,Percent,%,2010,3.81
USA-AL,USA-AL,Percent,%,2009,3.3
USA-AL,USA-AL,Percent,%,2008,2.46
USA-AL,USA-AL,Percent,%,2007,2.57
USA-AL,USA-AL,Percent,%,2006,2.34
USA-AL,USA-AL,Percent,%,2005,1.79
USA-AL,USA-AL,Percent,%,2004,2.14
USA-AL,USA-AL,Percent,%,2003,1.68
USA-AL,USA-AL,Percent,%,2002,1.98
USA-AL,USA-AL,Percent,%,2001,1.29
USA-AL,USA-AL,Percent,%,2000,0.81
USA-AL,USA-AL,Percent,%,1999,0.53
USA-AL,USA-AL,Percent,%,1998,0.6
USA-AL,USA-AL,Percent,%,1997,0.29
USA-AL,USA-AL,Percent,%,1996,0.23
USA-AL,USA-AL,Percent,%,1995,0.23
USA-AL,USA-AL,Percent,%,1994,0.13
USA-AL,USA-AL,Percent,%,1993,0.17
USA-AR,USA-AR,Percent,%,2019,1.37
USA-AR,USA-AR,Percent,%,2018,1.44
USA-AR,USA-AR,Percent,%,2017,1.37
USA-AR,USA-AR,Percent,%,2016,1.36
USA-AR,USA-AR,Percent,%,2015,1.14
USA-AR,USA-AR,Percent,%,2014,0.88
USA-AR,USA-AR,Percent,%,2013,1.14
USA-AR,USA-AR,Percent,%,2012,1.42
USA-AR,USA-AR,Percent,%,2011,1.41
USA-AR,USA-AR,Percent,%,2010,1.31
USA-AR,USA-AR,Percent,%,2009,1.21
USA-AR,USA-AR,Percent,%,2008,0.96
USA-AR,USA-AR,Percent,%,2007,0.93
USA-AR,USA-AR,Percent,%,2006,1.14
USA-AR,USA-AR,Percent,%,2005,0.83
USA-AR,USA-AR,Percent,%,2004,0.73
USA-AR,USA-AR,Percent,%,2003,1.1
USA-AR,USA-AR,Percent,%,2002,0.75
USA-AR,USA-AR,Percent,%,2001,0.49
USA-AR,USA-AR,Percent,%,2000,0.67
USA-AR,USA-AR,Percent,%,1999,0.83
USA-AR,USA-AR,Percent,%,1998,0.88
USA-AR,USA-AR,Percent,%,1997,0.61
USA-AR,USA-AR,Percent,%,1996,1.24
USA-AR,USA-AR,Percent,%,1995,1.03
USA-AR,USA-AR,Percent,%,1994,0.84
USA-AR,USA-AR,Percent,%,1993,0.79
USA-AZ,USA-AZ,Percent,%,2019,3.15
USA-AZ,USA-AZ,Percent,%,2018,2.69
USA-AZ,USA-AZ,Percent,%,2017,2.42
USA-AZ,USA-AZ,Percent,%,2016,2.56
USA-AZ,USA-AZ,Percent,%,2015,2.58
USA-AZ,USA-AZ,Percent,%,2014,2.53
USA-AZ,USA-AZ,Percent,%,2013,2.72
USA-AZ,USA-AZ,Percent,%,2012,2.51
USA-AZ,USA-AZ,Percent,%,2011,2.39
USA-AZ,USA-AZ,Percent,%,2010,3.04
USA-AZ,USA-AZ,Percent,%,2009,3.81
USA-AZ,USA-AZ,Percent,%,2008,4.26
USA-AZ,USA-AZ,Percent,%,2007,4.1
USA-AZ,USA-AZ,Percent,%,2006,3.99
USA-AZ,USA-AZ,Percent,%,2005,3.71
USA-AZ,USA-AZ,Percent,%,2004,4.4
USA-AZ,USA-AZ,Percent,%,2003,3.31
USA-AZ,USA-AZ,Percent,%,2002,2.56
USA-AZ,USA-AZ,Percent,%,2001,2.42
USA-AZ,USA-AZ,Percent,%,2000,1.84
USA-AZ,USA-AZ,Percent,%,1999,1.14
USA-AZ,USA-AZ,Percent,%,1998,0.92
USA-AZ,USA-AZ,Percent,%,1997,0.66
USA-AZ,USA-AZ,Percent,%,1996,0.7
USA-AZ,USA-AZ,Percent,%,1995,0.59
USA-AZ,USA-AZ,Percent,%,1994,0.79
USA-AZ,USA-AZ,Percent,%,1993,0.76
USA-CA,USA-CA,Percent,%,2019,5.11
USA-CA,USA-CA,Percent,%,2018,5.81
USA-CA,USA-CA,Percent,%,2017,6.49
USA-CA,USA-CA,Percent,%,2016,6.67
USA-CA,USA-CA,Percent,%,2015,8.38
USA-CA,USA-CA,Percent,%,2014,10.21
USA-CA,USA-CA,Percent,%,2013,10.08
USA-CA,USA-CA,Percent,%,2012,9.39
USA-CA,USA-CA,Percent,%,2011,8.14
USA-CA,USA-CA,Percent,%,2010,9.96
USA-CA,USA-CA,Percent,%,2009,11.77
USA-CA,USA-CA,Percent,%,2008,12.86
USA-CA,USA-CA,Percent,%,2007,12.19
USA-CA,USA-CA,Percent,%,2006,12.39
USA-CA,USA-CA,Percent,%,2005,11.74
USA-CA,USA-CA,Percent,%,2004,14.1
USA-CA,USA-CA,Percent,%,2003,13.74
USA-CA,USA-CA,Percent,%,2002,12.81
USA-CA,USA-CA,Percent,%,2001,18.22
USA-CA,USA-CA,Percent,%,2000,17.16
USA-CA,USA-CA,Percent,%,1999,15.01
USA-CA,USA-CA,Percent,%,1998,14.15
USA-CA,USA-CA,Percent,%,1997,14.66
USA-CA,USA-CA,Percent,%,1996,11.64
USA-CA,USA-CA,Percent,%,1995,12.35
USA-CA,USA-CA,Percent,%,1994,20.13
USA-CA,USA-CA,Percent,%,1993,17.38
USA-CO,USA-CO,Percent,%,2019,1.15
USA-CO,USA-CO,Percent,%,2018,1.19
USA-CO,USA-CO,Percent,%,2017,1.05
USA-CO,USA-CO,Percent,%,2016,0.97
USA-CO,USA-CO,Percent,%,2015,0.96
USA-CO,USA-CO,Percent,%,2014,1.19
USA-CO,USA-CO,Percent,%,2013,1.09
USA-CO,USA-CO,Percent,%,2012,0.95
USA-CO,USA-CO,Percent,%,2011,1.12
USA-CO,USA-CO,Percent,%,2010,1.25
USA-CO,USA-CO,Percent,%,2009,1.68
USA-CO,USA-CO,Percent,%,2008,1.6
USA-CO,USA-CO,Percent,%,2007,1.81
