iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,100.0
USA,USA,Percent,%,2018,100.0
USA,USA,Percent,%,2017,100.0
USA,USA,Percent,%,2016,100.0
USA,USA,Percent,%,2015,100.0
USA,USA,Percent,%,2014,100.0
USA,USA,Percent,%,2013,100.0
USA,USA,Percent,%,2012,100.0
USA,USA,Percent,%,2011,100.0
USA,USA,Percent,%,2010,100.0
USA,USA,Percent,%,2009,100.0
USA,USA,Percent,%,2008,100.0
USA,USA,Percent,%,2007,100.0
USA,USA,Percent,%,2006,100.0
USA,USA,Percent,%,2005,100.0
USA,USA,Percent,%,2004,100.0
USA,USA,Percent,%,2003,100.0
USA,USA,Percent,%,2002,100.0
USA,USA,Percent,%,2001,100.0
USA,USA,Percent,%,2000,100.0
USA,USA,Percent,%,1999,100.0
USA-AK,USA-AK,Percent,%,2019,0.19
USA-AK,USA-AK,Percent,%,2018,0.07
USA-AK,USA-AK,Percent,%,2017,0.05
USA-AK,USA-AK,Percent,%,2016,0.06
USA-AK,USA-AK,Percent,%,2015,0.06
USA-AK,USA-AK,Percent,%,2014,0.06
USA-AK,USA-AK,Percent,%,2013,0.05
USA-AK,USA-AK,Percent,%,2012,0.09
USA-AK,USA-AK,Percent,%,2011,0.1
USA-AK,USA-AK,Percent,%,2010,0.09
USA-AK,USA-AK,Percent,%,2009,0.11
USA-AK,USA-AK,Percent,%,2008,0.09
USA-AK,USA-AK,Percent,%,2007,0.3
USA-AK,USA-AK,Percent,%,2006,0.48
USA-AK,USA-AK,Percent,%,2005,0.8
USA-AK,USA-AK,Percent,%,2004,0.65
USA-AK,USA-AK,Percent,%,2003,0.58
USA-AK,USA-AK,Percent,%,2002,0.88
USA-AK,USA-AK,Percent,%,2001,0.92
USA-AK,USA-AK,Percent,%,2000,0.89
USA-AK,USA-AK,Percent,%,1999,0.92
USA-AK,USA-AK,Percent,%,1998,0.91
USA-AK,USA-AK,Percent,%,1997,0.87
USA-AK,USA-AK,Percent,%,1996,0.85
USA-AK,USA-AK,Percent,%,1995,0.76
USA-AK,USA-AK,Percent,%,1994,0.75
USA-AK,USA-AK,Percent,%,1993,0.95
USA-AL,USA-AL,Percent,%,2019,2.58
USA-AL,USA-AL,Percent,%,2018,2.6
USA-AL,USA-AL,Percent,%,2017,2.48
USA-AL,USA-AL,Percent,%,2016,2.49
USA-AL,USA-AL,Percent,%,2015,2.48
USA-AL,USA-AL,Percent,%,2014,2.45
USA-AL,USA-AL,Percent,%,2013,2.42
USA-AL,USA-AL,Percent,%,2012,2.38
USA-AL,USA-AL,Percent,%,2011,2.19
USA-AL,USA-AL,Percent,%,2010,2.12
USA-AL,USA-AL,Percent,%,2009,2.13
USA-AL,USA-AL,Percent,%,2008,2.13
USA-AL,USA-AL,Percent,%,2007,2.26
USA-AL,USA-AL,Percent,%,2006,2.3
USA-AL,USA-AL,Percent,%,2005,2.29
USA-AL,USA-AL,Percent,%,2004,2.25
USA-AL,USA-AL,Percent,%,2003,2.22
USA-AL,USA-AL,Percent,%,2002,2.13
USA-AL,USA-AL,Percent,%,2001,2.11
USA-AL,USA-AL,Percent,%,2000,2.46
USA-AL,USA-AL,Percent,%,1999,2.53
USA-AL,USA-AL,Percent,%,1998,2.39
USA-AL,USA-AL,Percent,%,1997,2.36
USA-AL,USA-AL,Percent,%,1996,2.27
USA-AL,USA-AL,Percent,%,1995,2.38
USA-AL,USA-AL,Percent,%,1994,2.23
USA-AL,USA-AL,Percent,%,1993,2.28
USA-AR,USA-AR,Percent,%,2019,1.25
USA-AR,USA-AR,Percent,%,2018,1.27
USA-AR,USA-AR,Percent,%,2017,1.26
USA-AR,USA-AR,Percent,%,2016,1.14
USA-AR,USA-AR,Percent,%,2015,1.13
USA-AR,USA-AR,Percent,%,2014,1.16
USA-AR,USA-AR,Percent,%,2013,1.17
USA-AR,USA-AR,Percent,%,2012,1.13
USA-AR,USA-AR,Percent,%,2011,1.22
USA-AR,USA-AR,Percent,%,2010,1.22
USA-AR,USA-AR,Percent,%,2009,1.26
USA-AR,USA-AR,Percent,%,2008,1.28
USA-AR,USA-AR,Percent,%,2007,1.29
USA-AR,USA-AR,Percent,%,2006,1.34
USA-AR,USA-AR,Percent,%,2005,1.35
USA-AR,USA-AR,Percent,%,2004,1.39
USA-AR,USA-AR,Percent,%,2003,1.55
USA-AR,USA-AR,Percent,%,2002,1.58
USA-AR,USA-AR,Percent,%,2001,1.67
USA-AR,USA-AR,Percent,%,2000,1.6
USA-AR,USA-AR,Percent,%,1999,1.7
USA-AR,USA-AR,Percent,%,1998,1.7
USA-AR,USA-AR,Percent,%,1997,1.7
USA-AR,USA-AR,Percent,%,1996,1.59
USA-AR,USA-AR,Percent,%,1995,1.62
USA-AR,USA-AR,Percent,%,1994,1.64
USA-AR,USA-AR,Percent,%,1993,1.5
USA-AZ,USA-AZ,Percent,%,2019,0.22
USA-AZ,USA-AZ,Percent,%,2018,0.23
USA-AZ,USA-AZ,Percent,%,2017,0.24
USA-AZ,USA-AZ,Percent,%,2016,0.26
USA-AZ,USA-AZ,Percent,%,2015,0.27
USA-AZ,USA-AZ,Percent,%,2014,0.29
USA-AZ,USA-AZ,Percent,%,2013,0.3
USA-AZ,USA-AZ,Percent,%,2012,0.31
USA-AZ,USA-AZ,Percent,%,2011,0.31
USA-AZ,USA-AZ,Percent,%,2010,0.28
USA-AZ,USA-AZ,Percent,%,2009,0.29
USA-AZ,USA-AZ,Percent,%,2008,0.3
USA-AZ,USA-AZ,Percent,%,2007,0.29
USA-AZ,USA-AZ,Percent,%,2006,0.28
USA-AZ,USA-AZ,Percent,%,2005,0.26
USA-AZ,USA-AZ,Percent,%,2004,0.29
USA-AZ,USA-AZ,Percent,%,2003,0.21
USA-AZ,USA-AZ,Percent,%,2002,0.23
USA-AZ,USA-AZ,Percent,%,2001,0.29
USA-AZ,USA-AZ,Percent,%,2000,0.26
USA-AZ,USA-AZ,Percent,%,1999,0.34
USA-AZ,USA-AZ,Percent,%,1998,0.34
USA-AZ,USA-AZ,Percent,%,1997,0.33
USA-AZ,USA-AZ,Percent,%,1996,0.3
USA-AZ,USA-AZ,Percent,%,1995,0.32
USA-AZ,USA-AZ,Percent,%,1994,0.32
USA-AZ,USA-AZ,Percent,%,1993,0.27
USA-CA,USA-CA,Percent,%,2019,9.12
USA-CA,USA-CA,Percent,%,2018,9.11
USA-CA,USA-CA,Percent,%,2017,9.58
USA-CA,USA-CA,Percent,%,2016,10.02
USA-CA,USA-CA,Percent,%,2015,10.33
USA-CA,USA-CA,Percent,%,2014,10.32
USA-CA,USA-CA,Percent,%,2013,10.45
USA-CA,USA-CA,Percent,%,2012,10.18
USA-CA,USA-CA,Percent,%,2011,10.1
USA-CA,USA-CA,Percent,%,2010,10.31
USA-CA,USA-CA,Percent,%,2009,11.45
USA-CA,USA-CA,Percent,%,2008,10.8
USA-CA,USA-CA,Percent,%,2007,11.1
USA-CA,USA-CA,Percent,%,2006,11.24
USA-CA,USA-CA,Percent,%,2005,11.84
USA-CA,USA-CA,Percent,%,2004,11.54
USA-CA,USA-CA,Percent,%,2003,10.9
USA-CA,USA-CA,Percent,%,2002,9.86
USA-CA,USA-CA,Percent,%,2001,9.08
USA-CA,USA-CA,Percent,%,2000,9.53
USA-CA,USA-CA,Percent,%,1999,8.99
USA-CA,USA-CA,Percent,%,1998,8.96
USA-CA,USA-CA,Percent,%,1997,8.45
USA-CA,USA-CA,Percent,%,1996,7.82
USA-CA,USA-CA,Percent,%,1995,8.02
USA-CA,USA-CA,Percent,%,1994,8.04
USA-CA,USA-CA,Percent,%,1993,8.27
USA-CO,USA-CO,Percent,%,2019,1.09
USA-CO,USA-CO,Percent,%,2018,1.05
USA-CO,USA-CO,Percent,%,2017,1.07
USA-CO,USA-CO,Percent,%,2016,1.04
USA-CO,USA-CO,Percent,%,2015,1.04
USA-CO,USA-CO,Percent,%,2014,1.02
USA-CO,USA-CO,Percent,%,2013,1.05
USA-CO,USA-CO,Percent,%,2012,1.01
USA-CO,USA-CO,Percent,%,2011,1.06
USA-CO,USA-CO,Percent,%,2010,1.67
USA-CO,USA-CO,Percent,%,2009,1.84
USA-CO,USA-CO,Percent,%,2008,1.79
USA-CO,USA-CO,Percent,%,2007,1.76
USA-CO,USA-CO,Percent,%,2006,1.71
USA-CO,USA-CO,Percent,%,2005,1.92
USA-CO,USA-CO,Percent,%,2004,1.55
USA-CO,USA-CO,Percent,%,2003,1.57
