iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,100.0
USA,USA,Percent,%,2018,100.0
USA,USA,Percent,%,2017,100.0
USA,USA,Percent,%,2016,100.0
USA,USA,Percent,%,2015,100.0
USA,USA,Percent,%,2014,100.0
USA,USA,Percent,%,2013,100.0
USA,USA,Percent,%,2012,100.0
USA,USA,Percent,%,2011,100.0
USA,USA,Percent,%,2010,100.0
USA,USA,Percent,%,2009,100.0
USA,USA,Percent,%,2008,100.0
USA,USA,Percent,%,2007,100.0
USA,USA,Percent,%,2006,100.0
USA,USA,Percent,%,2005,100.0
USA,USA,Percent,%,2004,100.0
USA,USA,Percent,%,2003,100.0
USA,USA,Percent,%,2002,100.0
USA,USA,Percent,%,2001,100.0
USA,USA,Percent,%,2000,100.0
USA,USA,Percent,%,1999,100.0
USA,USA,Percent,%,1998,100.0
USA,USA,Percent,%,1997,100.0
USA,USA,Percent,%,1996,100.0
USA,USA,Percent,%,1995,100.0
USA,USA,Percent,%,1994,100.0
USA,USA,Percent,%,1993,100.0
USA-AK,USA-AK,Percent,%,2019,0.36
USA-AK,USA-AK,Percent,%,2018,0.37
USA-AK,USA-AK,Percent,%,2017,0.46
USA-AK,USA-AK,Percent,%,2016,0.41
USA-AK,USA-AK,Percent,%,2015,0.4
USA-AK,USA-AK,Percent,%,2014,0.35
USA-AK,USA-AK,Percent,%,2013,0.39
USA-AK,USA-AK,Percent,%,2012,0.52
USA-AK,USA-AK,Percent,%,2011,0.43
USA-AK,USA-AK,Percent,%,2010,0.39
USA-AK,USA-AK,Percent,%,2009,0.42
USA-AK,USA-AK,Percent,%,2008,0.44
USA-AK,USA-AK,Percent,%,2007,0.42
USA-AK,USA-AK,Percent,%,2006,0.47
USA-AK,USA-AK,Percent,%,2005,0.37
USA-AK,USA-AK,Percent,%,2004,0.37
USA-AK,USA-AK,Percent,%,2003,0.33
USA-AK,USA-AK,Percent,%,2002,0.33
USA-AK,USA-AK,Percent,%,2001,0.35
USA-AK,USA-AK,Percent,%,2000,0.32
USA-AK,USA-AK,Percent,%,1999,0.37
USA-AK,USA-AK,Percent,%,1998,0.35
USA-AK,USA-AK,Percent,%,1997,0.3
USA-AK,USA-AK,Percent,%,1996,0.31
USA-AK,USA-AK,Percent,%,1995,0.31
USA-AK,USA-AK,Percent,%,1994,0.31
USA-AK,USA-AK,Percent,%,1993,0.28
USA-AL,USA-AL,Percent,%,2019,0.61
USA-AL,USA-AL,Percent,%,2018,0.69
USA-AL,USA-AL,Percent,%,2017,0.6
USA-AL,USA-AL,Percent,%,2016,0.65
USA-AL,USA-AL,Percent,%,2015,0.71
USA-AL,USA-AL,Percent,%,2014,0.77
USA-AL,USA-AL,Percent,%,2013,0.72
USA-AL,USA-AL,Percent,%,2012,0.66
USA-AL,USA-AL,Percent,%,2011,0.78
USA-AL,USA-AL,Percent,%,2010,0.88
USA-AL,USA-AL,Percent,%,2009,0.75
USA-AL,USA-AL,Percent,%,2008,0.77
USA-AL,USA-AL,Percent,%,2007,0.75
USA-AL,USA-AL,Percent,%,2006,0.87
USA-AL,USA-AL,Percent,%,2005,0.87
USA-AL,USA-AL,Percent,%,2004,0.9
USA-AL,USA-AL,Percent,%,2003,0.92
USA-AL,USA-AL,Percent,%,2002,0.95
USA-AL,USA-AL,Percent,%,2001,1.03
USA-AL,USA-AL,Percent,%,2000,0.95
USA-AL,USA-AL,Percent,%,1999,0.9
USA-AL,USA-AL,Percent,%,1998,1.03
USA-AL,USA-AL,Percent,%,1997,0.97
USA-AL,USA-AL,Percent,%,1996,1.08
USA-AL,USA-AL,Percent,%,1995,1.02
USA-AL,USA-AL,Percent,%,1994,1.03
USA-AL,USA-AL,Percent,%,1993,1.04
USA-AR,USA-AR,Percent,%,2019,0.67
USA-AR,USA-AR,Percent,%,2018,0.7
USA-AR,USA-AR,Percent,%,2017,0.58
USA-AR,USA-AR,Percent,%,2016,0.62
USA-AR,USA-AR,Percent,%,2015,0.72
USA-AR,USA-AR,Percent,%,2014,0.75
USA-AR,USA-AR,Percent,%,2013,0.71
USA-AR,USA-AR,Percent,%,2012,0.63
USA-AR,USA-AR,Percent,%,2011,0.72
USA-AR,USA-AR,Percent,%,2010,0.76
USA-AR,USA-AR,Percent,%,2009,0.7
USA-AR,USA-AR,Percent,%,2008,0.73
USA-AR,USA-AR,Percent,%,2007,0.69
USA-AR,USA-AR,Percent,%,2006,0.72
USA-AR,USA-AR,Percent,%,2005,0.7
USA-AR,USA-AR,Percent,%,2004,0.71
USA-AR,USA-AR,Percent,%,2003,0.75
USA-AR,USA-AR,Percent,%,2002,0.8
USA-AR,USA-AR,Percent,%,2001,0.78
USA-AR,USA-AR,Percent,%,2000,0.85
USA-AR,USA-AR,Percent,%,1999,0.77
USA-AR,USA-AR,Percent,%,1998,0.85
USA-AR,USA-AR,Percent,%,1997,0.85
USA-AR,USA-AR,Percent,%,1996,0.88
USA-AR,USA-AR,Percent,%,1995,0.85
USA-AR,USA-AR,Percent,%,1994,0.86
USA-AR,USA-AR,Percent,%,1993,0.92
USA-AZ,USA-AZ,Percent,%,2019,0.84
USA-AZ,USA-AZ,Percent,%,2018,0.7
USA-AZ,USA-AZ,Percent,%,2017,0.74
USA-AZ,USA-AZ,Percent,%,2016,0.81
USA-AZ,USA-AZ,Percent,%,2015,0.75
USA-AZ,USA-AZ,Percent,%,2014,0.64
USA-AZ,USA-AZ,Percent,%,2013,0.81
USA-AZ,USA-AZ,Percent,%,2012,0.84
USA-AZ,USA-AZ,Percent,%,2011,0.82
USA-AZ,USA-AZ,Percent,%,2010,0.79
USA-AZ,USA-AZ,Percent,%,2009,0.73
USA-AZ,USA-AZ,Percent,%,2008,0.79
USA-AZ,USA-AZ,Percent,%,2007,0.81
USA-AZ,USA-AZ,Percent,%,2006,0.83
USA-AZ,USA-AZ,Percent,%,2005,0.74
USA-AZ,USA-AZ,Percent,%,2004,0.78
USA-AZ,USA-AZ,Percent,%,2003,0.71
USA-AZ,USA-AZ,Percent,%,2002,0.72
USA-AZ,USA-AZ,Percent,%,2001,0.76
USA-AZ,USA-AZ,Percent,%,2000,0.7
USA-AZ,USA-AZ,Percent,%,1999,0.7
USA-AZ,USA-AZ,Percent,%,1998,0.8
USA-AZ,USA-AZ,Percent,%,1997,0.62
USA-AZ,USA-AZ,Percent,%,1996,0.53
USA-AZ,USA-AZ,Percent,%,1995,0.55
USA-AZ,USA-AZ,Percent,%,1994,0.61
USA-AZ,USA-AZ,Percent,%,1993,0.57
USA-CA,USA-CA,Percent,%,2019,9.26
USA-CA,USA-CA,Percent,%,2018,8.48
USA-CA,USA-CA,Percent,%,2017,9.77
USA-CA,USA-CA,Percent,%,2016,9.48
USA-CA,USA-CA,Percent,%,2015,8.7
USA-CA,USA-CA,Percent,%,2014,7.81
USA-CA,USA-CA,Percent,%,2013,9.84
USA-CA,USA-CA,Percent,%,2012,11.52
USA-CA,USA-CA,Percent,%,2011,10.87
USA-CA,USA-CA,Percent,%,2010,10.35
USA-CA,USA-CA,Percent,%,2009,10.06
USA-CA,USA-CA,Percent,%,2008,10.0
USA-CA,USA-CA,Percent,%,2007,10.43
USA-CA,USA-CA,Percent,%,2006,11.26
USA-CA,USA-CA,Percent,%,2005,10.02
USA-CA,USA-CA,Percent,%,2004,10.52
USA-CA,USA-CA,Percent,%,2003,9.8
USA-CA,USA-CA,Percent,%,2002,10.45
USA-CA,USA-CA,Percent,%,2001,10.75
USA-CA,USA-CA,Percent,%,2000,10.34
USA-CA,USA-CA,Percent,%,1999,12.03
USA-CA,USA-CA,Percent,%,1998,12.17
USA-CA,USA-CA,Percent,%,1997,9.61
USA-CA,USA-CA,Percent,%,1996,9.03
USA-CA,USA-CA,Percent,%,1995,9.85
USA-CA,USA-CA,Percent,%,1994,10.75
USA-CA,USA-CA,Percent,%,1993,10.11
USA-CO,USA-CO,Percent,%,2019,2.84
USA-CO,USA-CO,Percent,%,2018,2.56
USA-CO,USA-CO,Percent,%,2017,2.69
USA-CO,USA-CO,Percent,%,2016,2.81
USA-CO,USA-CO,Percent,%,2015,2.65
USA-CO,USA-CO,Percent,%,2014,2.6
USA-CO,USA-CO,Percent,%,2013,2.76
USA-CO,USA-CO,Percent,%,2012,2.79
USA-CO,USA-CO,Percent,%,2011,2.76
USA-CO,USA-CO,Percent,%,2010,2.74
USA-CO,USA-CO,Percent,%,2009,2.7
USA-CO,USA-CO,Percent,%,2008,2.74
USA-CO,USA-CO,Percent,%,2007,2.77
