iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2019,100.0
USA,USA,Percent,%,2018,100.0
USA,USA,Percent,%,2017,100.0
USA,USA,Percent,%,2016,100.0
USA,USA,Percent,%,2015,100.0
USA,USA,Percent,%,2014,100.0
USA,USA,Percent,%,2013,100.0
USA,USA,Percent,%,2012,100.0
USA,USA,Percent,%,2011,100.0
USA,USA,Percent,%,2010,100.0
USA,USA,Percent,%,2009,100.0
USA,USA,Percent,%,2008,100.0
USA,USA,Percent,%,2007,100.0
USA,USA,Percent,%,2006,100.0
USA,USA,Percent,%,2005,100.0
USA,USA,Percent,%,2004,100.0
USA,USA,Percent,%,2003,100.0
USA,USA,Percent,%,2002,100.0
USA,USA,Percent,%,2001,100.0
USA,USA,Percent,%,2000,100.0
USA,USA,Percent,%,1999,100.0
USA,USA,Percent,%,1998,100.0
USA,USA,Percent,%,1997,100.0
USA,USA,Percent,%,1996,100.0
USA,USA,Percent,%,1995,100.0
USA,USA,Percent,%,1994,100.0
USA,USA,Percent,%,1993,100.0
USA-AK,USA-AK,Percent,%,2019,
USA-AK,USA-AK,Percent,%,2018,0.01
USA-AK,USA-AK,Percent,%,2017,0.01
USA-AK,USA-AK,Percent,%,2016,0.03
USA-AK,USA-AK,Percent,%,2015,0.02
USA-AK,USA-AK,Percent,%,2014,0.03
USA-AK,USA-AK,Percent,%,2013,0.03
USA-AK,USA-AK,Percent,%,2012,0.04
USA-AK,USA-AK,Percent,%,2011,0.04
USA-AK,USA-AK,Percent,%,2010,0.07
USA-AK,USA-AK,Percent,%,2009,0.08
USA-AK,USA-AK,Percent,%,2008,0.1
USA-AK,USA-AK,Percent,%,2007,0.11
USA-AK,USA-AK,Percent,%,2006,0.12
USA-AK,USA-AK,Percent,%,2005,0.17
USA-AK,USA-AK,Percent,%,2004,0.09
USA-AK,USA-AK,Percent,%,2003,0.09
USA-AK,USA-AK,Percent,%,2002,0.08
USA-AK,USA-AK,Percent,%,2001,0.09
USA-AK,USA-AK,Percent,%,2000,0.09
USA-AK,USA-AK,Percent,%,1999,0.09
USA-AL,USA-AL,Percent,%,2019,0.12
USA-AL,USA-AL,Percent,%,2018,0.16
USA-AL,USA-AL,Percent,%,2017,0.18
USA-AL,USA-AL,Percent,%,2016,0.35
USA-AL,USA-AL,Percent,%,2015,0.76
USA-AL,USA-AL,Percent,%,2014,1.07
USA-AL,USA-AL,Percent,%,2013,0.63
USA-AL,USA-AL,Percent,%,2012,0.64
USA-AL,USA-AL,Percent,%,2011,0.64
USA-AL,USA-AL,Percent,%,2010,0.37
USA-AL,USA-AL,Percent,%,2009,0.29
USA-AL,USA-AL,Percent,%,2008,0.32
USA-AL,USA-AL,Percent,%,2007,0.36
USA-AL,USA-AL,Percent,%,2006,0.47
USA-AL,USA-AL,Percent,%,2005,0.67
USA-AL,USA-AL,Percent,%,2004,0.52
USA-AL,USA-AL,Percent,%,2003,0.52
USA-AL,USA-AL,Percent,%,2002,0.52
USA-AL,USA-AL,Percent,%,2001,0.52
USA-AL,USA-AL,Percent,%,2000,0.57
USA-AL,USA-AL,Percent,%,1999,0.57
USA-AL,USA-AL,Percent,%,1998,0.57
USA-AL,USA-AL,Percent,%,1997,0.71
USA-AL,USA-AL,Percent,%,1996,0.08
USA-AL,USA-AL,Percent,%,1995,0.15
USA-AL,USA-AL,Percent,%,1994,0.2
USA-AL,USA-AL,Percent,%,1993,0.44
USA-AR,USA-AR,Percent,%,2019,0.11
USA-AR,USA-AR,Percent,%,2018,0.1
USA-AR,USA-AR,Percent,%,2017,0.09
USA-AR,USA-AR,Percent,%,2016,0.1
USA-AR,USA-AR,Percent,%,2015,0.08
USA-AR,USA-AR,Percent,%,2014,0.09
USA-AR,USA-AR,Percent,%,2013,0.09
USA-AR,USA-AR,Percent,%,2012,0.07
USA-AR,USA-AR,Percent,%,2011,0.07
USA-AR,USA-AR,Percent,%,2010,0.06
USA-AR,USA-AR,Percent,%,2009,0.04
USA-AR,USA-AR,Percent,%,2008,0.05
USA-AR,USA-AR,Percent,%,2007,0.05
USA-AR,USA-AR,Percent,%,2006,0.04
USA-AR,USA-AR,Percent,%,2005,0.05
USA-AR,USA-AR,Percent,%,2004,0.84
USA-AR,USA-AR,Percent,%,2003,0.84
USA-AR,USA-AR,Percent,%,2002,0.84
USA-AR,USA-AR,Percent,%,2001,0.86
USA-AR,USA-AR,Percent,%,2000,0.92
USA-AR,USA-AR,Percent,%,1999,0.92
USA-AR,USA-AR,Percent,%,1998,0.91
USA-AR,USA-AR,Percent,%,1997,0.73
USA-AR,USA-AR,Percent,%,1996,0.11
USA-AR,USA-AR,Percent,%,1995,0.06
USA-AR,USA-AR,Percent,%,1994,0.18
USA-AZ,USA-AZ,Percent,%,2019,3.07
USA-AZ,USA-AZ,Percent,%,2018,3.29
USA-AZ,USA-AZ,Percent,%,2017,3.25
USA-AZ,USA-AZ,Percent,%,2016,5.88
USA-AZ,USA-AZ,Percent,%,2015,5.6
USA-AZ,USA-AZ,Percent,%,2014,6.18
USA-AZ,USA-AZ,Percent,%,2013,5.76
USA-AZ,USA-AZ,Percent,%,2012,5.7
USA-AZ,USA-AZ,Percent,%,2011,5.71
USA-AZ,USA-AZ,Percent,%,2010,7.03
USA-AZ,USA-AZ,Percent,%,2009,7.69
USA-AZ,USA-AZ,Percent,%,2008,7.66
USA-AZ,USA-AZ,Percent,%,2007,8.15
USA-AZ,USA-AZ,Percent,%,2006,8.38
USA-AZ,USA-AZ,Percent,%,2005,8.25
USA-AZ,USA-AZ,Percent,%,2004,6.57
USA-AZ,USA-AZ,Percent,%,2003,6.57
USA-AZ,USA-AZ,Percent,%,2002,6.57
USA-AZ,USA-AZ,Percent,%,2001,6.4
USA-AZ,USA-AZ,Percent,%,2000,5.2
USA-AZ,USA-AZ,Percent,%,1999,5.2
USA-AZ,USA-AZ,Percent,%,1998,5.19
USA-AZ,USA-AZ,Percent,%,1997,4.36
USA-AZ,USA-AZ,Percent,%,1996,3.91
USA-AZ,USA-AZ,Percent,%,1995,4.43
USA-AZ,USA-AZ,Percent,%,1994,3.49
USA-AZ,USA-AZ,Percent,%,1993,4.61
USA-CA,USA-CA,Percent,%,2019,52.28
USA-CA,USA-CA,Percent,%,2018,49.69
USA-CA,USA-CA,Percent,%,2017,52.01
USA-CA,USA-CA,Percent,%,2016,45.41
USA-CA,USA-CA,Percent,%,2015,46.27
USA-CA,USA-CA,Percent,%,2014,43.45
USA-CA,USA-CA,Percent,%,2013,47.0
USA-CA,USA-CA,Percent,%,2012,48.95
USA-CA,USA-CA,Percent,%,2011,48.91
USA-CA,USA-CA,Percent,%,2010,47.35
USA-CA,USA-CA,Percent,%,2009,46.96
USA-CA,USA-CA,Percent,%,2008,45.05
USA-CA,USA-CA,Percent,%,2007,44.67
USA-CA,USA-CA,Percent,%,2006,41.66
USA-CA,USA-CA,Percent,%,2005,41.12
USA-CA,USA-CA,Percent,%,2004,18.71
USA-CA,USA-CA,Percent,%,2003,18.71
USA-CA,USA-CA,Percent,%,2002,18.72
USA-CA,USA-CA,Percent,%,2001,18.67
USA-CA,USA-CA,Percent,%,2000,18.66
USA-CA,USA-CA,Percent,%,1999,18.69
USA-CA,USA-CA,Percent,%,1998,18.55
USA-CA,USA-CA,Percent,%,1997,18.73
USA-CA,USA-CA,Percent,%,1996,43.11
USA-CA,USA-CA,Percent,%,1995,31.63
USA-CA,USA-CA,Percent,%,1994,31.62
USA-CA,USA-CA,Percent,%,1993,26.56
USA-CO,USA-CO,Percent,%,2019,0.64
USA-CO,USA-CO,Percent,%,2018,2.53
USA-CO,USA-CO,Percent,%,2017,1.78
USA-CO,USA-CO,Percent,%,2016,1.08
USA-CO,USA-CO,Percent,%,2015,0.92
USA-CO,USA-CO,Percent,%,2014,0.93
USA-CO,USA-CO,Percent,%,2013,0.9
USA-CO,USA-CO,Percent,%,2012,0.94
USA-CO,USA-CO,Percent,%,2011,0.94
USA-CO,USA-CO,Percent,%,2010,0.87
USA-CO,USA-CO,Percent,%,2009,0.92
USA-CO,USA-CO,Percent,%,2008,0.47
USA-CO,USA-CO,Percent,%,2007,0.57
USA-CO,USA-CO,Percent,%,2006,0.61
USA-CO,USA-CO,Percent,%,2005,0.72
USA-CO,USA-CO,Percent,%,2004,4.0
USA-CO,USA-CO,Percent,%,2003,4.0
USA-CO,USA-CO,Percent,%,2002,4.0
USA-CO,USA-CO,Percent,%,2001,4.03
USA-CO,USA-CO,Percent,%,2000,4.35
