iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,-3474.0
USA,USA,Billion Cubic Feet,Bcf,2018,2871.0
USA,USA,Billion Cubic Feet,Bcf,2017,3093.0
USA,USA,Billion Cubic Feet,Bcf,2016,997.0
USA,USA,Billion Cubic Feet,Bcf,2015,1994.0
USA,USA,Billion Cubic Feet,Bcf,2014,1396.0
USA,USA,Billion Cubic Feet,Bcf,2013,-649.0
USA,USA,Billion Cubic Feet,Bcf,2012,385.0
USA,USA,Billion Cubic Feet,Bcf,2011,390.0
USA,USA,Billion Cubic Feet,Bcf,2010,-482.0
USA,USA,Billion Cubic Feet,Bcf,2009,877.0
USA,USA,Billion Cubic Feet,Bcf,2008,455.0
USA,USA,Billion Cubic Feet,Bcf,2007,276.0
USA,USA,Billion Cubic Feet,Bcf,2006,-54.0
USA,USA,Billion Cubic Feet,Bcf,2005,126.0
USA,USA,Billion Cubic Feet,Bcf,2004,-21.0
USA,USA,Billion Cubic Feet,Bcf,2003,202.0
USA,USA,Billion Cubic Feet,Bcf,2002,499.0
USA,USA,Billion Cubic Feet,Bcf,2001,499.0
USA,USA,Billion Cubic Feet,Bcf,2000,-605.0
USA,USA,Billion Cubic Feet,Bcf,1999,143.0
USA,USA,Billion Cubic Feet,Bcf,1998,-706.0
USA,USA,Billion Cubic Feet,Bcf,1997,262.0
USA,USA,Billion Cubic Feet,Bcf,1996,164.0
USA,USA,Billion Cubic Feet,Bcf,1995,345.0
USA,USA,Billion Cubic Feet,Bcf,1994,163.0
USA,USA,Billion Cubic Feet,Bcf,1993,-302.0
USA,USA,Billion Cubic Feet,Bcf,1992,567.0
USA,USA,Billion Cubic Feet,Bcf,1991,257.0
USA,USA,Billion Cubic Feet,Bcf,1990,57.0
USA,USA,Billion Cubic Feet,Bcf,1989,415.0
USA,USA,Billion Cubic Feet,Bcf,1988,437.0
USA,USA,Billion Cubic Feet,Bcf,1987,177.0
USA,USA,Billion Cubic Feet,Bcf,1986,425.0
USA,USA,Billion Cubic Feet,Bcf,1985,695.0
USA,USA,Billion Cubic Feet,Bcf,1984,-486.0
USA,USA,Billion Cubic Feet,Bcf,1983,1564.0
USA,USA,Billion Cubic Feet,Bcf,1982,843.0
USA,USA,Billion Cubic Feet,Bcf,1981,-1079.0
USA,USA,Billion Cubic Feet,Bcf,1980,1053.0
USA,USA,Billion Cubic Feet,Bcf,1979,1925.0
USA,USA,Billion Cubic Feet,Bcf,2019,193.0
USA,USA,Billion Cubic Feet,Bcf,2018,400.0
USA,USA,Billion Cubic Feet,Bcf,2017,264.0
USA,USA,Billion Cubic Feet,Bcf,2016,6.0
USA,USA,Billion Cubic Feet,Bcf,2015,-50.0
USA,USA,Billion Cubic Feet,Bcf,2014,138.0
USA,USA,Billion Cubic Feet,Bcf,2013,-73.0
USA,USA,Billion Cubic Feet,Bcf,2012,-165.0
USA,USA,Billion Cubic Feet,Bcf,2011,-22.0
USA,USA,Billion Cubic Feet,Bcf,2010,-14.0
USA,USA,Billion Cubic Feet,Bcf,2009,12.0
USA,USA,Billion Cubic Feet,Bcf,2008,7.0
USA,USA,Billion Cubic Feet,Bcf,2007,-4.0
USA,USA,Billion Cubic Feet,Bcf,2006,0.0
USA,USA,Billion Cubic Feet,Bcf,2005,1.0
USA,USA,Billion Cubic Feet,Bcf,2004,2.0
USA,USA,Billion Cubic Feet,Bcf,2003,3.0
USA,USA,Billion Cubic Feet,Bcf,2002,2.0
USA,USA,Billion Cubic Feet,Bcf,2001,-7.0
USA,USA,Billion Cubic Feet,Bcf,2000,49.0
USA,USA,Billion Cubic Feet,Bcf,1999,1.0
USA,USA,Billion Cubic Feet,Bcf,1998,-7.0
USA,USA,Billion Cubic Feet,Bcf,1997,90.0
USA,USA,Billion Cubic Feet,Bcf,1996,57.0
USA,USA,Billion Cubic Feet,Bcf,1995,26.0
USA,USA,Billion Cubic Feet,Bcf,1994,36.0
USA,USA,Billion Cubic Feet,Bcf,1993,-197.0
USA,USA,Billion Cubic Feet,Bcf,1992,-96.0
USA,USA,Billion Cubic Feet,Bcf,1991,-46.0
USA,USA,Billion Cubic Feet,Bcf,1990,57.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,-3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,-9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,-51.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,-5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
