iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,10160.0
USA,USA,Billion Cubic Feet,Bcf,2018,8634.0
USA,USA,Billion Cubic Feet,Bcf,2017,7210.0
USA,USA,Billion Cubic Feet,Bcf,2016,6427.0
USA,USA,Billion Cubic Feet,Bcf,2015,6193.0
USA,USA,Billion Cubic Feet,Bcf,2014,5277.0
USA,USA,Billion Cubic Feet,Bcf,2013,4114.0
USA,USA,Billion Cubic Feet,Bcf,2012,3393.0
USA,USA,Billion Cubic Feet,Bcf,2011,2722.0
USA,USA,Billion Cubic Feet,Bcf,2010,2445.0
USA,USA,Billion Cubic Feet,Bcf,2009,2556.0
USA,USA,Billion Cubic Feet,Bcf,2008,2349.0
USA,USA,Billion Cubic Feet,Bcf,2007,2296.0
USA,USA,Billion Cubic Feet,Bcf,2006,2281.0
USA,USA,Billion Cubic Feet,Bcf,2005,2432.0
USA,USA,Billion Cubic Feet,Bcf,2004,2742.0
USA,USA,Billion Cubic Feet,Bcf,2003,2855.0
USA,USA,Billion Cubic Feet,Bcf,2002,2988.0
USA,USA,Billion Cubic Feet,Bcf,2001,3193.0
USA,USA,Billion Cubic Feet,Bcf,2000,3299.0
USA,USA,Billion Cubic Feet,Bcf,1999,3313.0
USA,USA,Billion Cubic Feet,Bcf,1998,3136.0
USA,USA,Billion Cubic Feet,Bcf,1997,3022.0
USA,USA,Billion Cubic Feet,Bcf,1996,2938.0
USA,USA,Billion Cubic Feet,Bcf,1995,2886.0
USA,USA,Billion Cubic Feet,Bcf,1994,2907.0
USA,USA,Billion Cubic Feet,Bcf,1993,2868.0
USA,USA,Billion Cubic Feet,Bcf,1992,3031.0
USA,USA,Billion Cubic Feet,Bcf,1991,2968.0
USA,USA,Billion Cubic Feet,Bcf,1990,2936.0
USA,USA,Billion Cubic Feet,Bcf,1989,3099.0
USA,USA,Billion Cubic Feet,Bcf,1988,3192.0
USA,USA,Billion Cubic Feet,Bcf,1987,3351.0
USA,USA,Billion Cubic Feet,Bcf,1986,3443.0
USA,USA,Billion Cubic Feet,Bcf,1985,3454.0
USA,USA,Billion Cubic Feet,Bcf,1984,3518.0
USA,USA,Billion Cubic Feet,Bcf,1983,3355.0
USA,USA,Billion Cubic Feet,Bcf,1982,3248.0
USA,USA,Billion Cubic Feet,Bcf,1981,3316.0
USA,USA,Billion Cubic Feet,Bcf,1980,3405.0
USA,USA,Billion Cubic Feet,Bcf,1979,3405.0
USA,USA,Billion Cubic Feet,Bcf,2019,782.0
USA,USA,Billion Cubic Feet,Bcf,2018,747.0
USA,USA,Billion Cubic Feet,Bcf,2017,752.0
USA,USA,Billion Cubic Feet,Bcf,2016,770.0
USA,USA,Billion Cubic Feet,Bcf,2015,737.0
USA,USA,Billion Cubic Feet,Bcf,2014,615.0
USA,USA,Billion Cubic Feet,Bcf,2013,562.0
USA,USA,Billion Cubic Feet,Bcf,2012,535.0
USA,USA,Billion Cubic Feet,Bcf,2011,514.0
USA,USA,Billion Cubic Feet,Bcf,2010,564.0
USA,USA,Billion Cubic Feet,Bcf,2009,659.0
USA,USA,Billion Cubic Feet,Bcf,2008,563.0
USA,USA,Billion Cubic Feet,Bcf,2007,625.0
USA,USA,Billion Cubic Feet,Bcf,2006,635.0
USA,USA,Billion Cubic Feet,Bcf,2005,654.0
USA,USA,Billion Cubic Feet,Bcf,2004,881.0
USA,USA,Billion Cubic Feet,Bcf,2003,942.0
USA,USA,Billion Cubic Feet,Bcf,2002,1027.0
USA,USA,Billion Cubic Feet,Bcf,2001,1158.0
USA,USA,Billion Cubic Feet,Bcf,2000,1066.0
USA,USA,Billion Cubic Feet,Bcf,1999,1150.0
USA,USA,Billion Cubic Feet,Bcf,1998,899.0
USA,USA,Billion Cubic Feet,Bcf,1997,875.0
USA,USA,Billion Cubic Feet,Bcf,1996,754.0
USA,USA,Billion Cubic Feet,Bcf,1995,709.0
USA,USA,Billion Cubic Feet,Bcf,1994,677.0
USA,USA,Billion Cubic Feet,Bcf,1993,632.0
USA,USA,Billion Cubic Feet,Bcf,1992,558.0
USA,USA,Billion Cubic Feet,Bcf,1991,582.0
USA,USA,Billion Cubic Feet,Bcf,1990,595.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,22.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,36.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,39.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,33.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,46.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,45.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,43.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,40.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,41.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,37.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,36.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,42.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,40.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,38.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,34.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,34.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,25.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,24.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,24.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,13.0
