iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,23.0
USA,USA,Billion Cubic Feet,Bcf,2014,327.0
USA,USA,Billion Cubic Feet,Bcf,2013,63.0
USA,USA,Billion Cubic Feet,Bcf,2012,151.0
USA,USA,Billion Cubic Feet,Bcf,2011,611.0
USA,USA,Billion Cubic Feet,Bcf,2010,102.0
USA,USA,Billion Cubic Feet,Bcf,2009,263.0
USA,USA,Billion Cubic Feet,Bcf,2008,107.0
USA,USA,Billion Cubic Feet,Bcf,2007,46.0
USA,USA,Billion Cubic Feet,Bcf,2006,40.0
USA,USA,Billion Cubic Feet,Bcf,2005,119.0
USA,USA,Billion Cubic Feet,Bcf,2004,34.0
USA,USA,Billion Cubic Feet,Bcf,2003,447.0
USA,USA,Billion Cubic Feet,Bcf,2002,229.0
USA,USA,Billion Cubic Feet,Bcf,2001,1287.0
USA,USA,Billion Cubic Feet,Bcf,2000,387.0
USA,USA,Billion Cubic Feet,Bcf,1999,394.0
USA,USA,Billion Cubic Feet,Bcf,1998,107.0
USA,USA,Billion Cubic Feet,Bcf,1997,1360.0
USA,USA,Billion Cubic Feet,Bcf,1996,222.0
USA,USA,Billion Cubic Feet,Bcf,1995,248.0
USA,USA,Billion Cubic Feet,Bcf,1994,530.0
USA,USA,Billion Cubic Feet,Bcf,1993,245.0
USA,USA,Billion Cubic Feet,Bcf,1992,13.0
USA,USA,Billion Cubic Feet,Bcf,1991,69.0
USA,USA,Billion Cubic Feet,Bcf,1990,141.0
USA,USA,Billion Cubic Feet,Bcf,1989,208.0
USA,USA,Billion Cubic Feet,Bcf,1988,67.0
USA,USA,Billion Cubic Feet,Bcf,1987,110.0
USA,USA,Billion Cubic Feet,Bcf,1986,88.0
USA,USA,Billion Cubic Feet,Bcf,1985,143.0
USA,USA,Billion Cubic Feet,Bcf,1984,156.0
USA,USA,Billion Cubic Feet,Bcf,1983,220.0
USA,USA,Billion Cubic Feet,Bcf,1982,161.0
USA,USA,Billion Cubic Feet,Bcf,1981,335.0
USA,USA,Billion Cubic Feet,Bcf,1980,365.0
USA,USA,Billion Cubic Feet,Bcf,1979,193.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,23.0
USA,USA,Billion Cubic Feet,Bcf,2014,303.0
USA,USA,Billion Cubic Feet,Bcf,2013,54.0
USA,USA,Billion Cubic Feet,Bcf,2012,65.0
USA,USA,Billion Cubic Feet,Bcf,2011,524.0
USA,USA,Billion Cubic Feet,Bcf,2010,6.0
USA,USA,Billion Cubic Feet,Bcf,2009,214.0
USA,USA,Billion Cubic Feet,Bcf,2008,93.0
USA,USA,Billion Cubic Feet,Bcf,2007,43.0
USA,USA,Billion Cubic Feet,Bcf,2006,27.0
USA,USA,Billion Cubic Feet,Bcf,2005,108.0
USA,USA,Billion Cubic Feet,Bcf,2004,17.0
USA,USA,Billion Cubic Feet,Bcf,2003,446.0
USA,USA,Billion Cubic Feet,Bcf,2002,212.0
USA,USA,Billion Cubic Feet,Bcf,2001,1259.0
USA,USA,Billion Cubic Feet,Bcf,2000,360.0
USA,USA,Billion Cubic Feet,Bcf,1999,374.0
USA,USA,Billion Cubic Feet,Bcf,1998,75.0
USA,USA,Billion Cubic Feet,Bcf,1997,1349.0
USA,USA,Billion Cubic Feet,Bcf,1996,140.0
USA,USA,Billion Cubic Feet,Bcf,1995,223.0
USA,USA,Billion Cubic Feet,Bcf,1994,519.0
USA,USA,Billion Cubic Feet,Bcf,1993,238.0
USA,USA,Billion Cubic Feet,Bcf,1992,1.0
USA,USA,Billion Cubic Feet,Bcf,1991,51.0
USA,USA,Billion Cubic Feet,Bcf,1990,96.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,29.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
