iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,53.0
USA,USA,Billion Cubic Feet,Bcf,2014,584.0
USA,USA,Billion Cubic Feet,Bcf,2013,581.0
USA,USA,Billion Cubic Feet,Bcf,2012,229.0
USA,USA,Billion Cubic Feet,Bcf,2011,160.0
USA,USA,Billion Cubic Feet,Bcf,2010,186.0
USA,USA,Billion Cubic Feet,Bcf,2009,169.0
USA,USA,Billion Cubic Feet,Bcf,2008,820.0
USA,USA,Billion Cubic Feet,Bcf,2007,73.0
USA,USA,Billion Cubic Feet,Bcf,2006,65.0
USA,USA,Billion Cubic Feet,Bcf,2005,79.0
USA,USA,Billion Cubic Feet,Bcf,2004,97.0
USA,USA,Billion Cubic Feet,Bcf,2003,124.0
USA,USA,Billion Cubic Feet,Bcf,2002,331.0
USA,USA,Billion Cubic Feet,Bcf,2001,477.0
USA,USA,Billion Cubic Feet,Bcf,2000,249.0
USA,USA,Billion Cubic Feet,Bcf,1999,424.0
USA,USA,Billion Cubic Feet,Bcf,1998,218.0
USA,USA,Billion Cubic Feet,Bcf,1997,187.0
USA,USA,Billion Cubic Feet,Bcf,1996,338.0
USA,USA,Billion Cubic Feet,Bcf,1995,634.0
USA,USA,Billion Cubic Feet,Bcf,1994,202.0
USA,USA,Billion Cubic Feet,Bcf,1993,163.0
USA,USA,Billion Cubic Feet,Bcf,1992,292.0
USA,USA,Billion Cubic Feet,Bcf,1991,334.0
USA,USA,Billion Cubic Feet,Bcf,1990,250.0
USA,USA,Billion Cubic Feet,Bcf,1989,174.0
USA,USA,Billion Cubic Feet,Bcf,1988,339.0
USA,USA,Billion Cubic Feet,Bcf,1987,155.0
USA,USA,Billion Cubic Feet,Bcf,1986,189.0
USA,USA,Billion Cubic Feet,Bcf,1985,341.0
USA,USA,Billion Cubic Feet,Bcf,1984,296.0
USA,USA,Billion Cubic Feet,Bcf,1983,326.0
USA,USA,Billion Cubic Feet,Bcf,1982,365.0
USA,USA,Billion Cubic Feet,Bcf,1981,271.0
USA,USA,Billion Cubic Feet,Bcf,1980,369.0
USA,USA,Billion Cubic Feet,Bcf,1979,264.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,24.0
USA,USA,Billion Cubic Feet,Bcf,2014,7.0
USA,USA,Billion Cubic Feet,Bcf,2013,12.0
USA,USA,Billion Cubic Feet,Bcf,2012,80.0
USA,USA,Billion Cubic Feet,Bcf,2011,42.0
USA,USA,Billion Cubic Feet,Bcf,2010,150.0
USA,USA,Billion Cubic Feet,Bcf,2009,122.0
USA,USA,Billion Cubic Feet,Bcf,2008,297.0
USA,USA,Billion Cubic Feet,Bcf,2007,54.0
USA,USA,Billion Cubic Feet,Bcf,2006,32.0
USA,USA,Billion Cubic Feet,Bcf,2005,61.0
USA,USA,Billion Cubic Feet,Bcf,2004,74.0
USA,USA,Billion Cubic Feet,Bcf,2003,110.0
USA,USA,Billion Cubic Feet,Bcf,2002,283.0
USA,USA,Billion Cubic Feet,Bcf,2001,414.0
USA,USA,Billion Cubic Feet,Bcf,2000,184.0
USA,USA,Billion Cubic Feet,Bcf,1999,265.0
USA,USA,Billion Cubic Feet,Bcf,1998,131.0
USA,USA,Billion Cubic Feet,Bcf,1997,132.0
USA,USA,Billion Cubic Feet,Bcf,1996,280.0
USA,USA,Billion Cubic Feet,Bcf,1995,562.0
USA,USA,Billion Cubic Feet,Bcf,1994,129.0
USA,USA,Billion Cubic Feet,Bcf,1993,87.0
USA,USA,Billion Cubic Feet,Bcf,1992,210.0
USA,USA,Billion Cubic Feet,Bcf,1991,157.0
USA,USA,Billion Cubic Feet,Bcf,1990,151.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
