iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,121856.0
USA,USA,Billion Cubic Feet,Bcf,2018,119646.0
USA,USA,Billion Cubic Feet,Bcf,2017,99446.0
USA,USA,Billion Cubic Feet,Bcf,2016,72220.0
USA,USA,Billion Cubic Feet,Bcf,2015,65496.0
USA,USA,Billion Cubic Feet,Bcf,2014,69117.0
USA,USA,Billion Cubic Feet,Bcf,2013,58490.0
USA,USA,Billion Cubic Feet,Bcf,2012,53156.0
USA,USA,Billion Cubic Feet,Bcf,2011,42823.0
USA,USA,Billion Cubic Feet,Bcf,2010,35746.0
USA,USA,Billion Cubic Feet,Bcf,2009,33383.0
USA,USA,Billion Cubic Feet,Bcf,2008,29023.0
USA,USA,Billion Cubic Feet,Bcf,2007,32668.0
USA,USA,Billion Cubic Feet,Bcf,2006,29640.0
USA,USA,Billion Cubic Feet,Bcf,2005,28236.0
USA,USA,Billion Cubic Feet,Bcf,2004,27649.0
USA,USA,Billion Cubic Feet,Bcf,2003,28552.0
USA,USA,Billion Cubic Feet,Bcf,2002,29541.0
USA,USA,Billion Cubic Feet,Bcf,2001,29824.0
USA,USA,Billion Cubic Feet,Bcf,2000,29833.0
USA,USA,Billion Cubic Feet,Bcf,1999,31415.0
USA,USA,Billion Cubic Feet,Bcf,1998,30660.0
USA,USA,Billion Cubic Feet,Bcf,1997,32382.0
USA,USA,Billion Cubic Feet,Bcf,1996,30795.0
USA,USA,Billion Cubic Feet,Bcf,1995,30797.0
USA,USA,Billion Cubic Feet,Bcf,1994,30400.0
USA,USA,Billion Cubic Feet,Bcf,1993,30045.0
USA,USA,Billion Cubic Feet,Bcf,1992,31424.0
USA,USA,Billion Cubic Feet,Bcf,1991,31817.0
USA,USA,Billion Cubic Feet,Bcf,1990,33169.0
USA,USA,Billion Cubic Feet,Bcf,1989,32809.0
USA,USA,Billion Cubic Feet,Bcf,1988,32878.0
USA,USA,Billion Cubic Feet,Bcf,1987,58189.0
USA,USA,Billion Cubic Feet,Bcf,1986,59577.0
USA,USA,Billion Cubic Feet,Bcf,1985,60607.0
USA,USA,Billion Cubic Feet,Bcf,1984,60638.0
USA,USA,Billion Cubic Feet,Bcf,1983,61694.0
USA,USA,Billion Cubic Feet,Bcf,1982,62082.0
USA,USA,Billion Cubic Feet,Bcf,1981,61546.0
USA,USA,Billion Cubic Feet,Bcf,1980,62010.0
USA,USA,Billion Cubic Feet,Bcf,1979,59425.0
USA,USA,Billion Cubic Feet,Bcf,2019,4111.0
USA,USA,Billion Cubic Feet,Bcf,2018,4673.0
USA,USA,Billion Cubic Feet,Bcf,2017,3980.0
USA,USA,Billion Cubic Feet,Bcf,2016,3864.0
USA,USA,Billion Cubic Feet,Bcf,2015,4601.0
USA,USA,Billion Cubic Feet,Bcf,2014,5334.0
USA,USA,Billion Cubic Feet,Bcf,2013,5530.0
USA,USA,Billion Cubic Feet,Bcf,2012,5864.0
USA,USA,Billion Cubic Feet,Bcf,2011,5446.0
USA,USA,Billion Cubic Feet,Bcf,2010,5204.0
USA,USA,Billion Cubic Feet,Bcf,2009,5223.0
USA,USA,Billion Cubic Feet,Bcf,2008,5106.0
USA,USA,Billion Cubic Feet,Bcf,2007,4780.0
USA,USA,Billion Cubic Feet,Bcf,2006,4835.0
USA,USA,Billion Cubic Feet,Bcf,2005,5904.0
USA,USA,Billion Cubic Feet,Bcf,2004,6361.0
USA,USA,Billion Cubic Feet,Bcf,2003,7417.0
USA,USA,Billion Cubic Feet,Bcf,2002,8090.0
USA,USA,Billion Cubic Feet,Bcf,2001,8649.0
USA,USA,Billion Cubic Feet,Bcf,2000,7010.0
USA,USA,Billion Cubic Feet,Bcf,1999,7093.0
USA,USA,Billion Cubic Feet,Bcf,1998,7495.0
USA,USA,Billion Cubic Feet,Bcf,1997,7913.0
USA,USA,Billion Cubic Feet,Bcf,1996,7437.0
USA,USA,Billion Cubic Feet,Bcf,1995,7471.0
USA,USA,Billion Cubic Feet,Bcf,1994,6738.0
USA,USA,Billion Cubic Feet,Bcf,1993,6120.0
USA,USA,Billion Cubic Feet,Bcf,1992,6315.0
USA,USA,Billion Cubic Feet,Bcf,1991,6487.0
USA,USA,Billion Cubic Feet,Bcf,1990,6773.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,188.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,230.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,241.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,243.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,264.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,652.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,711.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,722.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,731.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,702.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,752.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,756.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,776.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,412.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,456.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,459.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,490.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,500.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,488.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,437.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,498.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,1151.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,1195.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,1077.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,976.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,987.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,995.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,1229.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,1252.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,1312.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,1249.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,1110.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,307.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,249.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,157.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,206.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,197.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,202.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,237.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,269.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,282.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,303.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,172.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,178.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,168.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,150.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,211.0
