iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,18643.0
USA,USA,Billion Cubic Feet,Bcf,2018,12235.0
USA,USA,Billion Cubic Feet,Bcf,2017,6952.0
USA,USA,Billion Cubic Feet,Bcf,2016,12137.0
USA,USA,Billion Cubic Feet,Bcf,2015,18485.0
USA,USA,Billion Cubic Feet,Bcf,2014,10160.0
USA,USA,Billion Cubic Feet,Bcf,2013,9821.0
USA,USA,Billion Cubic Feet,Bcf,2012,6250.0
USA,USA,Billion Cubic Feet,Bcf,2011,5953.0
USA,USA,Billion Cubic Feet,Bcf,2010,3964.0
USA,USA,Billion Cubic Feet,Bcf,2009,2698.0
USA,USA,Billion Cubic Feet,Bcf,2008,7385.0
USA,USA,Billion Cubic Feet,Bcf,2007,1804.0
USA,USA,Billion Cubic Feet,Bcf,2006,2782.0
USA,USA,Billion Cubic Feet,Bcf,2005,2034.0
USA,USA,Billion Cubic Feet,Bcf,2004,3170.0
USA,USA,Billion Cubic Feet,Bcf,2003,2790.0
USA,USA,Billion Cubic Feet,Bcf,2002,2637.0
USA,USA,Billion Cubic Feet,Bcf,2001,3232.0
USA,USA,Billion Cubic Feet,Bcf,2000,4546.0
USA,USA,Billion Cubic Feet,Bcf,1999,8705.0
USA,USA,Billion Cubic Feet,Bcf,1998,3937.0
USA,USA,Billion Cubic Feet,Bcf,1997,3241.0
USA,USA,Billion Cubic Feet,Bcf,1996,2013.0
USA,USA,Billion Cubic Feet,Bcf,1995,2328.0
USA,USA,Billion Cubic Feet,Bcf,1994,3002.0
USA,USA,Billion Cubic Feet,Bcf,1993,2723.0
USA,USA,Billion Cubic Feet,Bcf,1992,1844.0
USA,USA,Billion Cubic Feet,Bcf,1991,3479.0
USA,USA,Billion Cubic Feet,Bcf,1990,2571.0
USA,USA,Billion Cubic Feet,Bcf,1989,3130.0
USA,USA,Billion Cubic Feet,Bcf,1988,27612.0
USA,USA,Billion Cubic Feet,Bcf,1987,2755.0
USA,USA,Billion Cubic Feet,Bcf,1986,2903.0
USA,USA,Billion Cubic Feet,Bcf,1985,3163.0
USA,USA,Billion Cubic Feet,Bcf,1984,2999.0
USA,USA,Billion Cubic Feet,Bcf,1983,3815.0
USA,USA,Billion Cubic Feet,Bcf,1982,4516.0
USA,USA,Billion Cubic Feet,Bcf,1981,2561.0
USA,USA,Billion Cubic Feet,Bcf,1980,2941.0
USA,USA,Billion Cubic Feet,Bcf,1979,4209.0
USA,USA,Billion Cubic Feet,Bcf,2019,194.0
USA,USA,Billion Cubic Feet,Bcf,2018,211.0
USA,USA,Billion Cubic Feet,Bcf,2017,652.0
USA,USA,Billion Cubic Feet,Bcf,2016,904.0
USA,USA,Billion Cubic Feet,Bcf,2015,1102.0
USA,USA,Billion Cubic Feet,Bcf,2014,1794.0
USA,USA,Billion Cubic Feet,Bcf,2013,830.0
USA,USA,Billion Cubic Feet,Bcf,2012,1242.0
USA,USA,Billion Cubic Feet,Bcf,2011,1393.0
USA,USA,Billion Cubic Feet,Bcf,2010,879.0
USA,USA,Billion Cubic Feet,Bcf,2009,517.0
USA,USA,Billion Cubic Feet,Bcf,2008,430.0
USA,USA,Billion Cubic Feet,Bcf,2007,351.0
