iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,13429.0
USA,USA,Billion Cubic Feet,Bcf,2018,13498.0
USA,USA,Billion Cubic Feet,Bcf,2017,18063.0
USA,USA,Billion Cubic Feet,Bcf,2016,15063.0
USA,USA,Billion Cubic Feet,Bcf,2015,9965.0
USA,USA,Billion Cubic Feet,Bcf,2014,13264.0
USA,USA,Billion Cubic Feet,Bcf,2013,8534.0
USA,USA,Billion Cubic Feet,Bcf,2012,8162.0
USA,USA,Billion Cubic Feet,Bcf,2011,8088.0
USA,USA,Billion Cubic Feet,Bcf,2010,4983.0
USA,USA,Billion Cubic Feet,Bcf,2009,5522.0
USA,USA,Billion Cubic Feet,Bcf,2008,2943.0
USA,USA,Billion Cubic Feet,Bcf,2007,5400.0
USA,USA,Billion Cubic Feet,Bcf,2006,5372.0
USA,USA,Billion Cubic Feet,Bcf,2005,3281.0
USA,USA,Billion Cubic Feet,Bcf,2004,4009.0
USA,USA,Billion Cubic Feet,Bcf,2003,3044.0
USA,USA,Billion Cubic Feet,Bcf,2002,3587.0
USA,USA,Billion Cubic Feet,Bcf,2001,3259.0
USA,USA,Billion Cubic Feet,Bcf,2000,3884.0
USA,USA,Billion Cubic Feet,Bcf,1999,11226.0
USA,USA,Billion Cubic Feet,Bcf,1998,5005.0
USA,USA,Billion Cubic Feet,Bcf,1997,4925.0
USA,USA,Billion Cubic Feet,Bcf,1996,3234.0
USA,USA,Billion Cubic Feet,Bcf,1995,3527.0
USA,USA,Billion Cubic Feet,Bcf,1994,4519.0
USA,USA,Billion Cubic Feet,Bcf,1993,3239.0
USA,USA,Billion Cubic Feet,Bcf,1992,2850.0
USA,USA,Billion Cubic Feet,Bcf,1991,3698.0
USA,USA,Billion Cubic Feet,Bcf,1990,4804.0
USA,USA,Billion Cubic Feet,Bcf,1989,4603.0
USA,USA,Billion Cubic Feet,Bcf,1988,4152.0
USA,USA,Billion Cubic Feet,Bcf,1987,3734.0
USA,USA,Billion Cubic Feet,Bcf,1986,3856.0
USA,USA,Billion Cubic Feet,Bcf,1985,4308.0
USA,USA,Billion Cubic Feet,Bcf,1984,4313.0
USA,USA,Billion Cubic Feet,Bcf,1983,3695.0
USA,USA,Billion Cubic Feet,Bcf,1982,5580.0
USA,USA,Billion Cubic Feet,Bcf,1981,4349.0
USA,USA,Billion Cubic Feet,Bcf,1980,5283.0
USA,USA,Billion Cubic Feet,Bcf,1979,4517.0
USA,USA,Billion Cubic Feet,Bcf,2019,673.0
USA,USA,Billion Cubic Feet,Bcf,2018,895.0
USA,USA,Billion Cubic Feet,Bcf,2017,1166.0
USA,USA,Billion Cubic Feet,Bcf,2016,871.0
USA,USA,Billion Cubic Feet,Bcf,2015,965.0
USA,USA,Billion Cubic Feet,Bcf,2014,1701.0
USA,USA,Billion Cubic Feet,Bcf,2013,829.0
USA,USA,Billion Cubic Feet,Bcf,2012,1894.0
USA,USA,Billion Cubic Feet,Bcf,2011,1583.0
USA,USA,Billion Cubic Feet,Bcf,2010,1028.0
USA,USA,Billion Cubic Feet,Bcf,2009,854.0
USA,USA,Billion Cubic Feet,Bcf,2008,609.0
USA,USA,Billion Cubic Feet,Bcf,2007,622.0
USA,USA,Billion Cubic Feet,Bcf,2006,525.0
USA,USA,Billion Cubic Feet,Bcf,2005,834.0
USA,USA,Billion Cubic Feet,Bcf,2004,841.0
USA,USA,Billion Cubic Feet,Bcf,2003,744.0
USA,USA,Billion Cubic Feet,Bcf,2002,825.0
USA,USA,Billion Cubic Feet,Bcf,2001,1613.0
USA,USA,Billion Cubic Feet,Bcf,2000,962.0
USA,USA,Billion Cubic Feet,Bcf,1999,2354.0
USA,USA,Billion Cubic Feet,Bcf,1998,1227.0
USA,USA,Billion Cubic Feet,Bcf,1997,818.0
USA,USA,Billion Cubic Feet,Bcf,1996,644.0
USA,USA,Billion Cubic Feet,Bcf,1995,826.0
USA,USA,Billion Cubic Feet,Bcf,1994,1513.0
USA,USA,Billion Cubic Feet,Bcf,1993,1200.0
USA,USA,Billion Cubic Feet,Bcf,1992,603.0
USA,USA,Billion Cubic Feet,Bcf,1991,1104.0
USA,USA,Billion Cubic Feet,Bcf,1990,914.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,204.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,99.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,39.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,71.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,48.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,416.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,22.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,39.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,95.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,67.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,107.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,18.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,18.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,179.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,577.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,434.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,109.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,18.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,242.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,50.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,41.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,33.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,24.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,157.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,38.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,42.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,33.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,29.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,32.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,32.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,84.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,48.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,25.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,27.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,34.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,38.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,27.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,36.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,58.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,40.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,50.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,44.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,41.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,33.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,44.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,60.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,93.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,73.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,239.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,104.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,513.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,126.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,319.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1382.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,467.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,95.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,142.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,231.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,53.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,655.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,327.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,212.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,91.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,50.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,282.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,340.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,437.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,296.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,101.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,58.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,37.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,63.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,75.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,101.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,135.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,112.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,202.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,53.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,51.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,104.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,79.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,81.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,45.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,642.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,434.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,6.0
