iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,6595.0
USA,USA,Billion Cubic Feet,Bcf,2018,3383.0
USA,USA,Billion Cubic Feet,Bcf,2017,2297.0
USA,USA,Billion Cubic Feet,Bcf,2016,2548.0
USA,USA,Billion Cubic Feet,Bcf,2015,1277.0
USA,USA,Billion Cubic Feet,Bcf,2014,4058.0
USA,USA,Billion Cubic Feet,Bcf,2013,1733.0
USA,USA,Billion Cubic Feet,Bcf,2012,1131.0
USA,USA,Billion Cubic Feet,Bcf,2011,1338.0
USA,USA,Billion Cubic Feet,Bcf,2010,1146.0
USA,USA,Billion Cubic Feet,Bcf,2009,564.0
USA,USA,Billion Cubic Feet,Bcf,2008,662.0
USA,USA,Billion Cubic Feet,Bcf,2007,1115.0
USA,USA,Billion Cubic Feet,Bcf,2006,1726.0
USA,USA,Billion Cubic Feet,Bcf,2005,1655.0
USA,USA,Billion Cubic Feet,Bcf,2004,1004.0
USA,USA,Billion Cubic Feet,Bcf,2003,1040.0
USA,USA,Billion Cubic Feet,Bcf,2002,1064.0
USA,USA,Billion Cubic Feet,Bcf,2001,1145.0
USA,USA,Billion Cubic Feet,Bcf,2000,6921.0
USA,USA,Billion Cubic Feet,Bcf,2019,1056.0
USA,USA,Billion Cubic Feet,Bcf,2018,161.0
USA,USA,Billion Cubic Feet,Bcf,2017,134.0
USA,USA,Billion Cubic Feet,Bcf,2016,125.0
USA,USA,Billion Cubic Feet,Bcf,2015,63.0
USA,USA,Billion Cubic Feet,Bcf,2014,113.0
USA,USA,Billion Cubic Feet,Bcf,2013,322.0
USA,USA,Billion Cubic Feet,Bcf,2012,205.0
USA,USA,Billion Cubic Feet,Bcf,2011,66.0
USA,USA,Billion Cubic Feet,Bcf,2010,83.0
USA,USA,Billion Cubic Feet,Bcf,2009,20.0
USA,USA,Billion Cubic Feet,Bcf,2008,48.0
USA,USA,Billion Cubic Feet,Bcf,2007,161.0
USA,USA,Billion Cubic Feet,Bcf,2006,455.0
USA,USA,Billion Cubic Feet,Bcf,2005,98.0
USA,USA,Billion Cubic Feet,Bcf,2004,387.0
USA,USA,Billion Cubic Feet,Bcf,2003,354.0
USA,USA,Billion Cubic Feet,Bcf,2002,54.0
USA,USA,Billion Cubic Feet,Bcf,2001,285.0
USA,USA,Billion Cubic Feet,Bcf,2000,736.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,99.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,56.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,70.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1004.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,38.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,26.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,20.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,49.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,37.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,37.0
