iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,2906.0
USA,USA,Million Barrels,MMbbl,2018,2040.0
USA,USA,Million Barrels,MMbbl,2017,2385.0
USA,USA,Million Barrels,MMbbl,2016,1518.0
USA,USA,Million Barrels,MMbbl,2015,989.0
USA,USA,Million Barrels,MMbbl,2014,2828.0
USA,USA,Million Barrels,MMbbl,2013,1925.0
USA,USA,Million Barrels,MMbbl,2012,1234.0
USA,USA,Million Barrels,MMbbl,2011,1561.0
USA,USA,Million Barrels,MMbbl,2010,1470.0
USA,USA,Million Barrels,MMbbl,2009,344.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,38.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,46.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,39.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,154.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,14.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,63.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,426.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,206.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,16.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,26.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,27.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,75.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,44.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
