iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,-630.0
USA,USA,Million Barrels,MMbbl,2018,764.0
USA,USA,Million Barrels,MMbbl,2017,752.0
USA,USA,Million Barrels,MMbbl,2016,206.0
USA,USA,Million Barrels,MMbbl,2015,1115.0
USA,USA,Million Barrels,MMbbl,2014,440.0
USA,USA,Million Barrels,MMbbl,2013,-595.0
USA,USA,Million Barrels,MMbbl,2012,137.0
USA,USA,Million Barrels,MMbbl,2011,207.0
USA,USA,Million Barrels,MMbbl,2010,188.0
USA,USA,Million Barrels,MMbbl,2009,46.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,-15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,-6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,26.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,-24.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,32.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,13.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,-50.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,-2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,-1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,-40.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,12.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,-19.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,-6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,-3.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,118.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,-58.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,108.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,-70.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,59.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,16.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,-39.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,14.0
