iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,4490.0
USA,USA,Million Barrels,MMbbl,2018,3984.0
USA,USA,Million Barrels,MMbbl,2017,3401.0
USA,USA,Million Barrels,MMbbl,2016,3223.0
USA,USA,Million Barrels,MMbbl,2015,3427.0
USA,USA,Million Barrels,MMbbl,2014,3200.0
USA,USA,Million Barrels,MMbbl,2013,2729.0
USA,USA,Million Barrels,MMbbl,2012,2386.0
USA,USA,Million Barrels,MMbbl,2011,2065.0
USA,USA,Million Barrels,MMbbl,2010,1991.0
USA,USA,Million Barrels,MMbbl,2009,1929.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,22.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,19.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,22.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,19.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,21.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,22.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,23.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,23.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,22.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,123.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,121.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,132.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,140.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,152.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,151.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,147.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,148.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,149.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,152.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,161.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,12.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,12.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,13.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,14.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,10.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,10.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,21.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,13.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,14.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,14.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,13.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,12.0
