iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,
USA,USA,Million Barrels,MMbbl,2018,
USA,USA,Million Barrels,MMbbl,2017,
USA,USA,Million Barrels,MMbbl,2016,
USA,USA,Million Barrels,MMbbl,2015,3186.0
USA,USA,Million Barrels,MMbbl,2014,5021.0
USA,USA,Million Barrels,MMbbl,2013,4973.0
USA,USA,Million Barrels,MMbbl,2012,5191.0
USA,USA,Million Barrels,MMbbl,2011,3107.0
USA,USA,Million Barrels,MMbbl,2010,1766.0
USA,USA,Million Barrels,MMbbl,2009,1305.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,18.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,13.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,22.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,8.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,12.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,17.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,12.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,
USA-LA,USA-LA,Million Barrels,MMbbl,2018,
USA-LA,USA-LA,Million Barrels,MMbbl,2017,
USA-LA,USA-LA,Million Barrels,MMbbl,2016,
