iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,
USA,USA,Million Barrels,MMbbl,2018,
USA,USA,Million Barrels,MMbbl,2017,
USA,USA,Million Barrels,MMbbl,2016,
USA,USA,Million Barrels,MMbbl,2015,41.0
USA,USA,Million Barrels,MMbbl,2014,219.0
USA,USA,Million Barrels,MMbbl,2013,343.0
USA,USA,Million Barrels,MMbbl,2012,129.0
USA,USA,Million Barrels,MMbbl,2011,88.0
USA,USA,Million Barrels,MMbbl,2010,169.0
USA,USA,Million Barrels,MMbbl,2009,95.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,10.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,10.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,
USA-LA,USA-LA,Million Barrels,MMbbl,2018,
USA-LA,USA-LA,Million Barrels,MMbbl,2017,
USA-LA,USA-LA,Million Barrels,MMbbl,2016,
