iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,47107.0
USA,USA,Million Barrels,MMbbl,2018,47053.0
USA,USA,Million Barrels,MMbbl,2017,41990.0
USA,USA,Million Barrels,MMbbl,2016,35213.0
USA,USA,Million Barrels,MMbbl,2015,35230.0
USA,USA,Million Barrels,MMbbl,2014,39933.0
USA,USA,Million Barrels,MMbbl,2013,36520.0
USA,USA,Million Barrels,MMbbl,2012,33403.0
USA,USA,Million Barrels,MMbbl,2011,28950.0
USA,USA,Million Barrels,MMbbl,2010,25181.0
USA,USA,Million Barrels,MMbbl,2009,22315.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,165.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,252.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,81.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,50.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,253.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,318.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,326.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,326.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,352.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,363.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,350.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,422.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,469.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,433.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,412.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,485.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,587.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,599.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,620.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,564.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,478.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,341.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,1450.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,1468.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,1475.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,1263.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,1544.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,1838.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,1813.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,1893.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,1950.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,2037.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,2095.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,163.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,170.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,154.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,95.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,152.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,233.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,255.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,265.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,295.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,257.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,235.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,178.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,189.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,147.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,163.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,154.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,216.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,211.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,198.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,200.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,167.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,164.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,92.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,113.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,130.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,103.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,135.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,166.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,159.0
