iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,6334.0
USA,USA,Million Barrels,MMbbl,2018,4278.0
USA,USA,Million Barrels,MMbbl,2017,3279.0
USA,USA,Million Barrels,MMbbl,2016,6119.0
USA,USA,Million Barrels,MMbbl,2015,10345.0
USA,USA,Million Barrels,MMbbl,2014,5612.0
USA,USA,Million Barrels,MMbbl,2013,4241.0
USA,USA,Million Barrels,MMbbl,2012,3997.0
USA,USA,Million Barrels,MMbbl,2011,3682.0
USA,USA,Million Barrels,MMbbl,2010,1957.0
USA,USA,Million Barrels,MMbbl,2009,1262.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,69.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,182.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,95.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,7.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,28.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,17.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,39.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,36.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,80.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,87.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,25.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,19.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,16.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,10.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,39.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,309.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,113.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,74.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,98.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,357.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,188.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,79.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,318.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,217.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,125.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,68.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,14.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,3.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,40.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,74.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,27.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,36.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,2.0
