iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,3955.0
USA,USA,Million Barrels,MMbbl,2018,4691.0
USA,USA,Million Barrels,MMbbl,2017,5991.0
USA,USA,Million Barrels,MMbbl,2016,5651.0
USA,USA,Million Barrels,MMbbl,2015,4737.0
USA,USA,Million Barrels,MMbbl,2014,6028.0
USA,USA,Million Barrels,MMbbl,2013,4786.0
USA,USA,Million Barrels,MMbbl,2012,4909.0
USA,USA,Million Barrels,MMbbl,2011,5096.0
USA,USA,Million Barrels,MMbbl,2010,3900.0
USA,USA,Million Barrels,MMbbl,2009,3270.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,186.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,8.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,9.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,19.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,35.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,6.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,25.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,38.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,33.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,47.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,59.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,60.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,16.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,17.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,37.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,26.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,90.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,118.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,40.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,105.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,260.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,244.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,181.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,119.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,137.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,328.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,172.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,382.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,229.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,204.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,192.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,32.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,31.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,14.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,23.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,23.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,22.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,98.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,44.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,47.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,26.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,40.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,26.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,15.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,24.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,10.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,32.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,5.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,10.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,21.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,21.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,13.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,22.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,19.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,16.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,69.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,15.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,4.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,15.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,12.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,14.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,13.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,19.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,14.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,13.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,9.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,9.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,28.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,41.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,44.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,43.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,44.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,56.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,60.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,70.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,57.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,76.0
USA-NM,USA-NM,Million Barrels,MMbbl,2019,223.0
USA-NM,USA-NM,Million Barrels,MMbbl,2018,216.0
USA-NM,USA-NM,Million Barrels,MMbbl,2017,172.0
USA-NM,USA-NM,Million Barrels,MMbbl,2016,383.0
USA-NM,USA-NM,Million Barrels,MMbbl,2015,172.0
USA-NM,USA-NM,Million Barrels,MMbbl,2014,284.0
USA-NM,USA-NM,Million Barrels,MMbbl,2013,182.0
USA-NM,USA-NM,Million Barrels,MMbbl,2012,193.0
USA-NM,USA-NM,Million Barrels,MMbbl,2011,97.0
USA-NM,USA-NM,Million Barrels,MMbbl,2010,85.0
USA-NM,USA-NM,Million Barrels,MMbbl,2009,95.0
USA-NM,USA-NM,Million Barrels,MMbbl,2019,5.0
USA-NM,USA-NM,Million Barrels,MMbbl,2018,3.0
USA-NM,USA-NM,Million Barrels,MMbbl,2017,7.0
USA-NM,USA-NM,Million Barrels,MMbbl,2016,20.0
USA-NM,USA-NM,Million Barrels,MMbbl,2015,27.0
USA-NM,USA-NM,Million Barrels,MMbbl,2014,10.0
USA-NM,USA-NM,Million Barrels,MMbbl,2013,29.0
USA-NM,USA-NM,Million Barrels,MMbbl,2012,7.0
USA-NM,USA-NM,Million Barrels,MMbbl,2011,14.0
USA-NM,USA-NM,Million Barrels,MMbbl,2010,5.0
USA-NM,USA-NM,Million Barrels,MMbbl,2009,7.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,278.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,73.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,99.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,427.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,186.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,330.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,288.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,302.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,95.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,16.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,19.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,67.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,70.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,104.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,264.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,272.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,178.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,327.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,148.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,44.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,14.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,8.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,50.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,101.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,260.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,83.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,65.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,81.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,80.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,165.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,47.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,53.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,46.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,6.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,30.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,61.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,70.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,13.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,27.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,32.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,22.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,54.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,109.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,20.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,21.0
