iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,2022.0
USA,USA,Million Barrels,MMbbl,2018,1364.0
USA,USA,Million Barrels,MMbbl,2017,1350.0
USA,USA,Million Barrels,MMbbl,2016,1254.0
USA,USA,Million Barrels,MMbbl,2015,1019.0
USA,USA,Million Barrels,MMbbl,2014,2475.0
USA,USA,Million Barrels,MMbbl,2013,1536.0
USA,USA,Million Barrels,MMbbl,2012,819.0
USA,USA,Million Barrels,MMbbl,2011,1024.0
USA,USA,Million Barrels,MMbbl,2010,803.0
USA,USA,Million Barrels,MMbbl,2009,249.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,11.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,53.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,39.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,20.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,16.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,112.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,4.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,419.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,208.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,3.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,17.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,31.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,21.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,75.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,44.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,5.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,4.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,30.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,2.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,10.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,28.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,5.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,2.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,5.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,8.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,11.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,14.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,13.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,9.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,31.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,10.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,34.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,7.0
USA-NM,USA-NM,Million Barrels,MMbbl,2019,70.0
USA-NM,USA-NM,Million Barrels,MMbbl,2018,13.0
USA-NM,USA-NM,Million Barrels,MMbbl,2017,34.0
USA-NM,USA-NM,Million Barrels,MMbbl,2016,11.0
USA-NM,USA-NM,Million Barrels,MMbbl,2015,46.0
USA-NM,USA-NM,Million Barrels,MMbbl,2014,5.0
USA-NM,USA-NM,Million Barrels,MMbbl,2013,10.0
USA-NM,USA-NM,Million Barrels,MMbbl,2012,45.0
USA-NM,USA-NM,Million Barrels,MMbbl,2011,57.0
USA-NM,USA-NM,Million Barrels,MMbbl,2010,22.0
USA-NM,USA-NM,Million Barrels,MMbbl,2009,15.0
USA-NM,USA-NM,Million Barrels,MMbbl,2019,1.0
USA-NM,USA-NM,Million Barrels,MMbbl,2018,53.0
USA-NM,USA-NM,Million Barrels,MMbbl,2017,12.0
USA-NM,USA-NM,Million Barrels,MMbbl,2016,4.0
USA-NM,USA-NM,Million Barrels,MMbbl,2015,0.0
USA-NM,USA-NM,Million Barrels,MMbbl,2014,0.0
USA-NM,USA-NM,Million Barrels,MMbbl,2013,2.0
USA-NM,USA-NM,Million Barrels,MMbbl,2012,0.0
USA-NM,USA-NM,Million Barrels,MMbbl,2011,2.0
USA-NM,USA-NM,Million Barrels,MMbbl,2010,0.0
USA-NM,USA-NM,Million Barrels,MMbbl,2009,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,7.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,129.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,158.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,41.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,76.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,56.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,90.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,7.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,33.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,4.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,94.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,61.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,9.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,129.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,2.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,387.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,50.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,9.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,377.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,12.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,75.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,15.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,9.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,11.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,22.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,27.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,40.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,42.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,12.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,13.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,46.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,5.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,10.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,21.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,14.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,2.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,5.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,8.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,5.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,19.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,6.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,16.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,14.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,94.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,13.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,18.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,28.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,5.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,6.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,5.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,14.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,2.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,30.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,38.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,22.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,49.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,2.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,14.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,9.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,13.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,56.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,56.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,7.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,21.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,23.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,102.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,6.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,5.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,36.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,57.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,60.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,70.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,23.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,8.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,419.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,422.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,347.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,256.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,99.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,232.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,321.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,78.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,125.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,116.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,63.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,3.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,2.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,2.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,9.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,13.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,11.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,4.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,12.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,23.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,10.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,26.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,21.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,34.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,59.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,30.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,1.0
USA-TX,USA-TX,Million Barrels,MMbbl,2019,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2018,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2017,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2016,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2015,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2014,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2013,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2012,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2011,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2010,0.0
USA-TX,USA-TX,Million Barrels,MMbbl,2009,0.0
USA,USA,Million Barrels,MMbbl,2019,555.0
USA,USA,Million Barrels,MMbbl,2018,135.0
USA,USA,Million Barrels,MMbbl,2017,31.0
USA,USA,Million Barrels,MMbbl,2016,104.0
USA,USA,Million Barrels,MMbbl,2015,55.0
USA,USA,Million Barrels,MMbbl,2014,72.0
USA,USA,Million Barrels,MMbbl,2013,305.0
USA,USA,Million Barrels,MMbbl,2012,193.0
USA,USA,Million Barrels,MMbbl,2011,42.0
USA,USA,Million Barrels,MMbbl,2010,56.0
USA,USA,Million Barrels,MMbbl,2009,20.0
