iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,32894.0
USA,USA,Billion Cubic Feet,Bcf,2018,36719.0
USA,USA,Billion Cubic Feet,Bcf,2017,44738.0
USA,USA,Billion Cubic Feet,Bcf,2016,18797.0
USA,USA,Billion Cubic Feet,Bcf,2015,15231.0
USA,USA,Billion Cubic Feet,Bcf,2014,26675.0
USA,USA,Billion Cubic Feet,Bcf,2013,10810.0
USA,USA,Billion Cubic Feet,Bcf,2012,7518.0
USA,USA,Billion Cubic Feet,Bcf,2011,46241.0
USA,USA,Billion Cubic Feet,Bcf,2010,12748.0
USA,USA,Billion Cubic Feet,Bcf,2009,3968.0
USA,USA,Billion Cubic Feet,Bcf,2008,8498.0
USA,USA,Billion Cubic Feet,Bcf,2007,15148.0
USA,USA,Billion Cubic Feet,Bcf,2006,25846.0
USA,USA,Billion Cubic Feet,Bcf,2005,11674.0
USA,USA,Billion Cubic Feet,Bcf,2004,12950.0
USA,USA,Billion Cubic Feet,Bcf,2003,11208.0
USA,USA,Billion Cubic Feet,Bcf,2002,10546.0
USA,USA,Billion Cubic Feet,Bcf,2001,14010.0
USA,USA,Billion Cubic Feet,Bcf,2000,24409.0
USA,USA,Billion Cubic Feet,Bcf,2019,610.0
USA,USA,Billion Cubic Feet,Bcf,2018,228.0
USA,USA,Billion Cubic Feet,Bcf,2017,43.0
USA,USA,Billion Cubic Feet,Bcf,2016,117.0
USA,USA,Billion Cubic Feet,Bcf,2015,446.0
USA,USA,Billion Cubic Feet,Bcf,2014,431.0
USA,USA,Billion Cubic Feet,Bcf,2013,443.0
USA,USA,Billion Cubic Feet,Bcf,2012,787.0
USA,USA,Billion Cubic Feet,Bcf,2011,455.0
USA,USA,Billion Cubic Feet,Bcf,2010,1003.0
USA,USA,Billion Cubic Feet,Bcf,2009,181.0
USA,USA,Billion Cubic Feet,Bcf,2008,615.0
USA,USA,Billion Cubic Feet,Bcf,2007,1185.0
USA,USA,Billion Cubic Feet,Bcf,2006,2575.0
USA,USA,Billion Cubic Feet,Bcf,2005,749.0
USA,USA,Billion Cubic Feet,Bcf,2004,1482.0
USA,USA,Billion Cubic Feet,Bcf,2003,1873.0
USA,USA,Billion Cubic Feet,Bcf,2002,839.0
USA,USA,Billion Cubic Feet,Bcf,2001,1519.0
USA,USA,Billion Cubic Feet,Bcf,2000,3027.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,103.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
