iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,49583.0
USA,USA,Billion Cubic Feet,Bcf,2018,38843.0
USA,USA,Billion Cubic Feet,Bcf,2017,69071.0
USA,USA,Billion Cubic Feet,Bcf,2016,53512.0
USA,USA,Billion Cubic Feet,Bcf,2015,36917.0
USA,USA,Billion Cubic Feet,Bcf,2014,52163.0
USA,USA,Billion Cubic Feet,Bcf,2013,47174.0
USA,USA,Billion Cubic Feet,Bcf,2012,40583.0
USA,USA,Billion Cubic Feet,Bcf,2011,53601.0
USA,USA,Billion Cubic Feet,Bcf,2010,40521.0
USA,USA,Billion Cubic Feet,Bcf,2009,31416.0
USA,USA,Billion Cubic Feet,Bcf,2008,30674.0
USA,USA,Billion Cubic Feet,Bcf,2007,32174.0
USA,USA,Billion Cubic Feet,Bcf,2006,20833.0
USA,USA,Billion Cubic Feet,Bcf,2005,22353.0
USA,USA,Billion Cubic Feet,Bcf,2004,26893.0
USA,USA,Billion Cubic Feet,Bcf,2003,19912.0
USA,USA,Billion Cubic Feet,Bcf,2002,20255.0
USA,USA,Billion Cubic Feet,Bcf,2001,18358.0
USA,USA,Billion Cubic Feet,Bcf,2000,23188.0
USA,USA,Billion Cubic Feet,Bcf,1999,42167.0
USA,USA,Billion Cubic Feet,Bcf,1998,28003.0
USA,USA,Billion Cubic Feet,Bcf,1997,21658.0
USA,USA,Billion Cubic Feet,Bcf,1996,17132.0
USA,USA,Billion Cubic Feet,Bcf,1995,20465.0
USA,USA,Billion Cubic Feet,Bcf,1994,21365.0
USA,USA,Billion Cubic Feet,Bcf,1993,17597.0
USA,USA,Billion Cubic Feet,Bcf,1992,18055.0
USA,USA,Billion Cubic Feet,Bcf,1991,19890.0
USA,USA,Billion Cubic Feet,Bcf,1990,18981.0
USA,USA,Billion Cubic Feet,Bcf,1989,26673.0
USA,USA,Billion Cubic Feet,Bcf,1988,23367.0
USA,USA,Billion Cubic Feet,Bcf,1987,17527.0
USA,USA,Billion Cubic Feet,Bcf,1986,21269.0
USA,USA,Billion Cubic Feet,Bcf,1985,18775.0
USA,USA,Billion Cubic Feet,Bcf,1984,17841.0
USA,USA,Billion Cubic Feet,Bcf,1983,17602.0
USA,USA,Billion Cubic Feet,Bcf,1982,19795.0
