iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,
USA,USA,Million Barrels,MMbbl,2018,
USA,USA,Million Barrels,MMbbl,2017,
USA,USA,Million Barrels,MMbbl,2016,
USA,USA,Million Barrels,MMbbl,2015,375.0
USA,USA,Million Barrels,MMbbl,2014,591.0
USA,USA,Million Barrels,MMbbl,2013,578.0
USA,USA,Million Barrels,MMbbl,2012,729.0
USA,USA,Million Barrels,MMbbl,2011,536.0
USA,USA,Million Barrels,MMbbl,2010,271.0
USA,USA,Million Barrels,MMbbl,2009,150.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,
USA-CA,USA-CA,Million Barrels,MMbbl,2018,
USA-CA,USA-CA,Million Barrels,MMbbl,2017,
USA-CA,USA-CA,Million Barrels,MMbbl,2016,
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,
USA-LA,USA-LA,Million Barrels,MMbbl,2018,
USA-LA,USA-LA,Million Barrels,MMbbl,2017,
USA-LA,USA-LA,Million Barrels,MMbbl,2016,
