iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,2916.0
USA,USA,Million Barrels,MMbbl,2018,3229.0
USA,USA,Million Barrels,MMbbl,2017,2830.0
USA,USA,Million Barrels,MMbbl,2016,2440.0
USA,USA,Million Barrels,MMbbl,2015,2912.0
USA,USA,Million Barrels,MMbbl,2014,3548.0
USA,USA,Million Barrels,MMbbl,2013,3149.0
USA,USA,Million Barrels,MMbbl,2012,2874.0
USA,USA,Million Barrels,MMbbl,2011,2406.0
USA,USA,Million Barrels,MMbbl,2010,1914.0
USA,USA,Million Barrels,MMbbl,2009,1633.0
USA,USA,Million Barrels,MMbbl,2008,1433.0
USA,USA,Million Barrels,MMbbl,2007,1495.0
USA,USA,Million Barrels,MMbbl,2006,1339.0
USA,USA,Million Barrels,MMbbl,2005,1262.0
USA,USA,Million Barrels,MMbbl,2004,1221.0
USA,USA,Million Barrels,MMbbl,2003,1215.0
USA,USA,Million Barrels,MMbbl,2002,1346.0
USA,USA,Million Barrels,MMbbl,2001,1398.0
USA,USA,Million Barrels,MMbbl,2000,1472.0
USA,USA,Million Barrels,MMbbl,1999,1403.0
USA,USA,Million Barrels,MMbbl,1998,1336.0
USA,USA,Million Barrels,MMbbl,1997,1341.0
USA,USA,Million Barrels,MMbbl,1996,1307.0
USA,USA,Million Barrels,MMbbl,1995,1197.0
USA,USA,Million Barrels,MMbbl,1994,1147.0
USA,USA,Million Barrels,MMbbl,1993,1192.0
USA,USA,Million Barrels,MMbbl,1992,1226.0
USA,USA,Million Barrels,MMbbl,1991,1244.0
USA,USA,Million Barrels,MMbbl,1990,1302.0
USA,USA,Million Barrels,MMbbl,1989,1389.0
USA,USA,Million Barrels,MMbbl,1988,1389.0
USA,USA,Million Barrels,MMbbl,1987,1402.0
USA,USA,Million Barrels,MMbbl,1986,1436.0
USA,USA,Million Barrels,MMbbl,1985,1453.0
USA,USA,Million Barrels,MMbbl,1984,1522.0
USA,USA,Million Barrels,MMbbl,1983,1613.0
USA,USA,Million Barrels,MMbbl,1982,1601.0
USA,USA,Million Barrels,MMbbl,1981,1580.0
USA,USA,Million Barrels,MMbbl,1980,1530.0
USA,USA,Million Barrels,MMbbl,1979,1411.0
USA,USA,Million Barrels,MMbbl,2019,281.0
USA,USA,Million Barrels,MMbbl,2018,158.0
USA,USA,Million Barrels,MMbbl,2017,159.0
USA,USA,Million Barrels,MMbbl,2016,155.0
USA,USA,Million Barrels,MMbbl,2015,188.0
USA,USA,Million Barrels,MMbbl,2014,173.0
USA,USA,Million Barrels,MMbbl,2013,139.0
USA,USA,Million Barrels,MMbbl,2012,151.0
USA,USA,Million Barrels,MMbbl,2011,195.0
USA,USA,Million Barrels,MMbbl,2010,214.0
USA,USA,Million Barrels,MMbbl,2009,228.0
USA,USA,Million Barrels,MMbbl,2008,227.0
USA,USA,Million Barrels,MMbbl,2007,255.0
USA,USA,Million Barrels,MMbbl,2006,254.0
