iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,726.0
USA,USA,Million Barrels,MMbbl,2018,595.0
USA,USA,Million Barrels,MMbbl,2017,392.0
USA,USA,Million Barrels,MMbbl,2016,912.0
USA,USA,Million Barrels,MMbbl,2015,1253.0
USA,USA,Million Barrels,MMbbl,2014,618.0
USA,USA,Million Barrels,MMbbl,2013,729.0
USA,USA,Million Barrels,MMbbl,2012,613.0
USA,USA,Million Barrels,MMbbl,2011,452.0
USA,USA,Million Barrels,MMbbl,2010,387.0
USA,USA,Million Barrels,MMbbl,2009,248.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,1.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,2.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,11.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,8.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,11.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,7.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,4.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,4.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,2.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,5.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,0.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,4.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,2.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,2.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,2.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,1.0
USA-LA,USA-LA,Million Barrels,MMbbl,2019,6.0
USA-LA,USA-LA,Million Barrels,MMbbl,2018,3.0
USA-LA,USA-LA,Million Barrels,MMbbl,2017,8.0
USA-LA,USA-LA,Million Barrels,MMbbl,2016,16.0
USA-LA,USA-LA,Million Barrels,MMbbl,2015,12.0
USA-LA,USA-LA,Million Barrels,MMbbl,2014,20.0
USA-LA,USA-LA,Million Barrels,MMbbl,2013,10.0
USA-LA,USA-LA,Million Barrels,MMbbl,2012,14.0
USA-LA,USA-LA,Million Barrels,MMbbl,2011,11.0
USA-LA,USA-LA,Million Barrels,MMbbl,2010,28.0
USA-LA,USA-LA,Million Barrels,MMbbl,2009,18.0
USA-NM,USA-NM,Million Barrels,MMbbl,2019,66.0
USA-NM,USA-NM,Million Barrels,MMbbl,2018,34.0
USA-NM,USA-NM,Million Barrels,MMbbl,2017,31.0
USA-NM,USA-NM,Million Barrels,MMbbl,2016,32.0
USA-NM,USA-NM,Million Barrels,MMbbl,2015,16.0
USA-NM,USA-NM,Million Barrels,MMbbl,2014,41.0
USA-NM,USA-NM,Million Barrels,MMbbl,2013,32.0
USA-NM,USA-NM,Million Barrels,MMbbl,2012,22.0
USA-NM,USA-NM,Million Barrels,MMbbl,2011,19.0
USA-NM,USA-NM,Million Barrels,MMbbl,2010,9.0
USA-NM,USA-NM,Million Barrels,MMbbl,2009,8.0
USA-NM,USA-NM,Million Barrels,MMbbl,2019,0.0
USA-NM,USA-NM,Million Barrels,MMbbl,2018,0.0
USA-NM,USA-NM,Million Barrels,MMbbl,2017,18.0
USA-NM,USA-NM,Million Barrels,MMbbl,2016,15.0
USA-NM,USA-NM,Million Barrels,MMbbl,2015,9.0
