iso3166,geography,units,unitsshort,period,value
USA-UT,USA-UT,Million Barrels,MMbbl,2008,2
USA-UT,USA-UT,Million Barrels,MMbbl,2007,9
USA-WY,USA-WY,Million Barrels,MMbbl,2008,5
USA-WY,USA-WY,Million Barrels,MMbbl,2007,19
USA,USA,Million Barrels,MMbbl,2008,332
USA,USA,Million Barrels,MMbbl,2007,771
USA,USA,Million Barrels,MMbbl,2006,1048
USA,USA,Million Barrels,MMbbl,2005,596
USA,USA,Million Barrels,MMbbl,2004,554
USA,USA,Million Barrels,MMbbl,2003,433
USA,USA,Million Barrels,MMbbl,2002,512
USA,USA,Million Barrels,MMbbl,2001,550
USA,USA,Million Barrels,MMbbl,2000,1051
USA,USA,Million Barrels,MMbbl,2008,26
USA,USA,Million Barrels,MMbbl,2007,45
USA,USA,Million Barrels,MMbbl,2006,97
USA,USA,Million Barrels,MMbbl,2005,41
USA,USA,Million Barrels,MMbbl,2004,68
USA,USA,Million Barrels,MMbbl,2003,61
USA,USA,Million Barrels,MMbbl,2002,55
USA,USA,Million Barrels,MMbbl,2001,59
USA,USA,Million Barrels,MMbbl,2000,103
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,6
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,1
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,3
USA-CA,USA-CA,Million Barrels,MMbbl,2008,1
USA-CA,USA-CA,Million Barrels,MMbbl,2007,10
USA-CA,USA-CA,Million Barrels,MMbbl,2006,7
USA-CA,USA-CA,Million Barrels,MMbbl,2005,9
USA-CA,USA-CA,Million Barrels,MMbbl,2004,6
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,1
USA-CA,USA-CA,Million Barrels,MMbbl,2001,1
USA-CA,USA-CA,Million Barrels,MMbbl,2000,3
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,5
USA-CA,USA-CA,Million Barrels,MMbbl,2005,1
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-LA,USA-LA,Million Barrels,MMbbl,2008,13
USA-LA,USA-LA,Million Barrels,MMbbl,2007,15
USA-LA,USA-LA,Million Barrels,MMbbl,2006,4
USA-LA,USA-LA,Million Barrels,MMbbl,2005,2
USA-LA,USA-LA,Million Barrels,MMbbl,2004,6
USA-LA,USA-LA,Million Barrels,MMbbl,2003,3
USA-LA,USA-LA,Million Barrels,MMbbl,2002,3
USA-LA,USA-LA,Million Barrels,MMbbl,2001,6
USA-LA,USA-LA,Million Barrels,MMbbl,2000,3
USA-LA,USA-LA,Million Barrels,MMbbl,2008,0
USA-LA,USA-LA,Million Barrels,MMbbl,2007,4
USA-LA,USA-LA,Million Barrels,MMbbl,2006,1
USA-LA,USA-LA,Million Barrels,MMbbl,2005,3
USA-LA,USA-LA,Million Barrels,MMbbl,2004,6
USA-LA,USA-LA,Million Barrels,MMbbl,2003,8
USA-LA,USA-LA,Million Barrels,MMbbl,2002,2
USA-LA,USA-LA,Million Barrels,MMbbl,2001,14
USA-LA,USA-LA,Million Barrels,MMbbl,2000,7
USA-LA,USA-LA,Million Barrels,MMbbl,2008,6
USA-LA,USA-LA,Million Barrels,MMbbl,2007,16
USA-LA,USA-LA,Million Barrels,MMbbl,2006,25
USA-LA,USA-LA,Million Barrels,MMbbl,2005,10
USA-LA,USA-LA,Million Barrels,MMbbl,2004,11
USA-LA,USA-LA,Million Barrels,MMbbl,2003,8
USA-LA,USA-LA,Million Barrels,MMbbl,2002,18
USA-LA,USA-LA,Million Barrels,MMbbl,2001,42
USA-LA,USA-LA,Million Barrels,MMbbl,2000,21
USA-NM,USA-NM,Million Barrels,MMbbl,2008,48
USA-NM,USA-NM,Million Barrels,MMbbl,2007,19
USA-NM,USA-NM,Million Barrels,MMbbl,2006,26
USA-NM,USA-NM,Million Barrels,MMbbl,2005,54
USA-NM,USA-NM,Million Barrels,MMbbl,2004,39
USA-NM,USA-NM,Million Barrels,MMbbl,2003,20
USA-NM,USA-NM,Million Barrels,MMbbl,2002,17
USA-NM,USA-NM,Million Barrels,MMbbl,2001,11
USA-NM,USA-NM,Million Barrels,MMbbl,2000,54
USA-NM,USA-NM,Million Barrels,MMbbl,2008,0
USA-NM,USA-NM,Million Barrels,MMbbl,2007,6
USA-NM,USA-NM,Million Barrels,MMbbl,2006,238
USA-NM,USA-NM,Million Barrels,MMbbl,2005,24
USA-NM,USA-NM,Million Barrels,MMbbl,2004,33
USA-NM,USA-NM,Million Barrels,MMbbl,2003,27
USA-NM,USA-NM,Million Barrels,MMbbl,2002,36
USA-NM,USA-NM,Million Barrels,MMbbl,2001,7
USA-NM,USA-NM,Million Barrels,MMbbl,2000,20
USA-TX,USA-TX,Million Barrels,MMbbl,2008,0
USA-TX,USA-TX,Million Barrels,MMbbl,2007,12
USA-TX,USA-TX,Million Barrels,MMbbl,2006,0
