iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,76
USA,USA,Million Barrels,MMbbl,2007,-139
USA,USA,Million Barrels,MMbbl,2006,173
USA,USA,Million Barrels,MMbbl,2005,-89
USA,USA,Million Barrels,MMbbl,2004,273
USA,USA,Million Barrels,MMbbl,2003,-338
USA,USA,Million Barrels,MMbbl,2002,62
USA,USA,Million Barrels,MMbbl,2001,-429
USA,USA,Million Barrels,MMbbl,2000,-83
USA,USA,Million Barrels,MMbbl,1999,99
USA,USA,Million Barrels,MMbbl,1998,-361
USA,USA,Million Barrels,MMbbl,1997,-15
USA,USA,Million Barrels,MMbbl,1996,474
USA,USA,Million Barrels,MMbbl,1995,192
USA,USA,Million Barrels,MMbbl,1994,43
USA,USA,Million Barrels,MMbbl,1993,102
USA,USA,Million Barrels,MMbbl,1992,225
USA,USA,Million Barrels,MMbbl,1991,233
USA,USA,Million Barrels,MMbbl,1990,-83
USA,USA,Million Barrels,MMbbl,1989,-277
USA,USA,Million Barrels,MMbbl,1988,11
USA,USA,Million Barrels,MMbbl,1987,231
USA,USA,Million Barrels,MMbbl,1986,367
USA,USA,Million Barrels,MMbbl,1985,426
USA,USA,Million Barrels,MMbbl,1984,-123
USA,USA,Million Barrels,MMbbl,1983,849
USA,USA,Million Barrels,MMbbl,1982,299
USA,USA,Million Barrels,MMbbl,1981,231
USA,USA,Million Barrels,MMbbl,1980,153
USA,USA,Million Barrels,MMbbl,1979,64
USA,USA,Million Barrels,MMbbl,2008,-29
USA,USA,Million Barrels,MMbbl,2007,-7
USA,USA,Million Barrels,MMbbl,2006,47
USA,USA,Million Barrels,MMbbl,2005,26
USA,USA,Million Barrels,MMbbl,2004,119
USA,USA,Million Barrels,MMbbl,2003,-101
USA,USA,Million Barrels,MMbbl,2002,65
USA,USA,Million Barrels,MMbbl,2001,-30
USA,USA,Million Barrels,MMbbl,2000,70
USA,USA,Million Barrels,MMbbl,1999,82
USA,USA,Million Barrels,MMbbl,1998,35
USA,USA,Million Barrels,MMbbl,1997,128
USA,USA,Million Barrels,MMbbl,1996,20
USA,USA,Million Barrels,MMbbl,1995,-58
USA,USA,Million Barrels,MMbbl,1994,-13
USA,USA,Million Barrels,MMbbl,1993,30
USA,USA,Million Barrels,MMbbl,1992,-16
USA,USA,Million Barrels,MMbbl,1991,56
USA,USA,Million Barrels,MMbbl,1990,-51
USA,USA,Million Barrels,MMbbl,1989,12
USA,USA,Million Barrels,MMbbl,1988,-18
USA,USA,Million Barrels,MMbbl,1987,-5
USA,USA,Million Barrels,MMbbl,1986,-8
USA,USA,Million Barrels,MMbbl,1981,-29
USA-CA,USA-CA,Million Barrels,MMbbl,2008,1
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,1
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,-1
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,-8
USA-CA,USA-CA,Million Barrels,MMbbl,1998,0
USA-CA,USA-CA,Million Barrels,MMbbl,1997,3
USA-CA,USA-CA,Million Barrels,MMbbl,1996,0
USA-CA,USA-CA,Million Barrels,MMbbl,1995,3
USA-CA,USA-CA,Million Barrels,MMbbl,1994,-3
USA-CA,USA-CA,Million Barrels,MMbbl,1993,5
USA-CA,USA-CA,Million Barrels,MMbbl,1992,5
USA-CA,USA-CA,Million Barrels,MMbbl,1991,1
USA-CA,USA-CA,Million Barrels,MMbbl,1990,-6
USA-CA,USA-CA,Million Barrels,MMbbl,1989,3
USA-CA,USA-CA,Million Barrels,MMbbl,1988,3
USA-CA,USA-CA,Million Barrels,MMbbl,1987,2
USA-CA,USA-CA,Million Barrels,MMbbl,1986,-2
USA-CA,USA-CA,Million Barrels,MMbbl,1982,0
USA-CA,USA-CA,Million Barrels,MMbbl,1981,0
USA-CA,USA-CA,Million Barrels,MMbbl,1980,0
USA-CA,USA-CA,Million Barrels,MMbbl,1979,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,1
USA-CA,USA-CA,Million Barrels,MMbbl,2007,-7
USA-CA,USA-CA,Million Barrels,MMbbl,2006,5
USA-CA,USA-CA,Million Barrels,MMbbl,2005,-3
USA-CA,USA-CA,Million Barrels,MMbbl,2004,1
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,-6
USA-CA,USA-CA,Million Barrels,MMbbl,2000,-6
USA-CA,USA-CA,Million Barrels,MMbbl,1999,7
USA-CA,USA-CA,Million Barrels,MMbbl,1998,1
USA-CA,USA-CA,Million Barrels,MMbbl,1997,0
USA-CA,USA-CA,Million Barrels,MMbbl,1996,2
USA-CA,USA-CA,Million Barrels,MMbbl,1995,0
USA-CA,USA-CA,Million Barrels,MMbbl,1994,-1
USA-CA,USA-CA,Million Barrels,MMbbl,1993,1
USA-CA,USA-CA,Million Barrels,MMbbl,1992,-1
USA-CA,USA-CA,Million Barrels,MMbbl,1991,1
USA-CA,USA-CA,Million Barrels,MMbbl,1990,1
USA-CA,USA-CA,Million Barrels,MMbbl,1989,-2
USA-CA,USA-CA,Million Barrels,MMbbl,1988,0
USA-CA,USA-CA,Million Barrels,MMbbl,1987,-2
USA-CA,USA-CA,Million Barrels,MMbbl,1986,-1
USA-CA,USA-CA,Million Barrels,MMbbl,1985,2
USA-CA,USA-CA,Million Barrels,MMbbl,1984,0
USA-CA,USA-CA,Million Barrels,MMbbl,1983,1
USA-CA,USA-CA,Million Barrels,MMbbl,1982,2
USA-CA,USA-CA,Million Barrels,MMbbl,1981,-8
USA-CA,USA-CA,Million Barrels,MMbbl,1980,3
USA-CA,USA-CA,Million Barrels,MMbbl,1979,1
USA-CA,USA-CA,Million Barrels,MMbbl,2008,2
USA-CA,USA-CA,Million Barrels,MMbbl,2007,6
USA-CA,USA-CA,Million Barrels,MMbbl,2006,3
USA-CA,USA-CA,Million Barrels,MMbbl,2005,-3
USA-CA,USA-CA,Million Barrels,MMbbl,2004,8
USA-CA,USA-CA,Million Barrels,MMbbl,2003,11
USA-CA,USA-CA,Million Barrels,MMbbl,2002,21
USA-CA,USA-CA,Million Barrels,MMbbl,2001,-10
USA-CA,USA-CA,Million Barrels,MMbbl,2000,-9
USA-CA,USA-CA,Million Barrels,MMbbl,1999,6
USA-CA,USA-CA,Million Barrels,MMbbl,1998,-22
USA-CA,USA-CA,Million Barrels,MMbbl,1997,-5
