iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,840
USA,USA,Million Barrels,MMbbl,2007,831
USA,USA,Million Barrels,MMbbl,2006,811
USA,USA,Million Barrels,MMbbl,2005,788
USA,USA,Million Barrels,MMbbl,2004,827
USA,USA,Million Barrels,MMbbl,2003,802
USA,USA,Million Barrels,MMbbl,2002,884
USA,USA,Million Barrels,MMbbl,2000,921
USA,USA,Million Barrels,MMbbl,1999,896
USA,USA,Million Barrels,MMbbl,1998,833
USA,USA,Million Barrels,MMbbl,1997,864
USA,USA,Million Barrels,MMbbl,1996,850
USA,USA,Million Barrels,MMbbl,1995,791
USA,USA,Million Barrels,MMbbl,1994,791
USA,USA,Million Barrels,MMbbl,1993,788
USA,USA,Million Barrels,MMbbl,1992,773
USA,USA,Million Barrels,MMbbl,1991,754
USA,USA,Million Barrels,MMbbl,1990,732
USA,USA,Million Barrels,MMbbl,1989,731
USA,USA,Million Barrels,MMbbl,1988,754
USA,USA,Million Barrels,MMbbl,1987,747
USA,USA,Million Barrels,MMbbl,1986,738
USA,USA,Million Barrels,MMbbl,1985,753
USA,USA,Million Barrels,MMbbl,1984,776
USA,USA,Million Barrels,MMbbl,1983,725
USA,USA,Million Barrels,MMbbl,1982,721
USA,USA,Million Barrels,MMbbl,1981,741
USA,USA,Million Barrels,MMbbl,1980,731
USA,USA,Million Barrels,MMbbl,1979,727
USA,USA,Million Barrels,MMbbl,2008,94
USA,USA,Million Barrels,MMbbl,2007,127
USA,USA,Million Barrels,MMbbl,2006,125
USA,USA,Million Barrels,MMbbl,2005,123
USA,USA,Million Barrels,MMbbl,2004,155
USA,USA,Million Barrels,MMbbl,2003,148
USA,USA,Million Barrels,MMbbl,2002,184
USA,USA,Million Barrels,MMbbl,2000,199
USA,USA,Million Barrels,MMbbl,1999,167
USA,USA,Million Barrels,MMbbl,1998,140
USA,USA,Million Barrels,MMbbl,1997,141
USA,USA,Million Barrels,MMbbl,1996,102
USA,USA,Million Barrels,MMbbl,1995,86
USA,USA,Million Barrels,MMbbl,1994,99
USA,USA,Million Barrels,MMbbl,1993,98
USA,USA,Million Barrels,MMbbl,1992,92
USA,USA,Million Barrels,MMbbl,1991,95
USA,USA,Million Barrels,MMbbl,1990,91
USA,USA,Million Barrels,MMbbl,1989,92
USA,USA,Million Barrels,MMbbl,1988,88
USA,USA,Million Barrels,MMbbl,1987,89
USA,USA,Million Barrels,MMbbl,1986,84
USA,USA,Million Barrels,MMbbl,1981,92
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,1
USA-CA,USA-CA,Million Barrels,MMbbl,1997,1
USA-CA,USA-CA,Million Barrels,MMbbl,1996,1
USA-CA,USA-CA,Million Barrels,MMbbl,1995,1
USA-CA,USA-CA,Million Barrels,MMbbl,1994,1
USA-CA,USA-CA,Million Barrels,MMbbl,1993,1
USA-CA,USA-CA,Million Barrels,MMbbl,1992,1
USA-CA,USA-CA,Million Barrels,MMbbl,1991,0
USA-CA,USA-CA,Million Barrels,MMbbl,1990,0
USA-CA,USA-CA,Million Barrels,MMbbl,1989,0
USA-CA,USA-CA,Million Barrels,MMbbl,1988,0
USA-CA,USA-CA,Million Barrels,MMbbl,1987,0
USA-CA,USA-CA,Million Barrels,MMbbl,1986,0
USA-CA,USA-CA,Million Barrels,MMbbl,1982,0
USA-CA,USA-CA,Million Barrels,MMbbl,1981,0
USA-CA,USA-CA,Million Barrels,MMbbl,1980,0
USA-CA,USA-CA,Million Barrels,MMbbl,1979,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,1
USA-CA,USA-CA,Million Barrels,MMbbl,2007,1
USA-CA,USA-CA,Million Barrels,MMbbl,2006,1
USA-CA,USA-CA,Million Barrels,MMbbl,2005,1
USA-CA,USA-CA,Million Barrels,MMbbl,2004,1
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,1
USA-CA,USA-CA,Million Barrels,MMbbl,2000,1
USA-CA,USA-CA,Million Barrels,MMbbl,1999,1
USA-CA,USA-CA,Million Barrels,MMbbl,1998,1
USA-CA,USA-CA,Million Barrels,MMbbl,1997,1
USA-CA,USA-CA,Million Barrels,MMbbl,1996,1
USA-CA,USA-CA,Million Barrels,MMbbl,1995,1
USA-CA,USA-CA,Million Barrels,MMbbl,1994,1
USA-CA,USA-CA,Million Barrels,MMbbl,1993,1
USA-CA,USA-CA,Million Barrels,MMbbl,1992,1
USA-CA,USA-CA,Million Barrels,MMbbl,1991,1
USA-CA,USA-CA,Million Barrels,MMbbl,1990,1
USA-CA,USA-CA,Million Barrels,MMbbl,1989,1
USA-CA,USA-CA,Million Barrels,MMbbl,1988,1
USA-CA,USA-CA,Million Barrels,MMbbl,1987,1
USA-CA,USA-CA,Million Barrels,MMbbl,1986,1
USA-CA,USA-CA,Million Barrels,MMbbl,1985,2
USA-CA,USA-CA,Million Barrels,MMbbl,1984,2
USA-CA,USA-CA,Million Barrels,MMbbl,1983,2
USA-CA,USA-CA,Million Barrels,MMbbl,1982,2
USA-CA,USA-CA,Million Barrels,MMbbl,1981,1
USA-CA,USA-CA,Million Barrels,MMbbl,1980,2
USA-CA,USA-CA,Million Barrels,MMbbl,1979,2
USA-CA,USA-CA,Million Barrels,MMbbl,2008,10
USA-CA,USA-CA,Million Barrels,MMbbl,2007,10
USA-CA,USA-CA,Million Barrels,MMbbl,2006,10
USA-CA,USA-CA,Million Barrels,MMbbl,2005,10
USA-CA,USA-CA,Million Barrels,MMbbl,2004,9
USA-CA,USA-CA,Million Barrels,MMbbl,2003,9
USA-CA,USA-CA,Million Barrels,MMbbl,2002,9
USA-CA,USA-CA,Million Barrels,MMbbl,2000,7
USA-CA,USA-CA,Million Barrels,MMbbl,1999,7
USA-CA,USA-CA,Million Barrels,MMbbl,1998,6
USA-CA,USA-CA,Million Barrels,MMbbl,1997,7
USA-CA,USA-CA,Million Barrels,MMbbl,1996,8
USA-CA,USA-CA,Million Barrels,MMbbl,1995,8
USA-CA,USA-CA,Million Barrels,MMbbl,1994,7
USA-CA,USA-CA,Million Barrels,MMbbl,1993,8
USA-CA,USA-CA,Million Barrels,MMbbl,1992,8
USA-CA,USA-CA,Million Barrels,MMbbl,1991,7
USA-CA,USA-CA,Million Barrels,MMbbl,1990,8
USA-CA,USA-CA,Million Barrels,MMbbl,1989,8
USA-CA,USA-CA,Million Barrels,MMbbl,1988,9
USA-CA,USA-CA,Million Barrels,MMbbl,1987,10
USA-CA,USA-CA,Million Barrels,MMbbl,1986,10
USA-CA,USA-CA,Million Barrels,MMbbl,1985,10
USA-CA,USA-CA,Million Barrels,MMbbl,1984,9
USA-CA,USA-CA,Million Barrels,MMbbl,1983,9
USA-CA,USA-CA,Million Barrels,MMbbl,1982,9
USA-CA,USA-CA,Million Barrels,MMbbl,1981,4
USA-CA,USA-CA,Million Barrels,MMbbl,1980,5
USA-CA,USA-CA,Million Barrels,MMbbl,1979,6
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,0
USA-CA,USA-CA,Million Barrels,MMbbl,1997,0
USA-CA,USA-CA,Million Barrels,MMbbl,1996,0
USA-CA,USA-CA,Million Barrels,MMbbl,1995,0
USA-CA,USA-CA,Million Barrels,MMbbl,1994,0
USA-CA,USA-CA,Million Barrels,MMbbl,1993,0
USA-CA,USA-CA,Million Barrels,MMbbl,1992,1
USA-CA,USA-CA,Million Barrels,MMbbl,1991,0
USA-CA,USA-CA,Million Barrels,MMbbl,1990,0
USA-CA,USA-CA,Million Barrels,MMbbl,1989,0
USA-CA,USA-CA,Million Barrels,MMbbl,1988,1
USA-CA,USA-CA,Million Barrels,MMbbl,1987,1
USA-CA,USA-CA,Million Barrels,MMbbl,1986,1
USA-CA,USA-CA,Million Barrels,MMbbl,1985,1
USA-CA,USA-CA,Million Barrels,MMbbl,1984,1
USA-CA,USA-CA,Million Barrels,MMbbl,1983,1
USA-CA,USA-CA,Million Barrels,MMbbl,1982,1
USA-CA,USA-CA,Million Barrels,MMbbl,1981,1
USA-CA,USA-CA,Million Barrels,MMbbl,1980,1
USA-CA,USA-CA,Million Barrels,MMbbl,1979,1
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,0
USA-CA,USA-CA,Million Barrels,MMbbl,1997,0
USA-CA,USA-CA,Million Barrels,MMbbl,1996,0
USA-CA,USA-CA,Million Barrels,MMbbl,1995,0
USA-CA,USA-CA,Million Barrels,MMbbl,1994,0
USA-CA,USA-CA,Million Barrels,MMbbl,1993,0
