iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,1435
USA,USA,Million Barrels,MMbbl,2007,765
USA,USA,Million Barrels,MMbbl,2006,1010
USA,USA,Million Barrels,MMbbl,2005,947
USA,USA,Million Barrels,MMbbl,2004,1135
USA,USA,Million Barrels,MMbbl,2003,1043
USA,USA,Million Barrels,MMbbl,2002,951
USA,USA,Million Barrels,MMbbl,2001,1089
USA,USA,Million Barrels,MMbbl,2000,724
USA,USA,Million Barrels,MMbbl,1999,1321
USA,USA,Million Barrels,MMbbl,1998,1094
USA,USA,Million Barrels,MMbbl,1997,910
USA,USA,Million Barrels,MMbbl,1996,669
USA,USA,Million Barrels,MMbbl,1995,691
USA,USA,Million Barrels,MMbbl,1994,676
USA,USA,Million Barrels,MMbbl,1993,640
USA,USA,Million Barrels,MMbbl,1992,545
USA,USA,Million Barrels,MMbbl,1991,695
USA,USA,Million Barrels,MMbbl,1990,606
USA,USA,Million Barrels,MMbbl,1989,1020
USA,USA,Million Barrels,MMbbl,1988,715
USA,USA,Million Barrels,MMbbl,1987,656
USA,USA,Million Barrels,MMbbl,1986,807
USA,USA,Million Barrels,MMbbl,1985,744
USA,USA,Million Barrels,MMbbl,1984,724
USA,USA,Million Barrels,MMbbl,1983,781
USA,USA,Million Barrels,MMbbl,1982,832
USA,USA,Million Barrels,MMbbl,1981,643
USA,USA,Million Barrels,MMbbl,1980,639
USA,USA,Million Barrels,MMbbl,1979,726
USA,USA,Million Barrels,MMbbl,2008,106
USA,USA,Million Barrels,MMbbl,2007,91
USA,USA,Million Barrels,MMbbl,2006,132
USA,USA,Million Barrels,MMbbl,2005,119
USA,USA,Million Barrels,MMbbl,2004,208
USA,USA,Million Barrels,MMbbl,2003,189
USA,USA,Million Barrels,MMbbl,2002,163
USA,USA,Million Barrels,MMbbl,2001,240
USA,USA,Million Barrels,MMbbl,2000,152
USA,USA,Million Barrels,MMbbl,1999,254
USA,USA,Million Barrels,MMbbl,1998,163
USA,USA,Million Barrels,MMbbl,1997,121
USA,USA,Million Barrels,MMbbl,1996,71
USA,USA,Million Barrels,MMbbl,1995,85
USA,USA,Million Barrels,MMbbl,1994,113
USA,USA,Million Barrels,MMbbl,1993,85
USA,USA,Million Barrels,MMbbl,1992,69
USA,USA,Million Barrels,MMbbl,1991,110
USA,USA,Million Barrels,MMbbl,1990,82
USA,USA,Million Barrels,MMbbl,1989,192
USA,USA,Million Barrels,MMbbl,1988,73
USA,USA,Million Barrels,MMbbl,1987,82
USA,USA,Million Barrels,MMbbl,1986,86
USA,USA,Million Barrels,MMbbl,1981,82
USA-CA,USA-CA,Million Barrels,MMbbl,2008,4
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,5
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,1
USA-CA,USA-CA,Million Barrels,MMbbl,1997,11
USA-CA,USA-CA,Million Barrels,MMbbl,1996,1
USA-CA,USA-CA,Million Barrels,MMbbl,1995,1
USA-CA,USA-CA,Million Barrels,MMbbl,1994,8
USA-CA,USA-CA,Million Barrels,MMbbl,1993,8
USA-CA,USA-CA,Million Barrels,MMbbl,1992,0
USA-CA,USA-CA,Million Barrels,MMbbl,1991,3
USA-CA,USA-CA,Million Barrels,MMbbl,1990,1
USA-CA,USA-CA,Million Barrels,MMbbl,1989,1
USA-CA,USA-CA,Million Barrels,MMbbl,1988,1
USA-CA,USA-CA,Million Barrels,MMbbl,1987,0
USA-CA,USA-CA,Million Barrels,MMbbl,1986,0
USA-CA,USA-CA,Million Barrels,MMbbl,1982,1
USA-CA,USA-CA,Million Barrels,MMbbl,1981,0
USA-CA,USA-CA,Million Barrels,MMbbl,1980,0
USA-CA,USA-CA,Million Barrels,MMbbl,1979,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,5
USA-CA,USA-CA,Million Barrels,MMbbl,2007,2
USA-CA,USA-CA,Million Barrels,MMbbl,2006,1
USA-CA,USA-CA,Million Barrels,MMbbl,2005,1
USA-CA,USA-CA,Million Barrels,MMbbl,2004,1
USA-CA,USA-CA,Million Barrels,MMbbl,2003,3
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,5
USA-CA,USA-CA,Million Barrels,MMbbl,2000,2
USA-CA,USA-CA,Million Barrels,MMbbl,1999,2
USA-CA,USA-CA,Million Barrels,MMbbl,1998,4
USA-CA,USA-CA,Million Barrels,MMbbl,1997,1
USA-CA,USA-CA,Million Barrels,MMbbl,1996,1
USA-CA,USA-CA,Million Barrels,MMbbl,1995,3
USA-CA,USA-CA,Million Barrels,MMbbl,1994,1
USA-CA,USA-CA,Million Barrels,MMbbl,1993,0
USA-CA,USA-CA,Million Barrels,MMbbl,1992,1
USA-CA,USA-CA,Million Barrels,MMbbl,1991,2
USA-CA,USA-CA,Million Barrels,MMbbl,1990,2
USA-CA,USA-CA,Million Barrels,MMbbl,1989,1
USA-CA,USA-CA,Million Barrels,MMbbl,1988,1
USA-CA,USA-CA,Million Barrels,MMbbl,1987,1
USA-CA,USA-CA,Million Barrels,MMbbl,1986,2
USA-CA,USA-CA,Million Barrels,MMbbl,1985,2
USA-CA,USA-CA,Million Barrels,MMbbl,1984,4
USA-CA,USA-CA,Million Barrels,MMbbl,1983,1
USA-CA,USA-CA,Million Barrels,MMbbl,1982,1
USA-CA,USA-CA,Million Barrels,MMbbl,1981,1
USA-CA,USA-CA,Million Barrels,MMbbl,1980,3
USA-CA,USA-CA,Million Barrels,MMbbl,1979,3
USA-CA,USA-CA,Million Barrels,MMbbl,2008,15
USA-CA,USA-CA,Million Barrels,MMbbl,2007,10
USA-CA,USA-CA,Million Barrels,MMbbl,2006,16
USA-CA,USA-CA,Million Barrels,MMbbl,2005,4
USA-CA,USA-CA,Million Barrels,MMbbl,2004,4
USA-CA,USA-CA,Million Barrels,MMbbl,2003,4
USA-CA,USA-CA,Million Barrels,MMbbl,2002,4
USA-CA,USA-CA,Million Barrels,MMbbl,2001,4
