iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,1192
USA,USA,Million Barrels,MMbbl,2007,1187
USA,USA,Million Barrels,MMbbl,2006,845
USA,USA,Million Barrels,MMbbl,2005,968
USA,USA,Million Barrels,MMbbl,2004,1232
USA,USA,Million Barrels,MMbbl,2003,882
USA,USA,Million Barrels,MMbbl,2002,982
USA,USA,Million Barrels,MMbbl,2001,957
USA,USA,Million Barrels,MMbbl,2000,1183
USA,USA,Million Barrels,MMbbl,1999,2048
USA,USA,Million Barrels,MMbbl,1998,1302
USA,USA,Million Barrels,MMbbl,1997,1199
USA,USA,Million Barrels,MMbbl,1996,844
USA,USA,Million Barrels,MMbbl,1995,968
USA,USA,Million Barrels,MMbbl,1994,873
USA,USA,Million Barrels,MMbbl,1993,764
USA,USA,Million Barrels,MMbbl,1992,806
USA,USA,Million Barrels,MMbbl,1991,825
USA,USA,Million Barrels,MMbbl,1990,827
USA,USA,Million Barrels,MMbbl,1989,1143
USA,USA,Million Barrels,MMbbl,1988,1168
USA,USA,Million Barrels,MMbbl,1987,847
USA,USA,Million Barrels,MMbbl,1986,1030
USA,USA,Million Barrels,MMbbl,1985,906
USA,USA,Million Barrels,MMbbl,1984,866
USA,USA,Million Barrels,MMbbl,1983,847
USA,USA,Million Barrels,MMbbl,1982,811
USA,USA,Million Barrels,MMbbl,1981,729
USA,USA,Million Barrels,MMbbl,1980,743
USA,USA,Million Barrels,MMbbl,1979,677
USA,USA,Million Barrels,MMbbl,2008,85
USA,USA,Million Barrels,MMbbl,2007,116
USA,USA,Million Barrels,MMbbl,2006,118
USA,USA,Million Barrels,MMbbl,2005,114
USA,USA,Million Barrels,MMbbl,2004,148
USA,USA,Million Barrels,MMbbl,2003,118
USA,USA,Million Barrels,MMbbl,2002,149
USA,USA,Million Barrels,MMbbl,2001,137
USA,USA,Million Barrels,MMbbl,2000,166
USA,USA,Million Barrels,MMbbl,1999,304
USA,USA,Million Barrels,MMbbl,1998,165
USA,USA,Million Barrels,MMbbl,1997,116
USA,USA,Million Barrels,MMbbl,1996,109
USA,USA,Million Barrels,MMbbl,1995,98
USA,USA,Million Barrels,MMbbl,1994,107
USA,USA,Million Barrels,MMbbl,1993,105
USA,USA,Million Barrels,MMbbl,1992,96
USA,USA,Million Barrels,MMbbl,1991,119
USA,USA,Million Barrels,MMbbl,1990,105
USA,USA,Million Barrels,MMbbl,1989,212
USA,USA,Million Barrels,MMbbl,1988,108
USA,USA,Million Barrels,MMbbl,1987,93
USA,USA,Million Barrels,MMbbl,1986,112
USA,USA,Million Barrels,MMbbl,1981,99
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,0
USA-CA,USA-CA,Million Barrels,MMbbl,1997,0
USA-CA,USA-CA,Million Barrels,MMbbl,1996,0
USA-CA,USA-CA,Million Barrels,MMbbl,1995,3
USA-CA,USA-CA,Million Barrels,MMbbl,1994,8
USA-CA,USA-CA,Million Barrels,MMbbl,1993,9
USA-CA,USA-CA,Million Barrels,MMbbl,1992,0
USA-CA,USA-CA,Million Barrels,MMbbl,1991,0
USA-CA,USA-CA,Million Barrels,MMbbl,1990,0
USA-CA,USA-CA,Million Barrels,MMbbl,1989,2
USA-CA,USA-CA,Million Barrels,MMbbl,1988,1
USA-CA,USA-CA,Million Barrels,MMbbl,1987,0
USA-CA,USA-CA,Million Barrels,MMbbl,1986,4
USA-CA,USA-CA,Million Barrels,MMbbl,1982,0
USA-CA,USA-CA,Million Barrels,MMbbl,1981,2
USA-CA,USA-CA,Million Barrels,MMbbl,1980,0
USA-CA,USA-CA,Million Barrels,MMbbl,1979,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,1
USA-CA,USA-CA,Million Barrels,MMbbl,2007,2
USA-CA,USA-CA,Million Barrels,MMbbl,2006,3
USA-CA,USA-CA,Million Barrels,MMbbl,2005,2
USA-CA,USA-CA,Million Barrels,MMbbl,2004,3
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,2
USA-CA,USA-CA,Million Barrels,MMbbl,2001,1
USA-CA,USA-CA,Million Barrels,MMbbl,2000,2
USA-CA,USA-CA,Million Barrels,MMbbl,1999,11
USA-CA,USA-CA,Million Barrels,MMbbl,1998,4
USA-CA,USA-CA,Million Barrels,MMbbl,1997,1
USA-CA,USA-CA,Million Barrels,MMbbl,1996,1
USA-CA,USA-CA,Million Barrels,MMbbl,1995,1
USA-CA,USA-CA,Million Barrels,MMbbl,1994,2
USA-CA,USA-CA,Million Barrels,MMbbl,1993,2
USA-CA,USA-CA,Million Barrels,MMbbl,1992,1
USA-CA,USA-CA,Million Barrels,MMbbl,1991,2
USA-CA,USA-CA,Million Barrels,MMbbl,1990,2
USA-CA,USA-CA,Million Barrels,MMbbl,1989,2
USA-CA,USA-CA,Million Barrels,MMbbl,1988,2
USA-CA,USA-CA,Million Barrels,MMbbl,1987,2
USA-CA,USA-CA,Million Barrels,MMbbl,1986,3
USA-CA,USA-CA,Million Barrels,MMbbl,1985,2
USA-CA,USA-CA,Million Barrels,MMbbl,1984,3
USA-CA,USA-CA,Million Barrels,MMbbl,1983,2
