iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,34863.0
USA,USA,Billion Cubic Feet,Bcf,2018,38621.0
USA,USA,Billion Cubic Feet,Bcf,2017,47039.0
USA,USA,Billion Cubic Feet,Bcf,2016,19998.0
USA,USA,Billion Cubic Feet,Bcf,2015,16099.0
USA,USA,Billion Cubic Feet,Bcf,2014,28294.0
USA,USA,Billion Cubic Feet,Bcf,2013,11473.0
USA,USA,Billion Cubic Feet,Bcf,2012,8091.0
USA,USA,Billion Cubic Feet,Bcf,2011,47873.0
USA,USA,Billion Cubic Feet,Bcf,2010,13348.0
USA,USA,Billion Cubic Feet,Bcf,2009,4155.0
USA,USA,Billion Cubic Feet,Bcf,2008,8848.0
USA,USA,Billion Cubic Feet,Bcf,2007,15970.0
USA,USA,Billion Cubic Feet,Bcf,2006,27082.0
USA,USA,Billion Cubic Feet,Bcf,2005,12306.0
USA,USA,Billion Cubic Feet,Bcf,2004,13558.0
USA,USA,Billion Cubic Feet,Bcf,2003,11700.0
USA,USA,Billion Cubic Feet,Bcf,2002,11093.0
USA,USA,Billion Cubic Feet,Bcf,2001,14600.0
USA,USA,Billion Cubic Feet,Bcf,2000,25641.0
USA,USA,Billion Cubic Feet,Bcf,2019,666.0
USA,USA,Billion Cubic Feet,Bcf,2018,250.0
USA,USA,Billion Cubic Feet,Bcf,2017,47.0
USA,USA,Billion Cubic Feet,Bcf,2016,126.0
USA,USA,Billion Cubic Feet,Bcf,2015,466.0
USA,USA,Billion Cubic Feet,Bcf,2014,454.0
USA,USA,Billion Cubic Feet,Bcf,2013,464.0
USA,USA,Billion Cubic Feet,Bcf,2012,830.0
USA,USA,Billion Cubic Feet,Bcf,2011,474.0
USA,USA,Billion Cubic Feet,Bcf,2010,1034.0
USA,USA,Billion Cubic Feet,Bcf,2009,186.0
USA,USA,Billion Cubic Feet,Bcf,2008,632.0
USA,USA,Billion Cubic Feet,Bcf,2007,1218.0
USA,USA,Billion Cubic Feet,Bcf,2006,2624.0
USA,USA,Billion Cubic Feet,Bcf,2005,769.0
USA,USA,Billion Cubic Feet,Bcf,2004,1520.0
