iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,-9794.0
USA,USA,Billion Cubic Feet,Bcf,2018,8770.0
USA,USA,Billion Cubic Feet,Bcf,2017,19326.0
USA,USA,Billion Cubic Feet,Bcf,2016,7086.0
USA,USA,Billion Cubic Feet,Bcf,2015,9430.0
USA,USA,Billion Cubic Feet,Bcf,2014,4905.0
USA,USA,Billion Cubic Feet,Bcf,2013,693.0
USA,USA,Billion Cubic Feet,Bcf,2012,-810.0
USA,USA,Billion Cubic Feet,Bcf,2011,2715.0
USA,USA,Billion Cubic Feet,Bcf,2010,1292.0
USA,USA,Billion Cubic Feet,Bcf,2009,5923.0
USA,USA,Billion Cubic Feet,Bcf,2008,271.0
USA,USA,Billion Cubic Feet,Bcf,2007,990.0
USA,USA,Billion Cubic Feet,Bcf,2006,946.0
USA,USA,Billion Cubic Feet,Bcf,2005,1693.0
USA,USA,Billion Cubic Feet,Bcf,2004,170.0
USA,USA,Billion Cubic Feet,Bcf,2003,2323.0
USA,USA,Billion Cubic Feet,Bcf,2002,4006.0
USA,USA,Billion Cubic Feet,Bcf,2001,1849.0
USA,USA,Billion Cubic Feet,Bcf,2000,-1295.0
USA,USA,Billion Cubic Feet,Bcf,1999,1102.0
USA,USA,Billion Cubic Feet,Bcf,1998,-1624.0
USA,USA,Billion Cubic Feet,Bcf,1997,-730.0
USA,USA,Billion Cubic Feet,Bcf,1996,4288.0
USA,USA,Billion Cubic Feet,Bcf,1995,889.0
USA,USA,Billion Cubic Feet,Bcf,1994,1977.0
USA,USA,Billion Cubic Feet,Bcf,1993,1048.0
USA,USA,Billion Cubic Feet,Bcf,1992,2543.0
USA,USA,Billion Cubic Feet,Bcf,1991,3368.0
USA,USA,Billion Cubic Feet,Bcf,1990,1494.0
USA,USA,Billion Cubic Feet,Bcf,1989,2537.0
USA,USA,Billion Cubic Feet,Bcf,1988,2180.0
USA,USA,Billion Cubic Feet,Bcf,1987,1199.0
USA,USA,Billion Cubic Feet,Bcf,1986,2137.0
USA,USA,Billion Cubic Feet,Bcf,1985,-1299.0
USA,USA,Billion Cubic Feet,Bcf,1984,-2413.0
USA,USA,Billion Cubic Feet,Bcf,1983,4363.0
USA,USA,Billion Cubic Feet,Bcf,1982,2598.0
USA,USA,Billion Cubic Feet,Bcf,1981,2057.0
USA,USA,Billion Cubic Feet,Bcf,1980,1253.0
USA,USA,Billion Cubic Feet,Bcf,1979,5356.0
USA,USA,Billion Cubic Feet,Bcf,2019,246.0
USA,USA,Billion Cubic Feet,Bcf,2018,216.0
USA,USA,Billion Cubic Feet,Bcf,2017,389.0
USA,USA,Billion Cubic Feet,Bcf,2016,101.0
USA,USA,Billion Cubic Feet,Bcf,2015,-439.0
USA,USA,Billion Cubic Feet,Bcf,2014,731.0
USA,USA,Billion Cubic Feet,Bcf,2013,148.0
USA,USA,Billion Cubic Feet,Bcf,2012,-526.0
USA,USA,Billion Cubic Feet,Bcf,2011,51.0
USA,USA,Billion Cubic Feet,Bcf,2010,-55.0
USA,USA,Billion Cubic Feet,Bcf,2009,14.0
USA,USA,Billion Cubic Feet,Bcf,2008,6.0
USA,USA,Billion Cubic Feet,Bcf,2007,-50.0
USA,USA,Billion Cubic Feet,Bcf,2006,-11.0
USA,USA,Billion Cubic Feet,Bcf,2005,5.0
USA,USA,Billion Cubic Feet,Bcf,2004,20.0
USA,USA,Billion Cubic Feet,Bcf,2003,174.0
USA,USA,Billion Cubic Feet,Bcf,2002,153.0
USA,USA,Billion Cubic Feet,Bcf,2001,-54.0
