iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,37412.0
USA,USA,Billion Cubic Feet,Bcf,2018,34077.0
USA,USA,Billion Cubic Feet,Bcf,2017,30391.0
USA,USA,Billion Cubic Feet,Bcf,2016,29153.0
USA,USA,Billion Cubic Feet,Bcf,2015,29329.0
USA,USA,Billion Cubic Feet,Bcf,2014,28094.0
USA,USA,Billion Cubic Feet,Bcf,2013,26467.0
USA,USA,Billion Cubic Feet,Bcf,2012,26097.0
USA,USA,Billion Cubic Feet,Bcf,2011,24621.0
USA,USA,Billion Cubic Feet,Bcf,2010,23224.0
USA,USA,Billion Cubic Feet,Bcf,2009,22537.0
USA,USA,Billion Cubic Feet,Bcf,2008,21415.0
USA,USA,Billion Cubic Feet,Bcf,2007,20318.0
USA,USA,Billion Cubic Feet,Bcf,2006,19373.0
USA,USA,Billion Cubic Feet,Bcf,2005,19259.0
USA,USA,Billion Cubic Feet,Bcf,2004,20017.0
USA,USA,Billion Cubic Feet,Bcf,2003,20231.0
USA,USA,Billion Cubic Feet,Bcf,2002,20248.0
USA,USA,Billion Cubic Feet,Bcf,2001,20642.0
USA,USA,Billion Cubic Feet,Bcf,2000,20164.0
USA,USA,Billion Cubic Feet,Bcf,1999,19856.0
USA,USA,Billion Cubic Feet,Bcf,1998,19622.0
USA,USA,Billion Cubic Feet,Bcf,1997,20134.0
USA,USA,Billion Cubic Feet,Bcf,1996,19783.0
USA,USA,Billion Cubic Feet,Bcf,1995,18874.0
USA,USA,Billion Cubic Feet,Bcf,1994,19210.0
USA,USA,Billion Cubic Feet,Bcf,1993,18641.0
USA,USA,Billion Cubic Feet,Bcf,1992,18269.0
USA,USA,Billion Cubic Feet,Bcf,1991,18012.0
USA,USA,Billion Cubic Feet,Bcf,1990,18003.0
USA,USA,Billion Cubic Feet,Bcf,1989,17752.0
USA,USA,Billion Cubic Feet,Bcf,1988,17466.0
USA,USA,Billion Cubic Feet,Bcf,1987,16904.0
USA,USA,Billion Cubic Feet,Bcf,1986,16401.0
USA,USA,Billion Cubic Feet,Bcf,1985,16798.0
USA,USA,Billion Cubic Feet,Bcf,1984,18032.0
USA,USA,Billion Cubic Feet,Bcf,1983,16590.0
USA,USA,Billion Cubic Feet,Bcf,1982,18292.0
USA,USA,Billion Cubic Feet,Bcf,1981,19554.0
USA,USA,Billion Cubic Feet,Bcf,1980,19500.0
USA,USA,Billion Cubic Feet,Bcf,1979,20079.0
USA,USA,Billion Cubic Feet,Bcf,2019,1092.0
USA,USA,Billion Cubic Feet,Bcf,2018,1004.0
USA,USA,Billion Cubic Feet,Bcf,2017,1064.0
USA,USA,Billion Cubic Feet,Bcf,2016,1181.0
USA,USA,Billion Cubic Feet,Bcf,2015,1240.0
USA,USA,Billion Cubic Feet,Bcf,2014,1207.0
USA,USA,Billion Cubic Feet,Bcf,2013,1253.0
USA,USA,Billion Cubic Feet,Bcf,2012,1429.0
USA,USA,Billion Cubic Feet,Bcf,2011,1724.0
USA,USA,Billion Cubic Feet,Bcf,2010,2224.0
USA,USA,Billion Cubic Feet,Bcf,2009,2438.0
USA,USA,Billion Cubic Feet,Bcf,2008,2308.0
USA,USA,Billion Cubic Feet,Bcf,2007,2803.0
USA,USA,Billion Cubic Feet,Bcf,2006,2841.0
USA,USA,Billion Cubic Feet,Bcf,2005,3002.0
USA,USA,Billion Cubic Feet,Bcf,2004,4014.0
USA,USA,Billion Cubic Feet,Bcf,2003,4444.0
